day,temperature_max,temperature_avg,temperature_min,dew_point_max,dew_point_avg,dew_point_min,humidity_max,humidity_avg,humidity_min,wind_speed_max,wind_speed_avg,wind_speed_min,preasure_max,preasure_avg,preasure_min,precipitation,state,year,month
1,33,26.3,21,8,6.6,5,53,43.7,32,20,12.7,8,30.4,30.3,30.2,0.03,AL,2018,1
2,39,28.1,18,13,9.0,6,62,45.8,28,10,6.8,3,30.4,30.3,30.1,0.0,AL,2018,1
3,44,34.0,29,20,11.3,5,69,41.3,20,15,6.4,0,30.1,30.0,29.9,0.0,AL,2018,1
4,41,31.0,24,11,7.8,5,57,39.3,23,17,10.3,6,30.1,30.0,29.9,0.0,AL,2018,1
5,44,30.1,19,14,7.9,3,65,42.7,20,8,3.5,0,30.2,30.2,30.1,0.0,AL,2018,1
6,48,33.5,21,19,14.8,10,78,50.5,24,7,2.7,0,30.3,30.2,30.2,0.0,AL,2018,1
7,52,39.0,27,22,17.4,11,63,43.2,28,14,9.8,6,30.3,30.2,30.0,0.0,AL,2018,1
8,51,46.0,37,46,39.7,20,86,79.4,43,18,11.2,7,30.1,29.9,29.8,0.1,AL,2018,1
9,65,53.2,48,52,48.0,44,93,82.9,63,12,7.4,0,30.0,29.9,29.9,0.31,AL,2018,1
10,69,62.5,53,57,55.5,50,90,78.3,65,16,9.8,5,29.9,29.9,29.8,0.0,AL,2018,1
11,75,65.5,61,61,59.0,57,93,80.7,53,14,7.8,3,29.8,29.7,29.6,0.02,AL,2018,1
12,65,50.4,30,61,44.3,19,90,79.7,64,20,12.8,3,29.9,29.6,29.5,0.28,AL,2018,1
13,38,31.3,26,22,18.9,16,67,60.5,52,20,12.7,6,30.3,30.1,29.9,0.01,AL,2018,1
14,45,32.2,22,25,16.5,12,79,55.3,30,9,3.9,0,30.4,30.3,30.2,0.0,AL,2018,1
15,54,39.5,28,27,24.2,22,79,57.8,32,7,2.0,0,30.3,30.2,30.1,0.0,AL,2018,1
16,47,33.2,26,33,25.8,21,85,75.0,59,14,8.1,0,30.3,30.2,30.2,0.0,AL,2018,1
