day,temperature_max,temperature_avg,temperature_min,dew_point_max,dew_point_avg,dew_point_min,humidity_max,humidity_avg,humidity_min,wind_speed_max,wind_speed_avg,wind_speed_min,preasure_max,preasure_avg,preasure_min,precipitation,state,year,month
1,73,57.8,45,28,20.8,14,44,26.9,11,7,3.3,0,29.0,28.9,28.9,0.0,AZ,2018,1
2,74,60.2,49,27,21.8,16,39,25.3,11,7,4.6,0,29.0,28.9,28.9,0.0,AZ,2018,1
3,76,62.4,47,25,18.1,12,42,20.9,9,16,5.1,0,28.9,28.9,28.8,0.0,AZ,2018,1
4,78,66.0,57,36,25.2,15,44,22.5,12,9,3.5,0,28.9,28.9,28.9,0.0,AZ,2018,1
5,76,63.0,52,35,32.5,29,50,33.8,20,8,4.3,0,29.0,28.9,28.9,0.0,AZ,2018,1
6,73,62.8,51,37,31.9,29,50,32.8,20,10,4.4,0,29.0,28.9,28.8,0.0,AZ,2018,1
7,74,63.9,54,39,35.3,33,49,35.7,23,8,3.2,0,28.9,28.8,28.8,0.0,AZ,2018,1
8,74,64.3,55,40,34.9,31,55,35.1,21,8,3.9,0,28.9,28.8,28.7,0.0,AZ,2018,1
9,79,64.4,54,55,43.5,36,100,51.1,26,28,13.1,5,28.7,28.6,28.5,0.0,AZ,2018,1
10,64,57.0,52,52,49.5,46,100,77.6,52,9,5.8,0,28.9,28.8,28.6,0.21,AZ,2018,1
11,69,58.0,49,49,47.1,42,97,70.0,38,8,2.3,0,29.1,29.0,28.9,0.0,AZ,2018,1
12,72,59.4,49,48,43.9,39,86,60.1,31,9,3.4,0,29.0,28.9,28.9,0.0,AZ,2018,1
13,78,62.0,47,46,34.6,23,90,45.5,13,15,4.5,0,29.0,29.0,28.9,0.0,AZ,2018,1
14,78,62.9,50,38,31.9,25,63,36.0,14,13,4.2,0,29.0,28.9,28.9,0.0,AZ,2018,1
15,74,61.3,51,38,33.9,28,56,38.2,18,8,3.2,0,28.9,28.9,28.8,0.0,AZ,2018,1
16,73,62.5,53,39,31.9,25,55,34.5,18,10,5.4,0,29.0,28.9,28.9,0.0,AZ,2018,1
17,72,60.6,52,34,25.8,22,44,27.6,17,16,7.2,0,29.0,29.0,28.9,0.0,AZ,2018,1
18,74,60.3,47,34,28.8,25,54,32.4,17,8,3.6,0,29.0,28.9,28.8,0.0,AZ,2018,1
19,76,62.3,50,34,29.3,26,46,30.5,16,10,5.0,0,28.8,28.8,28.6,0.0,AZ,2018,1
20,60,56.3,50,41,32.9,28,56,41.7,32,23,9.9,0,28.8,28.7,28.6,0.0,AZ,2018,1
21,58,49.4,42,33,23.4,16,65,39.0,20,12,7.3,0,29.0,29.0,28.8,0.0,AZ,2018,1
22,60,49.9,41,27,22.2,16,55,36.4,19,13,4.8,0,29.1,29.0,28.9,0.0,AZ,2018,1
23,70,55.2,41,25,17.5,11,53,26.7,11,14,4.0,0,29.0,28.9,28.9,0.0,AZ,2018,1
24,74,61.0,50,18,11.4,5,27,15.7,7,14,8.0,0,29.0,28.9,28.9,0.0,AZ,2018,1
25,76,61.8,49,18,13.8,10,29,16.6,9,13,6.3,0,28.9,28.8,28.7,0.0,AZ,2018,1
26,67,57.8,47,32,27.0,16,42,31.4,19,9,3.3,0,28.9,28.9,28.8,0.0,AZ,2018,1
27,72,57.9,45,33,20.1,11,52,27.2,10,9,3.5,0,29.0,29.0,28.9,0.0,AZ,2018,1
28,79,64.9,46,22,12.1,1,35,15.0,6,16,6.6,0,29.0,29.0,28.9,0.0,AZ,2018,1
29,83,69.1,56,23,16.8,8,28,14.9,6,21,9.9,0,29.1,29.0,28.9,0.0,AZ,2018,1
30,81,65.8,53,28,21.4,17,31,20.2,9,13,4.3,0,28.9,28.9,28.8,0.0,AZ,2018,1
31,80,64.8,51,29,23.4,19,36,22.6,10,9,4.5,0,28.8,28.8,28.7,0.0,AZ,2018,1
1,79,63.9,51,30,24.1,18,41,24.6,10,12,4.4,0,28.9,28.8,28.8,0.0,AZ,2018,2
2,78,64.3,51,28,23.5,18,38,23.3,10,8,4.7,0,29.0,28.9,28.8,0.0,AZ,2018,2
3,78,63.8,51,30,25.4,22,38,25.0,13,9,4.6,0,28.9,28.8,28.8,0.0,AZ,2018,2
4,79,65.4,51,35,29.2,26,44,27.8,14,8,5.1,0,28.9,28.8,28.8,0.0,AZ,2018,2
5,80,65.8,53,33,30.8,28,45,29.1,15,12,5.2,0,28.8,28.7,28.7,0.0,AZ,2018,2
6,79,66.0,53,33,28.4,13,47,27.0,11,18,7.7,0,28.9,28.8,28.7,0.0,AZ,2018,2
7,78,64.9,50,24,18.1,10,35,18.2,7,13,4.2,0,29.1,29.0,28.9,0.0,AZ,2018,2
8,83,66.8,49,25,19.3,11,39,19.2,7,9,3.0,0,28.9,28.9,28.8,0.0,AZ,2018,2
9,82,67.0,54,27,20.3,15,30,18.5,8,10,5.2,0,28.8,28.7,28.6,0.0,AZ,2018,2
10,77,66.0,54,28,23.4,21,31,20.9,13,10,5.5,0,28.7,28.6,28.5,0.0,AZ,2018,2
11,75,65.7,58,29,21.6,12,30,19.6,10,21,7.5,0,28.8,28.6,28.6,0.0,AZ,2018,2
12,66,61.1,54,45,42.0,29,64,50.0,32,20,10.1,0,28.8,28.7,28.6,0.0,AZ,2018,2
13,72,64.8,60,48,44.3,42,64,48.3,35,13,5.9,0,28.9,28.9,28.8,0.0,AZ,2018,2
14,61,56.7,54,54,48.1,43,100,75.0,52,8,3.2,0,29.0,28.9,28.9,0.0,AZ,2018,2
15,66,57.8,54,54,53.1,51,100,85.6,59,8,3.5,0,28.9,28.9,28.9,0.29,AZ,2018,2
16,65,59.3,53,54,49.0,43,100,71.6,45,8,4.1,0,28.9,28.9,28.8,0.01,AZ,2018,2
17,70,60.8,50,51,48.3,45,96,66.0,42,6,2.0,0,29.0,28.9,28.8,0.0,AZ,2018,2
18,72,62.7,51,51,45.9,39,89,58.2,32,10,5.5,0,28.8,28.7,28.6,0.0,AZ,2018,2
19,67,59.7,48,51,34.5,2,81,43.8,12,26,13.9,5,28.7,28.6,28.5,0.0,AZ,2018,2
20,58,50.2,43,22,14.3,9,39,24.8,14,10,5.7,0,28.9,28.8,28.7,0.0,AZ,2018,2
21,59,50.6,40,23,15.4,6,47,27.4,14,10,4.6,0,28.9,28.9,28.8,0.0,AZ,2018,2
22,61,52.2,42,28,17.6,8,43,26.5,16,14,5.2,0,29.0,28.9,28.9,0.0,AZ,2018,2
23,61,51.6,42,32,27.6,23,60,40.6,25,21,9.7,0,28.9,28.9,28.8,0.0,AZ,2018,2
24,58,49.5,39,27,20.5,10,60,35.3,15,10,5.2,0,29.1,29.0,28.9,0.0,AZ,2018,2
25,63,51.6,40,23,15.8,9,51,27.0,12,10,3.9,0,29.0,28.9,28.9,0.0,AZ,2018,2
26,69,54.8,42,22,17.0,10,43,25.5,11,7,4.1,0,28.9,28.8,28.7,0.0,AZ,2018,2
27,69,53.4,45,48,31.1,17,100,51.4,14,26,10.0,3,28.8,28.7,28.6,0.0,AZ,2018,2
28,60,51.8,45,44,38.5,32,97,64.0,36,15,5.3,0,29.0,28.9,28.8,0.22,AZ,2018,2
1,70,56.3,44,38,33.8,25,76,47.3,19,9,5.7,0,29.0,28.9,28.8,0.0,AZ,2018,3
2,75,61.0,47,39,30.5,18,68,37.2,12,9,4.5,0,28.9,28.8,28.7,0.0,AZ,2018,3
3,74,62.6,49,33,27.6,22,50,29.4,14,13,5.2,0,28.8,28.8,28.7,0.0,AZ,2018,3
4,66,59.4,54,38,30.5,17,55,35.0,20,15,7.0,0,28.9,28.8,28.8,0.0,AZ,2018,3
5,70,59.2,46,28,14.1,2,46,21.4,7,10,4.2,0,28.9,28.9,28.8,0.0,AZ,2018,3
6,80,64.0,49,24,8.5,-8,36,15.1,3,9,4.3,0,28.9,28.8,28.8,0.0,AZ,2018,3
7,79,66.5,51,26,15.4,6,33,16.3,7,10,4.5,0,28.8,28.8,28.7,0.0,AZ,2018,3
8,81,69.0,57,31,19.6,8,33,17.9,7,9,4.0,0,28.8,28.8,28.7,0.0,AZ,2018,3
9,84,69.3,56,29,20.5,12,26,17.0,8,13,5.8,0,28.8,28.7,28.6,0.0,AZ,2018,3
10,75,66.5,62,51,38.3,30,67,39.0,22,13,6.6,0,28.8,28.7,28.7,0.0,AZ,2018,3
11,75,65.2,58,58,53.8,50,100,69.7,43,8,4.2,0,28.9,28.8,28.8,0.0,AZ,2018,3
12,82,70.7,59,53,44.5,36,81,44.3,20,12,3.9,0,28.9,28.8,28.7,0.04,AZ,2018,3
13,82,72.3,61,45,40.6,37,54,34.0,20,10,3.9,0,28.8,28.7,28.7,0.0,AZ,2018,3
14,85,73.2,61,47,42.6,39,50,34.4,24,22,9.1,0,28.7,28.7,28.6,0.0,AZ,2018,3
15,71,64.2,57,40,36.0,31,49,35.9,23,18,10.0,0,28.8,28.7,28.6,0.0,AZ,2018,3
16,73,63.5,53,38,34.6,31,55,35.8,21,12,6.2,0,28.8,28.7,28.6,0.0,AZ,2018,3
