day,temperature_max,temperature_avg,temperature_min,dew_point_max,dew_point_avg,dew_point_min,humidity_max,humidity_avg,humidity_min,wind_speed_max,wind_speed_avg,wind_speed_min,preasure_max,preasure_avg,preasure_min,precipitation,state,year,month
1,12,3.5,-5,-6,-9.8,-14,76,55.5,39,17,7.0,0,30.1,30.1,30.1,0.0,CT,2018,1
2,21,10.5,-6,6,-0.3,-10,83,62.8,46,9,5.2,0,30.2,30.1,30.1,0.0,CT,2018,1
3,25,14.5,5,6,3.1,0,80,62.6,41,9,4.7,0,30.1,30.0,29.9,0.0,CT,2018,1
4,27,20.7,15,25,15.7,6,92,81.7,62,31,20.4,6,29.9,29.3,28.9,0.05,CT,2018,1
5,19,10.3,7,8,-3.9,-10,65,53.3,42,35,21.6,8,29.7,29.5,29.2,0.4,CT,2018,1
6,11,6.4,-1,-6,-9.5,-16,53,48.1,42,30,20.6,12,30.2,29.9,29.7,0.0,CT,2018,1
7,16,5.0,-7,-1,-11.5,-19,56,46.9,37,13,6.6,0,30.4,30.3,30.1,0.0,CT,2018,1
8,30,24.6,16,24,12.2,0,81,60.3,45,18,12.5,7,30.1,29.9,29.8,0.0,CT,2018,1
9,39,31.8,23,26,21.7,15,92,67.8,52,21,9.8,0,30.2,29.9,29.7,0.0,CT,2018,1
10,36,27.1,15,25,17.3,12,88,67.6,48,14,5.7,0,30.3,30.2,30.2,0.0,CT,2018,1
11,47,39.4,25,45,37.4,23,100,92.7,82,14,7.4,0,30.2,30.1,30.0,0.0,CT,2018,1
12,60,52.2,39,59,51.9,39,100,99.1,94,20,10.1,0,30.0,29.7,29.4,0.0,CT,2018,1
13,59,37.9,15,58,31.1,5,100,77.2,54,21,15.4,7,30.2,29.6,29.1,1.95,CT,2018,1
14,24,15.8,11,5,1.0,-1,67,53.5,35,13,10.2,7,30.5,30.4,30.2,0.01,CT,2018,1
15,22,16.6,10,8,3.4,0,64,56.6,46,15,8.6,6,30.6,30.5,30.3,0.0,CT,2018,1
16,31,26.3,17,27,18.0,8,88,71.5,60,6,3.5,0,30.4,30.3,30.2,0.0,CT,2018,1
17,32,29.9,17,31,27.6,10,100,91.5,68,12,6.0,0,30.2,30.0,29.9,0.18,CT,2018,1
18,28,18.9,5,15,10.8,2,92,72.0,55,14,6.6,0,29.9,29.8,29.7,0.08,CT,2018,1
19,38,26.1,18,20,16.5,13,81,67.9,44,9,5.8,0,29.8,29.8,29.7,0.0,CT,2018,1
20,45,37.0,29,28,24.2,20,85,60.8,47,17,8.9,3,29.8,29.6,29.6,0.0,CT,2018,1
21,48,36.0,24,32,27.9,22,96,74.3,50,6,2.3,0,30.0,29.9,29.8,0.0,CT,2018,1
22,38,35.6,34,37,34.5,31,100,95.8,85,10,4.8,0,30.1,30.0,29.9,0.0,CT,2018,1
23,40,36.1,33,39,36.0,33,100,99.7,96,8,3.9,0,29.9,29.5,29.3,0.05,CT,2018,1
24,37,31.5,20,33,20.5,11,89,64.8,46,25,12.6,3,29.9,29.7,29.4,0.83,CT,2018,1
25,29,22.8,18,9,2.4,-3,65,43.2,25,20,11.1,3,30.4,30.1,29.9,0.0,CT,2018,1
26,35,24.8,13,16,4.6,-2,68,44.8,23,13,4.9,0,30.5,30.4,30.4,0.0,CT,2018,1
27,51,37.6,22,40,27.8,17,92,71.1,38,17,9.3,0,30.4,30.2,30.0,0.0,CT,2018,1
28,50,43.1,34,46,38.4,26,100,85.8,44,12,3.0,0,30.1,30.0,30.0,0.05,CT,2018,1
29,43,35.1,31,29,25.2,15,82,67.9,52,17,10.3,5,30.1,30.0,29.9,0.0,CT,2018,1
30,36,26.8,20,22,18.0,10,88,70.3,52,18,11.2,3,29.9,29.8,29.7,0.02,CT,2018,1
31,32,24.9,16,19,8.6,5,65,51.5,32,18,9.6,3,30.1,29.9,29.8,0.01,CT,2018,1
1,44,33.9,27,34,26.3,19,96,75.3,49,15,8.8,5,29.8,29.7,29.6,0.02,CT,2018,2
2,34,24.7,12,33,15.2,-1,100,69.2,46,30,14.0,0,30.1,29.8,29.6,0.33,CT,2018,2
3,28,19.8,10,12,5.0,-2,67,53.7,39,15,9.3,0,30.2,30.1,30.1,0.0,CT,2018,2
4,42,35.8,26,38,30.3,13,100,82.8,53,14,6.5,0,30.1,29.8,29.4,0.0,CT,2018,2
5,38,31.8,18,37,21.3,1,100,69.0,33,24,11.4,0,30.1,29.6,29.4,0.79,CT,2018,2
6,34,24.3,17,20,15.0,8,89,68.6,48,12,5.0,0,30.3,30.2,30.1,0.0,CT,2018,2
7,33,25.1,17,31,22.3,14,100,89.1,75,21,5.7,0,30.3,30.0,29.7,0.01,CT,2018,2
8,28,24.1,19,21,16.7,12,92,73.7,61,14,6.9,0,30.3,30.1,29.9,0.56,CT,2018,2
9,29,23.3,11,24,18.5,9,96,82.6,61,10,5.2,0,30.4,30.3,30.2,0.0,CT,2018,2
10,44,37.8,28,42,36.1,25,100,93.5,85,9,3.2,0,30.2,30.0,29.8,0.01,CT,2018,2
11,41,39.4,37,41,39.3,37,100,99.7,96,12,2.2,0,29.9,29.8,29.7,0.62,CT,2018,2
12,42,36.7,26,40,28.3,12,100,74.0,45,20,11.0,5,30.5,30.0,29.7,0.86,CT,2018,2
13,34,27.3,20,20,11.8,7,78,53.8,32,12,7.2,0,30.6,30.5,30.4,0.0,CT,2018,2
14,51,37.1,25,35,29.1,20,89,73.9,52,17,7.7,0,30.3,30.1,29.8,0.0,CT,2018,2
15,50,44.1,35,47,43.0,32,100,95.9,87,10,6.7,0,29.8,29.6,29.4,0.0,CT,2018,2
16,52,45.3,34,48,40.4,16,100,84.9,48,21,7.5,0,29.9,29.5,29.4,0.08,CT,2018,2
17,38,30.6,24,29,19.1,9,100,66.9,30,16,7.3,0,30.2,30.1,29.8,0.02,CT,2018,2
18,40,32.2,25,29,24.5,21,100,75.7,49,22,8.1,0,30.4,30.0,29.7,0.5,CT,2018,2
19,46,37.0,18,45,33.2,16,100,87.2,62,15,6.6,0,30.4,30.2,30.1,0.0,CT,2018,2
20,68,51.9,44,53,47.8,44,100,87.5,55,15,9.8,0,30.1,30.1,30.0,0.13,CT,2018,2
21,73,57.6,46,58,51.5,41,100,82.3,57,21,9.8,0,30.2,30.1,29.9,0.0,CT,2018,2
22,50,37.1,28,39,28.6,20,100,74.5,41,15,9.2,3,30.5,30.4,30.3,0.0,CT,2018,2
23,37,34.0,28,36,32.3,26,100,93.8,82,9,4.3,0,30.5,30.3,29.9,0.11,CT,2018,2
24,53,42.4,37,40,36.7,33,100,82.0,52,15,6.6,0,30.1,29.9,29.9,0.34,CT,2018,2
25,41,38.0,36,38,36.5,32,100,94.7,76,13,6.8,0,30.1,29.9,29.8,0.23,CT,2018,2
26,51,39.8,34,37,32.3,23,100,79.2,36,14,3.8,0,30.1,29.9,29.8,0.52,CT,2018,2
27,55,43.5,33,26,22.3,17,66,45.6,23,14,8.0,0,30.2,30.1,30.0,0.0,CT,2018,2
28,58,46.1,34,35,29.6,26,76,54.7,35,18,9.9,3,30.0,29.8,29.6,0.0,CT,2018,2
1,60,48.8,34,39,34.4,29,92,61.5,32,15,7.9,0,29.7,29.6,29.4,0.0,CT,2018,3
2,42,38.2,35,37,34.7,29,97,88.0,65,32,23.1,14,29.6,29.3,29.1,0.46,CT,2018,3
3,48,41.8,37,31,27.7,25,65,57.7,50,25,18.1,12,29.9,29.8,29.6,0.77,CT,2018,3
4,42,36.7,32,32,27.4,23,96,71.4,47,18,11.8,7,29.9,29.9,29.8,0.0,CT,2018,3
5,43,35.4,32,31,28.0,25,92,75.1,51,17,11.2,7,29.9,29.8,29.8,0.11,CT,2018,3
6,46,36.4,28,26,23.3,21,78,60.8,39,14,6.0,0,29.9,29.8,29.8,0.0,CT,2018,3
7,36,32.5,30,33,29.5,23,100,89.2,66,28,14.1,5,29.8,29.6,29.4,0.04,CT,2018,3
