day,temperature_max,temperature_avg,temperature_min,dew_point_max,dew_point_avg,dew_point_min,humidity_max,humidity_avg,humidity_min,wind_speed_max,wind_speed_avg,wind_speed_min,preasure_max,preasure_avg,preasure_min,precipitation,state,year,month
1,21,13.0,6,3,-1.0,-4,67,54.9,35,17,9.2,3,30.4,30.4,30.3,0.0,DE,2018,1
2,25,17.2,12,5,2.2,-1,61,52.3,41,15,9.4,3,30.4,30.4,30.3,0.0,DE,2018,1
3,30,22.0,9,14,5.9,2,77,52.2,32,9,3.2,0,30.3,30.1,29.9,0.0,DE,2018,1
4,27,23.3,15,22,16.5,-1,91,76.2,46,35,21.8,8,29.9,29.6,29.4,0.08,DE,2018,1
5,17,13.0,10,0,-3.6,-7,56,47.6,41,30,21.3,14,30.1,29.9,29.7,0.39,DE,2018,1
6,16,10.9,7,-3,-5.3,-7,53,48.4,43,25,16.3,10,30.4,30.3,30.1,0.0,DE,2018,1
7,18,11.5,2,4,-2.4,-7,69,54.6,40,9,6.7,3,30.6,30.5,30.4,0.0,DE,2018,1
8,33,25.4,13,31,17.3,4,96,72.8,49,15,7.0,0,30.3,30.1,30.0,0.0,DE,2018,1
9,46,31.0,23,34,26.6,22,100,85.9,51,16,5.0,0,30.3,30.1,30.0,0.07,DE,2018,1
10,42,34.8,25,33,26.8,21,88,73.2,53,7,4.0,0,30.4,30.4,30.3,0.0,DE,2018,1
11,56,45.1,38,49,41.3,33,100,87.0,67,14,5.1,0,30.3,30.2,30.1,0.0,DE,2018,1
12,61,53.4,47,61,53.4,47,100,100.0,100,15,9.7,3,30.1,29.7,29.4,0.01,DE,2018,1
13,57,41.2,20,57,34.9,2,100,79.9,45,24,16.6,8,30.4,29.6,29.3,1.3,DE,2018,1
14,26,18.5,14,6,3.0,1,68,51.6,35,18,10.8,3,30.6,30.5,30.4,0.0,DE,2018,1
15,32,25.4,16,25,15.5,4,82,66.6,57,14,8.7,5,30.6,30.5,30.4,0.0,DE,2018,1
16,42,34.5,29,32,29.4,25,92,81.9,67,12,3.9,0,30.4,30.3,30.2,0.0,DE,2018,1
17,36,28.5,18,33,24.5,9,100,85.7,58,18,11.8,5,30.3,30.2,30.2,0.07,DE,2018,1
18,36,25.2,15,15,10.8,7,71,55.6,39,20,9.2,0,30.1,30.0,29.9,0.05,DE,2018,1
19,47,34.1,21,20,17.2,14,78,52.8,32,13,5.3,0,30.0,30.0,29.9,0.0,DE,2018,1
20,57,40.0,27,30,25.2,19,92,58.1,34,13,6.4,0,30.0,29.9,29.9,0.0,DE,2018,1
21,52,41.0,28,37,32.9,26,92,74.1,56,8,2.8,0,30.1,30.1,30.0,0.0,DE,2018,1
22,59,46.8,41,42,38.3,35,86,72.8,53,9,3.4,0,30.1,30.0,29.9,0.0,DE,2018,1
23,62,49.6,42,59,45.3,28,100,86.8,46,18,10.5,3,29.9,29.6,29.5,0.11,DE,2018,1
24,44,40.0,33,31,25.0,19,65,55.2,45,20,13.7,6,30.1,29.9,29.7,0.31,DE,2018,1
25,37,31.4,27,19,12.3,7,64,46.5,29,22,10.1,0,30.5,30.3,30.1,0.0,DE,2018,1
26,39,29.8,21,27,19.3,14,85,67.0,41,10,5.7,0,30.6,30.6,30.5,0.0,DE,2018,1
27,58,45.1,24,44,34.3,23,100,69.0,39,20,9.4,0,30.5,30.3,30.2,0.0,DE,2018,1
28,56,50.2,45,52,45.1,0,100,88.3,0,14,4.2,0,30.2,30.2,30.1,0.08,DE,2018,1
29,45,42.4,39,38,32.5,29,82,68.4,55,16,10.9,3,30.1,30.0,29.9,0.21,DE,2018,1
30,39,31.1,22,35,25.7,5,100,81.6,48,25,14.7,0,30.2,30.0,29.9,0.0,DE,2018,1
31,32,25.6,16,21,10.1,3,67,52.5,40,13,9.2,3,30.3,30.1,29.9,0.03,DE,2018,1
1,47,39.7,33,36,26.8,22,89,60.9,46,16,6.6,0,29.9,29.9,29.8,0.0,DE,2018,2
2,38,29.4,18,36,16.5,1,96,61.6,35,31,17.1,8,30.3,30.0,29.8,0.16,DE,2018,2
3,31,23.9,14,17,8.0,2,67,51.7,38,13,8.1,3,30.4,30.4,30.3,0.0,DE,2018,2
4,36,34.1,29,36,30.8,18,100,88.8,61,14,7.6,0,30.3,29.9,29.6,0.0,DE,2018,2
5,35,30.9,23,34,21.9,11,100,71.9,44,26,12.4,0,30.2,30.0,29.7,0.83,DE,2018,2
6,37,30.4,22,25,21.1,15,78,68.9,57,13,4.7,0,30.4,30.3,30.2,0.0,DE,2018,2
7,43,35.1,26,43,32.3,18,100,90.0,66,17,9.0,0,30.4,30.1,29.8,0.0,DE,2018,2
8,34,28.6,22,25,16.3,13,75,60.8,45,21,11.3,0,30.4,30.3,30.1,0.79,DE,2018,2
9,37,30.2,20,32,23.5,16,96,77.3,59,17,7.1,0,30.5,30.4,30.3,0.0,DE,2018,2
10,49,42.2,31,49,41.6,31,100,97.6,85,13,3.4,0,30.3,30.1,30.0,0.0,DE,2018,2
11,65,53.6,46,63,53.3,46,100,98.8,93,18,5.2,0,30.0,29.9,29.8,0.89,DE,2018,2
12,61,46.9,31,61,36.4,19,100,69.1,36,17,11.3,5,30.6,30.2,29.9,1.2,DE,2018,2
13,40,32.9,25,29,20.4,16,82,61.4,43,13,9.3,5,30.8,30.6,30.5,0.0,DE,2018,2
14,50,40.5,34,42,33.3,28,93,76.1,59,10,5.7,0,30.5,30.3,30.0,0.0,DE,2018,2
15,63,50.3,42,56,48.2,42,100,93.0,70,12,4.0,0,29.9,29.8,29.6,0.09,DE,2018,2
16,60,53.1,36,57,49.7,24,100,89.0,55,22,8.2,0,30.1,29.7,29.5,0.22,DE,2018,2
17,38,33.2,28,34,27.2,17,100,81.2,48,16,7.4,0,30.3,30.1,29.9,0.17,DE,2018,2
18,46,36.8,31,33,30.0,27,100,78.3,51,15,7.6,0,30.4,30.2,29.9,0.54,DE,2018,2
19,47,41.4,29,46,39.7,27,100,94.0,82,8,2.6,0,30.4,30.3,30.3,0.0,DE,2018,2
20,75,55.8,45,60,53.3,45,100,92.7,57,14,7.8,0,30.3,30.3,30.2,0.0,DE,2018,2
21,78,60.4,50,63,56.4,50,100,88.3,58,18,7.5,0,30.3,30.2,30.2,0.01,DE,2018,2
22,59,46.1,40,53,39.7,32,93,79.9,43,20,13.1,7,30.6,30.4,30.3,0.02,DE,2018,2
23,45,41.3,37,44,40.6,37,100,97.5,93,14,5.9,0,30.6,30.4,30.1,0.4,DE,2018,2
24,50,47.0,44,48,45.3,43,100,94.3,83,12,5.0,0,30.1,30.1,30.0,0.16,DE,2018,2
25,50,46.7,44,48,45.9,44,100,97.2,89,14,5.5,0,30.1,29.9,29.8,0.25,DE,2018,2
26,51,45.9,38,47,40.0,28,100,83.3,43,16,4.4,0,30.2,30.1,30.0,0.27,DE,2018,2
27,57,44.5,30,37,26.1,20,82,52.7,27,10,5.6,0,30.4,30.3,30.2,0.0,DE,2018,2
28,61,49.2,38,39,34.2,28,70,57.6,41,16,7.3,3,30.2,30.0,29.8,0.0,DE,2018,2
1,57,48.0,42,46,43.1,37,100,84.3,59,14,5.9,0,29.8,29.6,29.4,0.0,DE,2018,3
2,46,38.8,34,46,35.5,0,100,88.8,0,41,24.1,3,29.8,29.5,29.3,1.12,DE,2018,3
3,49,40.7,35,29,27.0,26,72,59.0,44,33,21.8,14,30.1,29.9,29.8,0.25,DE,2018,3
4,49,40.8,32,28,20.5,8,68,47.0,23,22,16.5,10,30.1,30.1,30.0,0.0,DE,2018,3
5,46,36.4,29,23,18.8,13,69,50.0,35,18,11.8,6,30.1,30.0,30.0,0.0,DE,2018,3
6,46,35.9,27,34,27.8,21,100,74.6,46,18,7.5,0,30.0,29.9,29.8,0.0,DE,2018,3
7,36,33.9,32,34,32.8,32,100,96.1,86,21,12.0,0,29.8,29.6,29.5,0.56,DE,2018,3
8,39,34.7,31,30,21.2,17,79,58.5,43,17,12.7,8,29.8,29.7,29.7,0.96,DE,2018,3
9,40,33.3,0,24,19.5,0,69,53.8,0,24,14.7,7,29.9,29.8,29.7,0.0,DE,2018,3
10,44,35.5,28,22,20.0,18,69,54.3,38,16,9.7,3,30.0,29.9,29.9,0.0,DE,2018,3
11,46,35.6,25,23,20.3,17,75,55.2,37,13,6.8,0,30.1,30.0,30.0,0.0,DE,2018,3
12,43,35.4,28,34,29.6,21,100,80.6,57,16,11.4,5,30.0,29.8,29.7,0.0,DE,2018,3
13,43,35.5,30,34,25.9,17,100,71.1,42,26,15.8,6,29.7,29.7,29.6,0.15,DE,2018,3
14,40,34.5,29,21,19.3,18,69,54.4,43,26,17.6,9,29.7,29.6,29.6,0.0,DE,2018,3
15,46,37.8,30,31,22.6,17,65,55.0,37,22,12.5,7,29.7,29.6,29.5,0.0,DE,2018,3
