day,temperature_max,temperature_avg,temperature_min,dew_point_max,dew_point_avg,dew_point_min,humidity_max,humidity_avg,humidity_min,wind_speed_max,wind_speed_avg,wind_speed_min,preasure_max,preasure_avg,preasure_min,precipitation,state,year,month
1,28,22.2,18,11,7.4,5,62,53.3,48,17,13.2,9,29.4,29.3,29.2,0.0,GA,2018,1
2,35,24.8,13,9,5.8,2,77,48.1,27,10,6.0,0,29.5,29.4,29.2,0.0,GA,2018,1
3,38,31.3,27,9,5.7,3,41,34.4,26,15,7.7,0,29.2,29.1,28.9,0.0,GA,2018,1
4,34,27.0,20,12,6.8,2,63,43.8,27,22,17.5,12,29.1,29.0,28.9,0.0,GA,2018,1
5,38,26.4,17,7,4.3,0,57,41.0,22,17,10.9,6,29.3,29.2,29.1,0.0,GA,2018,1
6,39,29.3,22,14,6.8,-1,60,40.7,19,15,9.1,6,29.4,29.3,29.3,0.0,GA,2018,1
7,39,30.4,22,9,6.9,0,58,38.3,28,13,9.4,6,29.4,29.3,29.3,0.0,GA,2018,1
8,43,35.4,30,38,22.1,7,100,62.5,37,13,8.7,5,29.2,29.1,29.1,0.0,GA,2018,1
9,64,50.7,37,55,47.0,37,100,87.8,67,10,7.3,5,29.2,29.1,29.1,0.27,GA,2018,1
10,64,57.9,53,57,53.3,49,100,86.0,60,15,9.9,6,29.2,29.1,29.1,0.0,GA,2018,1
11,59,56.6,53,59,56.6,53,100,99.8,96,16,9.2,0,29.1,28.9,28.8,0.05,GA,2018,1
12,63,54.3,28,61,52.5,22,100,94.0,78,28,12.7,3,28.9,28.7,28.6,0.04,GA,2018,1
13,37,30.0,23,25,21.5,15,78,70.8,62,24,19.8,13,29.3,29.1,28.9,0.49,GA,2018,1
14,41,29.0,18,17,13.9,11,78,56.1,31,16,6.6,0,29.4,29.3,29.3,0.0,GA,2018,1
15,48,36.3,27,27,21.8,16,72,56.8,39,10,4.5,0,29.4,29.3,29.3,0.0,GA,2018,1
16,49,37.3,27,33,27.5,23,96,69.8,46,17,8.6,0,29.3,29.3,29.2,0.0,GA,2018,1
17,26,20.2,14,24,13.4,7,92,76.3,51,24,17.1,12,29.3,29.3,29.2,0.15,GA,2018,1
18,40,26.6,15,14,11.3,8,77,55.1,33,16,11.2,6,29.3,29.3,29.2,0.0,GA,2018,1
19,54,38.5,26,15,11.6,5,58,37.4,15,13,6.8,3,29.2,29.2,29.1,0.0,GA,2018,1
20,63,47.2,33,41,28.7,12,68,49.3,37,12,6.4,0,29.2,29.1,29.1,0.0,GA,2018,1
21,68,54.5,40,46,41.3,36,86,62.7,43,8,4.0,0,29.2,29.1,29.1,0.0,GA,2018,1
22,62,57.1,47,61,54.4,42,100,90.8,71,21,8.9,3,29.1,28.9,28.8,0.0,GA,2018,1
23,63,52.7,41,61,40.5,31,96,65.3,40,20,13.6,8,29.1,28.9,28.8,0.83,GA,2018,1
24,53,42.6,35,30,27.1,24,76,56.5,32,18,13.0,7,29.3,29.1,29.1,0.0,GA,2018,1
25,57,44.5,33,28,23.8,17,75,48.2,22,10,5.5,0,29.4,29.4,29.3,0.0,GA,2018,1
