day,temperature_max,temperature_avg,temperature_min,dew_point_max,dew_point_avg,dew_point_min,humidity_max,humidity_avg,humidity_min,wind_speed_max,wind_speed_avg,wind_speed_min,preasure_max,preasure_avg,preasure_min,precipitation,state,year,month
1,-2,-10.5,-18,-13,-18.8,-25,75,67.0,57,10,6.5,0,29.8,29.8,29.7,0.0,IA,2018,1
2,20,5.7,-15,12,-3.4,-21,79,67.1,52,22,13.3,6,29.7,29.3,29.0,0.0,IA,2018,1
3,21,9.4,-1,13,1.0,-8,74,69.0,64,22,14.7,7,29.3,29.2,29.0,0.0,IA,2018,1
4,10,4.5,-4,1,-3.7,-9,79,69.5,58,9,3.9,0,29.4,29.3,29.3,0.0,IA,2018,1
5,13,8.3,1,2,-1.4,-6,73,65.2,49,10,6.3,0,29.5,29.4,29.3,0.0,IA,2018,1
6,16,7.2,-3,5,-3.3,-9,79,63.6,43,16,9.9,0,29.5,29.4,29.1,0.0,IA,2018,1
7,38,29.4,18,29,21.0,6,89,71.5,57,15,10.1,5,29.1,28.9,28.8,0.0,IA,2018,1
8,43,33.2,23,30,27.1,22,96,79.3,58,12,7.8,5,29.1,29.0,28.9,0.0,IA,2018,1
9,44,36.2,32,32,29.5,27,89,77.5,53,17,12.2,7,29.1,29.0,28.8,0.0,IA,2018,1
10,46,39.4,35,40,36.8,32,97,90.5,79,17,11.1,3,28.8,28.6,28.5,0.0,IA,2018,1
11,44,20.8,6,41,15.8,-2,96,81.0,67,30,20.5,5,29.2,28.9,28.6,0.06,IA,2018,1
12,9,3.7,-3,-4,-6.9,-11,69,61.9,53,17,14.1,10,29.6,29.4,29.2,0.03,IA,2018,1
13,13,7.9,3,-2,-5.1,-7,67,56.3,41,15,6.3,0,29.7,29.6,29.5,0.0,IA,2018,1
14,25,19.4,9,22,14.1,-1,92,80.1,64,24,9.7,3,29.5,29.2,29.1,0.0,IA,2018,1
15,14,2.5,-5,9,-5.4,-14,79,69.7,63,28,20.9,12,29.6,29.4,29.1,0.12,IA,2018,1
16,6,0.5,-6,-1,-6.3,-13,83,73.2,66,16,11.8,0,29.7,29.6,29.6,0.0,IA,2018,1
17,25,12.5,-2,11,3.1,-7,83,67.5,51,23,10.9,3,29.6,29.4,29.2,0.0,IA,2018,1
18,37,28.0,19,22,15.9,9,69,60.8,50,16,11.8,5,29.2,29.0,28.9,0.0,IA,2018,1
19,47,38.3,29,28,25.3,21,72,60.4,46,17,9.5,0,28.9,28.7,28.6,0.0,IA,2018,1
20,47,38.2,30,38,32.0,25,89,78.7,61,10,4.8,0,28.9,28.8,28.8,0.0,IA,2018,1
21,42,40.3,39,41,38.8,36,100,94.6,86,16,9.2,5,28.9,28.8,28.6,0.0,IA,2018,1
22,47,38.7,30,46,36.8,26,100,93.0,85,23,12.1,0,28.7,28.5,28.4,0.72,IA,2018,1
23,30,27.7,26,25,21.9,20,82,78.7,75,22,15.0,5,29.2,29.0,28.7,0.09,IA,2018,1
24,33,28.3,25,27,24.0,21,89,84.0,78,10,6.4,0,29.3,29.2,29.1,0.0,IA,2018,1
25,51,38.3,27,33,27.7,23,85,67.5,48,15,8.0,3,29.1,29.0,28.9,0.0,IA,2018,1
26,57,47.1,36,38,30.9,25,76,54.4,45,28,16.4,7,29.0,28.9,28.8,0.0,IA,2018,1
27,52,37.7,27,28,25.5,23,85,64.6,34,21,9.2,3,29.3,29.2,29.0,0.0,IA,2018,1
28,30,25.8,17,26,18.0,10,93,73.3,51,15,10.9,0,29.5,29.4,29.2,0.0,IA,2018,1
29,26,18.8,13,11,9.8,9,84,68.7,51,13,7.9,3,29.6,29.5,29.5,0.0,IA,2018,1
30,43,29.4,15,21,14.7,10,80,57.0,39,23,13.8,0,29.4,29.1,28.7,0.0,IA,2018,1
