day,temperature_max,temperature_avg,temperature_min,dew_point_max,dew_point_avg,dew_point_min,humidity_max,humidity_avg,humidity_min,wind_speed_max,wind_speed_avg,wind_speed_min,preasure_max,preasure_avg,preasure_min,precipitation,state,year,month
1,4,-4.8,-12,-8,-14.0,-20,75,64.9,55,13,8.3,5,30.2,30.1,30.1,0.01,IL,2018,1
2,14,2.8,-11,2,-6.5,-17,79,65.9,54,14,8.8,0,30.1,29.9,29.6,0.0,IL,2018,1
3,22,15.5,3,13,5.2,-4,73,64.0,54,20,13.5,8,29.7,29.6,29.5,0.0,IL,2018,1
4,11,5.7,-3,1,-3.0,-8,79,68.0,56,12,6.9,3,29.8,29.7,29.7,0.0,IL,2018,1
5,14,8.8,-3,4,-0.5,-8,79,66.0,54,9,5.7,3,29.9,29.8,29.7,0.0,IL,2018,1
6,16,5.4,-8,2,-4.0,-13,86,66.9,49,15,5.0,0,30.0,29.9,29.7,0.0,IL,2018,1
7,37,30.3,17,35,21.0,3,100,70.6,52,21,15.4,12,29.7,29.5,29.3,0.0,IL,2018,1
8,36,33.9,30,36,32.6,30,100,95.1,85,12,7.9,5,29.6,29.5,29.3,0.11,IL,2018,1
9,37,32.8,30,37,31.6,29,100,95.1,86,15,8.3,3,29.6,29.6,29.4,0.0,IL,2018,1
10,57,49.6,38,54,47.6,37,100,93.0,81,28,20.4,10,29.4,29.2,29.1,0.0,IL,2018,1
11,63,45.1,14,58,41.5,7,96,87.0,71,26,18.4,7,29.4,29.2,29.1,0.0,IL,2018,1
12,23,17.5,12,15,9.5,5,78,71.2,63,23,17.2,13,29.8,29.6,29.4,0.03,IL,2018,1
13,21,14.3,9,7,2.3,-1,77,60.1,38,15,8.3,0,30.0,30.0,29.8,0.0,IL,2018,1
14,25,19.1,5,18,11.3,0,86,73.0,49,22,14.0,0,30.0,29.8,29.6,0.0,IL,2018,1
15,29,17.3,1,25,11.8,-7,93,79.3,64,21,14.7,7,29.9,29.6,29.5,0.0,IL,2018,1
16,11,3.9,-2,4,-3.3,-9,84,71.9,66,15,11.3,6,30.0,30.0,29.9,0.0,IL,2018,1
17,23,11.2,-4,12,3.8,-8,83,72.6,60,13,9.2,6,30.0,29.9,29.7,0.0,IL,2018,1
18,41,28.2,17,21,15.3,8,72,59.6,43,17,11.9,7,29.7,29.6,29.4,0.0,IL,2018,1
19,52,38.3,28,28,22.1,16,65,53.6,35,22,15.3,12,29.4,29.3,29.2,0.0,IL,2018,1
20,49,41.5,34,41,34.5,26,96,76.5,67,14,10.1,6,29.4,29.3,29.3,0.0,IL,2018,1
21,62,51.3,40,55,48.7,39,97,91.1,75,21,11.6,5,29.3,29.3,29.1,0.0,IL,2018,1
22,61,52.2,36,54,46.9,31,100,83.1,55,28,18.8,7,29.1,28.9,28.8,0.27,IL,2018,1
23,37,33.9,30,36,29.6,24,100,84.9,73,22,14.4,7,29.6,29.3,28.9,0.04,IL,2018,1
24,36,30.8,27,26,23.6,21,89,75.4,62,13,5.4,0,29.7,29.7,29.6,0.0,IL,2018,1
25,58,42.7,29,35,29.5,25,85,62.7,33,17,13.1,6,29.7,29.6,29.5,0.0,IL,2018,1
26,56,48.3,39,38,31.8,30,76,54.6,38,26,19.4,12,29.6,29.5,29.4,0.0,IL,2018,1
27,55,46.4,30,46,32.9,22,83,61.8,28,21,9.7,0,29.6,29.6,29.4,0.0,IL,2018,1
28,52,38.2,26,31,25.6,21,84,62.8,36,15,7.4,0,29.8,29.7,29.6,0.0,IL,2018,1
29,30,27.9,20,26,20.8,14,89,75.4,56,16,11.3,6,29.9,29.8,29.7,0.0,IL,2018,1
30,36,26.3,13,17,14.0,10,88,62.7,40,28,11.3,0,29.9,29.7,29.4,0.0,IL,2018,1
31,52,41.7,33,32,26.0,18,76,54.5,40,22,12.4,0,29.3,29.2,29.1,0.0,IL,2018,1
1,37,25.5,14,30,10.9,0,82,55.1,39,21,14.2,7,29.9,29.6,29.3,0.0,IL,2018,2
2,25,17.7,7,8,1.7,-1,77,51.7,33,10,6.7,0,30.0,29.9,29.7,0.0,IL,2018,2
3,43,35.5,26,21,13.8,10,51,41.8,27,29,16.8,8,29.7,29.4,29.2,0.0,IL,2018,2
4,38,23.8,8,30,15.7,-2,82,71.7,53,22,14.4,6,29.7,29.4,29.1,0.0,IL,2018,2
5,23,15.1,-1,20,8.3,-7,92,75.8,52,10,4.7,0,29.7,29.6,29.5,0.02,IL,2018,2
6,21,15.6,9,13,10.9,6,92,82.2,68,10,6.8,0,29.8,29.7,29.6,0.05,IL,2018,2
7,27,19.7,13,17,11.6,8,88,71.4,58,14,8.6,0,29.9,29.7,29.6,0.0,IL,2018,2
8,42,28.4,16,29,17.4,7,81,65.2,43,17,8.3,0,29.8,29.7,29.5,0.0,IL,2018,2
9,47,33.5,26,30,25.1,21,84,72.0,46,17,12.5,7,29.5,29.5,29.5,0.0,IL,2018,2
10,25,21.9,20,20,17.8,16,93,84.9,71,17,13.7,9,29.6,29.5,29.4,0.01,IL,2018,2
11,25,20.2,13,19,16.3,9,93,85.3,68,14,10.3,0,29.8,29.4,29.3,0.25,IL,2018,2
12,30,19.3,9,17,11.0,5,84,71.5,51,14,8.0,0,30.1,30.0,29.8,0.0,IL,2018,2
13,42,31.0,16,31,22.9,12,88,73.0,55,12,7.4,0,30.0,29.8,29.6,0.0,IL,2018,2
14,56,46.2,35,49,44.0,30,100,92.0,75,15,8.0,0,29.6,29.4,29.2,0.0,IL,2018,2
15,68,51.7,42,60,50.2,35,100,95.1,70,16,10.2,0,29.3,29.2,29.1,0.0,IL,2018,2
16,41,33.6,22,34,24.3,14,83,69.5,42,18,10.7,0,29.7,29.6,29.3,0.01,IL,2018,2
17,39,32.3,22,36,29.0,16,96,88.0,74,17,9.9,0,29.6,29.4,29.3,0.0,IL,2018,2
18,50,34.9,21,39,27.9,19,100,78.2,46,23,10.8,0,29.6,29.5,29.2,0.05,IL,2018,2
19,65,57.3,49,61,54.6,41,100,90.9,71,26,18.5,13,29.2,29.2,29.2,0.08,IL,2018,2
20,67,50.7,32,63,47.1,0,100,89.2,0,29,13.9,0,29.6,29.4,29.2,0.96,IL,2018,2
21,33,30.4,27,29,26.8,23,89,86.2,81,16,12.6,9,29.9,29.8,29.6,1.91,IL,2018,2
22,46,40.3,32,44,38.0,28,97,91.4,81,15,9.8,0,29.8,29.7,29.5,0.05,IL,2018,2
23,47,42.6,37,45,39.5,34,96,89.0,82,17,8.4,3,29.6,29.6,29.5,0.06,IL,2018,2
24,55,44.9,37,53,43.1,35,100,93.8,76,35,14.4,7,29.6,29.2,28.9,0.22,IL,2018,2
25,49,38.8,33,32,28.1,25,89,67.5,41,31,12.3,0,29.5,29.4,29.2,0.47,IL,2018,2
26,59,44.9,31,35,30.5,24,85,59.6,36,14,8.3,0,29.6,29.6,29.5,0.0,IL,2018,2
27,67,54.8,40,39,34.3,30,68,47.7,31,23,17.0,10,29.6,29.5,29.3,0.0,IL,2018,2
28,56,53.1,50,52,49.6,40,100,88.4,61,10,5.9,0,29.3,29.2,29.1,0.01,IL,2018,2
1,54,47.2,37,52,42.0,26,97,83.5,52,21,11.7,3,29.7,29.3,29.0,0.09,IL,2018,3
2,51,39.5,30,30,25.8,22,82,61.0,33,9,6.0,3,29.8,29.8,29.7,0.16,IL,2018,3
3,54,42.1,31,27,24.3,19,76,52.7,25,16,10.5,5,29.9,29.8,29.7,0.0,IL,2018,3
4,57,45.3,34,27,26.1,24,75,49.7,29,18,14.2,7,29.7,29.6,29.5,0.0,IL,2018,3
5,45,39.1,31,43,34.7,25,96,85.6,46,26,16.8,0,29.4,29.3,29.1,0.43,IL,2018,3
6,42,35.3,31,33,29.2,27,96,79.3,55,23,12.9,6,29.3,29.1,29.1,0.48,IL,2018,3
7,37,33.7,28,31,24.1,17,89,68.5,55,20,14.8,9,29.5,29.4,29.3,0.01,IL,2018,3
8,38,29.1,23,21,18.1,16,88,64.7,44,18,10.8,0,29.5,29.5,29.4,0.0,IL,2018,3
9,46,34.9,22,24,21.7,19,89,61.3,38,10,5.0,0,29.4,29.4,29.3,0.0,IL,2018,3
10,51,40.1,28,26,23.0,21,79,53.4,31,16,11.0,5,29.4,29.4,29.4,0.0,IL,2018,3
11,47,38.3,31,26,23.8,21,70,57.2,37,20,11.5,6,29.6,29.5,29.4,0.0,IL,2018,3
12,50,39.1,30,30,23.8,15,82,57.9,28,20,12.9,6,29.6,29.6,29.5,0.0,IL,2018,3
13,45,35.0,26,24,18.5,11,78,54.4,28,22,11.3,5,29.6,29.6,29.5,0.0,IL,2018,3
14,54,38.5,20,24,19.2,15,89,51.5,23,23,10.5,0,29.6,29.4,29.2,0.0,IL,2018,3
15,61,47.6,33,30,24.2,19,70,42.6,21,14,7.0,0,29.4,29.3,29.2,0.0,IL,2018,3
16,47,38.1,30,34,22.8,14,89,57.5,29,23,15.0,3,29.5,29.4,29.2,0.0,IL,2018,3
17,39,37.6,37,36,34.7,33,96,89.6,82,16,7.9,0,29.4,29.3,29.1,0.22,IL,2018,3
