day,temperature_max,temperature_avg,temperature_min,dew_point_max,dew_point_avg,dew_point_min,humidity_max,humidity_avg,humidity_min,wind_speed_max,wind_speed_avg,wind_speed_min,preasure_max,preasure_avg,preasure_min,precipitation,state,year,month
1,3,-3.7,-9,-6,-12.3,-15,79,67.3,55,15,9.9,7,29.9,29.8,29.7,0.05,IN,2018,1
2,11,-1.4,-11,-3,-9.1,-16,83,70.5,54,10,7.1,3,29.8,29.7,29.4,0.0,IN,2018,1
3,20,13.3,5,14,5.3,-4,88,70.7,64,16,12.1,7,29.4,29.3,29.2,0.0,IN,2018,1
4,13,4.6,-3,2,-2.5,-8,83,72.9,56,15,9.4,5,29.4,29.4,29.3,0.0,IN,2018,1
5,10,0.7,-8,-2,-6.7,-11,87,72.2,55,15,8.6,6,29.6,29.5,29.4,0.0,IN,2018,1
6,16,4.0,-7,2,-4.1,-11,83,70.1,52,8,4.3,0,29.7,29.7,29.6,0.0,IN,2018,1
7,35,24.4,6,29,12.1,-2,78,60.2,45,17,10.8,7,29.6,29.4,29.1,0.0,IN,2018,1
8,36,33.9,31,36,33.2,31,100,97.2,89,18,11.8,6,29.3,29.2,29.1,0.12,IN,2018,1
9,38,32.1,28,33,30.7,28,100,94.5,79,12,5.9,0,29.4,29.4,29.3,0.0,IN,2018,1
10,56,47.1,35,54,45.8,33,100,95.4,89,17,11.5,6,29.3,29.2,29.1,0.0,IN,2018,1
11,57,55.0,43,57,53.4,42,100,94.5,83,20,12.1,0,29.1,29.0,28.9,0.03,IN,2018,1
12,42,26.4,20,41,23.0,13,97,86.9,68,25,19.0,14,29.4,29.1,28.9,0.73,IN,2018,1
13,19,15.3,8,12,7.6,3,81,71.9,62,20,10.6,3,29.8,29.6,29.4,0.09,IN,2018,1
14,20,13.4,1,13,7.9,-3,92,79.2,57,15,7.8,0,29.8,29.6,29.5,0.0,IN,2018,1
15,26,17.5,4,23,13.7,-1,96,85.2,71,18,11.7,7,29.6,29.4,29.3,0.09,IN,2018,1
16,7,2.3,-4,2,-3.3,-8,83,77.5,72,16,12.2,7,29.7,29.6,29.6,0.06,IN,2018,1
17,18,8.4,0,9,3.1,-3,91,79.6,68,15,9.0,6,29.7,29.6,29.5,0.0,IN,2018,1
18,31,19.9,10,14,9.6,5,81,65.5,50,20,14.3,10,29.5,29.4,29.3,0.0,IN,2018,1
19,40,30.1,19,26,17.9,11,71,60.8,47,18,12.8,8,29.3,29.2,29.1,0.0,IN,2018,1
20,44,39.2,32,40,32.1,22,100,76.9,57,17,10.2,3,29.2,29.2,29.1,0.0,IN,2018,1
21,50,44.7,39,50,44.4,39,100,98.9,93,12,6.7,0,29.2,29.2,29.1,0.02,IN,2018,1
22,54,49.7,38,49,45.9,35,100,86.8,74,32,16.5,0,29.1,28.9,28.7,0.03,IN,2018,1
23,40,34.5,30,35,32.0,27,97,90.9,82,22,15.0,5,29.3,29.0,28.7,0.52,IN,2018,1
24,31,29.1,27,30,24.3,20,96,82.3,72,15,10.0,3,29.5,29.4,29.3,0.01,IN,2018,1
25,45,32.5,22,32,25.2,18,89,75.2,56,14,9.0,3,29.6,29.5,29.4,0.0,IN,2018,1
26,58,45.5,32,29,24.9,18,82,49.6,21,23,14.0,3,29.5,29.4,29.3,0.0,IN,2018,1
