day,temperature_max,temperature_avg,temperature_min,dew_point_max,dew_point_avg,dew_point_min,humidity_max,humidity_avg,humidity_min,wind_speed_max,wind_speed_avg,wind_speed_min,preasure_max,preasure_avg,preasure_min,precipitation,state,year,month
1,12,2.6,-7,-6,-10.3,-15,72,56.5,39,9,5.1,0,29.7,29.7,29.6,0.0,KS,2018,1
2,24,12.1,-2,2,-3.3,-7,83,53.5,30,15,6.8,0,29.6,29.4,29.1,0.0,KS,2018,1
3,29,21.9,13,15,8.7,3,71,57.9,41,21,10.9,0,29.2,29.1,29.1,0.0,KS,2018,1
4,32,17.8,6,14,8.1,2,84,67.0,47,10,4.7,0,29.3,29.2,29.1,0.0,KS,2018,1
5,31,21.1,12,11,7.4,5,77,57.4,37,12,7.1,0,29.3,29.2,29.1,0.0,KS,2018,1
6,34,23.5,12,17,9.6,4,71,56.6,40,12,8.4,5,29.3,29.2,28.9,0.0,KS,2018,1
7,42,38.0,31,38,32.0,18,100,81.4,49,18,8.9,3,28.9,28.8,28.7,0.0,KS,2018,1
8,52,36.6,25,35,28.5,22,92,75.2,40,10,6.5,0,29.1,29.0,28.9,0.03,KS,2018,1
9,50,39.2,33,38,34.2,30,96,83.4,59,18,10.1,3,29.0,28.9,28.7,0.0,KS,2018,1
10,55,48.2,39,43,40.4,37,93,75.3,61,24,17.7,13,28.7,28.5,28.4,0.0,KS,2018,1
11,50,26.7,13,46,21.9,4,100,82.4,64,31,19.2,0,29.1,28.8,28.5,0.36,KS,2018,1
12,20,13.3,7,6,1.6,-2,70,60.1,52,18,12.6,8,29.4,29.2,29.1,0.04,KS,2018,1
13,21,17.2,13,10,3.7,1,65,55.7,48,12,6.7,0,29.5,29.4,29.4,0.0,KS,2018,1
14,37,23.5,19,34,19.1,13,93,83.7,64,16,8.7,0,29.4,29.2,29.0,0.12,KS,2018,1
15,35,17.6,2,33,9.0,-8,92,69.5,58,26,17.9,10,29.6,29.3,29.1,0.05,KS,2018,1
16,13,3.6,-2,3,-4.1,-9,83,70.5,61,17,9.9,0,29.6,29.6,29.5,0.0,KS,2018,1
17,26,12.8,-3,14,5.2,-8,83,72.3,58,15,8.2,0,29.5,29.4,29.2,0.0,KS,2018,1
18,43,30.7,18,26,17.3,9,68,58.3,47,20,13.5,9,29.2,29.0,28.9,0.0,KS,2018,1
19,51,40.0,31,31,24.5,19,65,54.5,41,18,14.9,10,28.9,28.7,28.6,0.0,KS,2018,1
20,53,45.7,39,46,41.5,32,100,85.7,70,17,9.4,5,28.7,28.7,28.7,0.0,KS,2018,1
21,65,49.7,38,51,45.8,38,100,87.9,61,20,8.9,0,28.7,28.6,28.4,0.0,KS,2018,1
22,40,34.0,31,38,31.1,25,96,89.0,79,28,19.7,8,28.8,28.4,28.3,0.02,KS,2018,1
23,37,30.0,26,28,24.8,22,89,81.1,67,18,9.5,0,29.1,29.0,28.8,0.05,KS,2018,1
24,53,38.0,25,31,25.3,23,92,63.3,34,13,7.4,3,29.2,29.1,29.1,0.0,KS,2018,1
25,68,50.0,35,25,21.8,18,61,36.8,17,22,15.3,10,29.0,29.0,28.9,0.0,KS,2018,1
26,60,51.2,36,44,33.3,22,76,51.7,31,31,19.0,7,29.0,28.8,28.7,0.0,KS,2018,1
27,58,39.9,25,30,23.4,17,88,56.7,20,15,6.3,0,29.2,29.1,29.0,0.0,KS,2018,1
28,40,29.7,21,28,21.3,16,85,71.4,57,21,9.2,0,29.4,29.3,29.2,0.0,KS,2018,1
29,33,21.7,14,14,10.7,9,80,64.4,37,15,7.9,0,29.5,29.4,29.3,0.0,KS,2018,1
30,51,37.8,20,24,18.5,13,74,48.4,29,25,15.5,5,29.3,29.0,28.7,0.0,KS,2018,1
31,52,42.9,29,32,28.5,22,78,57.9,43,17,7.8,0,28.9,28.7,28.6,0.0,KS,2018,1
1,44,28.6,17,29,11.1,2,67,49.0,30,17,11.9,5,29.4,29.2,28.9,0.0,KS,2018,2
2,37,25.5,10,14,8.2,3,77,50.6,31,15,8.5,0,29.4,29.3,29.0,0.0,KS,2018,2
3,50,40.9,34,28,20.8,14,73,46.0,33,24,15.6,3,29.0,28.8,28.6,0.0,KS,2018,2
4,37,17.2,-1,29,9.3,-5,85,71.6,54,23,15.6,0,29.3,29.1,28.8,0.0,KS,2018,2
5,24,13.8,-2,13,5.8,-6,84,70.9,62,14,8.4,3,29.2,29.0,28.9,0.0,KS,2018,2
6,20,15.7,13,10,7.8,6,77,71.2,60,13,8.7,5,29.3,29.2,29.1,0.0,KS,2018,2
7,32,19.0,9,17,11.5,5,88,73.8,52,12,5.5,0,29.3,29.3,29.2,0.0,KS,2018,2
8,57,38.2,17,26,21.6,13,85,55.4,29,17,10.2,0,29.2,29.1,28.9,0.0,KS,2018,2
9,46,27.8,17,27,18.1,7,85,67.7,47,18,13.8,3,29.1,29.0,28.8,0.0,KS,2018,2
10,23,16.6,12,12,8.7,5,88,71.6,57,18,12.9,7,29.1,29.0,28.9,0.0,KS,2018,2
11,35,22.2,14,15,10.7,8,81,64.0,37,14,7.9,0,29.3,29.1,28.9,0.0,KS,2018,2
12,38,25.6,10,20,11.1,5,81,57.5,33,15,7.6,0,29.4,29.4,29.3,0.0,KS,2018,2
13,51,39.0,29,28,22.9,18,73,54.3,36,20,11.8,5,29.3,29.2,29.0,0.0,KS,2018,2
14,66,49.8,37,47,41.0,30,89,73.5,42,17,12.0,6,29.0,28.8,28.6,0.0,KS,2018,2
15,64,54.4,37,56,41.7,30,87,64.2,30,25,14.8,7,29.0,28.7,28.5,0.0,KS,2018,2
16,38,30.2,22,29,14.0,4,76,53.9,25,21,10.8,0,29.3,29.2,29.0,0.0,KS,2018,2
17,57,39.3,29,33,22.2,15,92,55.7,23,21,8.9,0,29.0,28.9,28.8,0.0,KS,2018,2
18,57,48.6,26,51,35.4,18,90,62.0,38,31,20.6,6,29.0,28.7,28.5,0.0,KS,2018,2
19,65,41.5,29,60,37.9,27,100,87.0,75,25,14.6,6,28.7,28.6,28.4,0.0,KS,2018,2
20,30,27.0,19,28,23.6,14,96,87.3,74,24,14.9,6,29.3,28.9,28.7,0.03,KS,2018,2
21,28,22.6,14,25,16.9,9,92,78.8,71,16,10.9,7,29.4,29.3,29.3,0.31,KS,2018,2
22,34,30.7,28,34,29.2,25,100,93.7,88,9,5.3,0,29.3,29.1,29.0,0.04,KS,2018,2
23,36,34.1,33,34,31.3,28,100,89.7,73,10,5.9,0,29.2,29.1,29.0,0.06,KS,2018,2
24,39,35.7,30,38,34.0,28,100,93.8,82,17,9.3,3,28.9,28.7,28.6,0.06,KS,2018,2
25,51,35.8,20,27,22.8,18,92,63.8,31,13,5.6,0,29.0,28.9,28.8,0.03,KS,2018,2
26,64,43.7,25,34,26.2,19,88,58.0,18,18,8.3,0,29.1,29.0,28.9,0.0,KS,2018,2
27,70,54.8,38,53,46.8,34,97,77.1,40,26,14.5,6,29.0,28.8,28.7,0.0,KS,2018,2
