day,temperature_max,temperature_avg,temperature_min,dew_point_max,dew_point_avg,dew_point_min,humidity_max,humidity_avg,humidity_min,wind_speed_max,wind_speed_avg,wind_speed_min,preasure_max,preasure_avg,preasure_min,precipitation,state,year,month
1,17,9.3,3,6,-1.2,-6,81,64.3,37,12,7.3,3,29.6,29.6,29.4,0.01,KY,2018,1
2,20,8.5,-2,-1,-4.5,-9,73,57.5,37,6,3.3,0,29.6,29.5,29.3,0.0,KY,2018,1
3,30,18.4,4,12,2.3,-2,76,53.0,25,15,8.6,0,29.3,29.1,29.0,0.0,KY,2018,1
4,21,15.2,8,12,5.7,2,77,66.9,48,16,10.3,6,29.2,29.1,29.0,0.0,KY,2018,1
5,18,10.9,7,0,-1.5,-4,73,58.4,41,10,5.5,0,29.4,29.3,29.2,0.0,KY,2018,1
6,21,10.8,0,4,-2.0,-8,73,57.5,40,7,2.5,0,29.5,29.5,29.4,0.0,KY,2018,1
7,42,26.5,10,18,4.5,-1,61,41.9,21,15,10.9,6,29.4,29.3,29.1,0.0,KY,2018,1
8,38,36.7,35,35,31.4,16,93,82.4,42,15,8.1,0,29.2,29.1,29.0,0.02,KY,2018,1
9,47,39.3,35,40,35.7,32,93,86.9,74,8,4.2,0,29.3,29.2,29.1,0.26,KY,2018,1
10,64,54.2,40,51,46.2,37,90,75.2,63,18,10.9,3,29.1,29.1,29.0,0.0,KY,2018,1
11,66,57.5,52,56,51.9,47,89,81.5,68,21,11.0,5,29.0,28.9,28.8,0.0,KY,2018,1
12,59,35.0,23,55,31.5,18,93,86.9,81,25,15.9,9,29.0,28.8,28.6,0.16,KY,2018,1
13,22,17.9,11,18,9.8,3,85,70.8,52,22,11.3,3,29.5,29.3,29.0,0.31,KY,2018,1
14,21,12.9,2,9,3.3,-6,92,66.3,54,12,4.5,0,29.6,29.5,29.3,0.0,KY,2018,1
15,37,26.0,19,26,18.8,10,86,75.0,48,18,9.3,5,29.3,29.3,29.2,0.02,KY,2018,1
16,22,12.5,5,17,6.8,-3,85,77.6,64,14,7.6,0,29.5,29.4,29.3,0.1,KY,2018,1
17,16,10.1,6,7,3.8,0,84,76.0,68,9,5.4,0,29.5,29.5,29.4,0.11,KY,2018,1
18,27,17.2,6,13,7.7,1,80,67.5,51,17,10.8,6,29.4,29.3,29.2,0.01,KY,2018,1
19,39,29.8,19,20,15.3,10,68,55.5,44,16,12.3,9,29.2,29.1,29.0,0.0,KY,2018,1
20,50,45.0,35,44,33.8,20,86,65.7,50,16,11.1,7,29.1,29.1,29.0,0.0,KY,2018,1
21,59,53.9,48,50,44.0,37,77,69.3,61,13,9.3,5,29.1,29.1,29.0,0.0,KY,2018,1
22,59,56.6,53,52,46.6,43,87,69.7,55,29,17.4,9,29.0,28.7,28.6,0.0,KY,2018,1
23,50,39.4,33,35,29.7,28,89,69.5,52,23,14.1,9,29.1,28.9,28.6,0.19,KY,2018,1
24,35,32.1,26,28,25.4,19,85,76.3,67,13,7.5,0,29.3,29.2,29.1,0.0,KY,2018,1
25,47,33.3,19,28,21.9,15,85,65.0,44,12,6.7,0,29.5,29.4,29.4,0.0,KY,2018,1
26,58,45.8,34,24,22.5,21,61,41.9,24,16,11.6,7,29.4,29.4,29.3,0.0,KY,2018,1
27,59,51.4,44,50,44.5,21,94,79.3,39,20,7.2,0,29.3,29.2,29.1,0.0,KY,2018,1
28,53,44.5,33,47,37.3,25,93,77.5,41,12,7.1,0,29.3,29.2,29.2,0.91,KY,2018,1
29,43,33.6,29,32,25.3,21,82,71.9,61,17,9.8,0,29.3,29.2,29.1,0.0,KY,2018,1
30,34,28.0,24,20,13.9,11,69,56.1,38,13,6.8,0,29.4,29.3,29.2,0.0,KY,2018,1
31,54,40.4,25,25,19.5,14,66,45.5,28,28,15.6,7,29.2,29.0,28.8,0.0,KY,2018,1
1,49,38.3,25,37,29.4,18,89,72.9,39,17,11.6,7,29.2,29.0,28.9,0.0,KY,2018,2
2,23,18.2,12,14,8.2,4,74,65.3,55,20,7.3,0,29.5,29.4,29.2,0.2,KY,2018,2
3,40,27.5,14,21,14.8,7,77,60.6,40,16,8.8,5,29.4,29.2,29.0,0.0,KY,2018,2
4,41,34.5,26,37,29.9,19,89,83.7,45,24,11.2,5,29.1,28.9,28.8,0.13,KY,2018,2
5,30,24.4,20,20,15.7,12,78,70.0,59,10,4.3,0,29.3,29.2,29.1,0.11,KY,2018,2
