day,temperature_max,temperature_avg,temperature_min,dew_point_max,dew_point_avg,dew_point_min,humidity_max,humidity_avg,humidity_min,wind_speed_max,wind_speed_avg,wind_speed_min,preasure_max,preasure_avg,preasure_min,precipitation,state,year,month
1,13,5.9,0,-6,-10.0,-13,60,48.9,39,21,16.3,10,30.3,30.2,30.2,0.0,MA,2018,1
2,19,12.4,5,7,-1.7,-6,66,54.0,36,16,12.8,8,30.3,30.2,30.2,0.0,MA,2018,1
3,28,22.3,17,14,8.2,4,66,55.4,36,20,9.5,5,30.3,30.2,30.1,0.0,MA,2018,1
4,30,26.3,23,29,21.9,10,96,84.2,55,35,23.8,5,30.0,29.3,28.8,0.0,MA,2018,1
5,23,13.4,7,11,-0.8,-9,64,53.5,46,36,25.1,15,29.7,29.5,29.2,0.61,MA,2018,1
6,12,7.9,1,-8,-9.7,-16,51,44.9,39,31,22.1,13,30.3,30.0,29.7,0.0,MA,2018,1
7,16,7.6,-2,4,-10.1,-17,59,45.0,34,28,16.0,8,30.5,30.4,30.2,0.0,MA,2018,1
8,35,28.7,19,26,14.7,4,79,57.0,40,22,16.6,13,30.2,30.1,29.9,0.0,MA,2018,1
9,41,35.5,32,26,22.3,17,79,60.2,41,18,13.8,8,30.3,30.0,29.9,0.0,MA,2018,1
10,36,30.8,26,27,19.4,14,76,63.0,50,13,7.4,0,30.5,30.4,30.3,0.0,MA,2018,1
11,49,42.7,34,45,39.3,28,97,88.0,78,22,11.8,7,30.4,30.3,30.2,0.0,MA,2018,1
12,60,52.0,42,60,51.5,42,100,98.1,83,31,13.9,0,30.2,29.9,29.6,0.0,MA,2018,1
13,60,47.4,19,59,41.8,6,100,82.3,52,35,20.1,14,30.3,29.6,29.3,1.86,MA,2018,1
14,23,17.8,14,6,1.0,-3,60,48.4,40,17,11.7,7,30.7,30.6,30.3,0.0,MA,2018,1
15,21,16.5,12,9,6.2,2,80,64.7,46,20,14.1,8,30.7,30.6,30.5,0.0,MA,2018,1
