day,temperature_max,temperature_avg,temperature_min,dew_point_max,dew_point_avg,dew_point_min,humidity_max,humidity_avg,humidity_min,wind_speed_max,wind_speed_avg,wind_speed_min,preasure_max,preasure_avg,preasure_min,precipitation,state,year,month
1,22,14.2,5,7,2.0,-2,87,60.1,38,18,7.4,0,30.4,30.3,30.3,0.0,MD,2018,1
2,23,16.1,11,4,0.5,-2,67,50.8,39,16,10.0,0,30.4,30.3,30.2,0.0,MD,2018,1
3,30,20.3,5,19,8.5,2,87,62.5,37,9,4.2,0,30.2,30.1,29.8,0.0,MD,2018,1
4,26,22.1,14,22,13.3,-2,93,70.6,49,28,17.9,5,29.8,29.6,29.4,1.98,MD,2018,1
5,18,12.8,10,-2,-4.5,-6,56,46.2,39,25,17.6,12,30.1,29.9,29.7,0.02,MD,2018,1
6,17,11.6,7,-4,-5.9,-7,53,45.6,36,23,15.6,7,30.4,30.3,30.1,0.0,MD,2018,1
7,21,13.3,3,2,-2.8,-6,66,50.0,32,8,4.0,0,30.5,30.4,30.2,0.0,MD,2018,1
8,35,27.1,13,35,16.6,1,100,67.5,38,12,3.6,0,30.2,30.0,29.9,0.0,MD,2018,1
9,49,33.4,23,35,28.6,23,100,85.5,46,12,3.5,0,30.2,30.1,29.9,0.06,MD,2018,1
10,42,34.4,24,30,26.3,22,96,73.3,55,7,2.3,0,30.3,30.3,30.2,0.0,MD,2018,1
11,70,51.0,41,56,41.4,30,100,71.2,42,13,4.0,0,30.2,30.1,29.9,0.0,MD,2018,1
12,63,58.8,53,63,58.8,53,100,100.0,100,13,7.2,3,29.9,29.6,29.3,0.12,MD,2018,1
13,57,38.4,21,57,30.3,5,100,74.6,46,32,15.7,7,30.3,29.7,29.2,0.36,MD,2018,1
14,26,19.7,15,6,2.6,0,65,48.4,32,13,7.6,3,30.5,30.4,30.3,0.0,MD,2018,1
15,29,23.0,13,22,14.7,6,78,70.8,65,8,3.5,0,30.5,30.4,30.3,0.0,MD,2018,1
16,39,31.4,28,31,27.9,24,100,87.8,60,7,1.8,0,30.3,30.3,30.2,0.0,MD,2018,1
17,33,26.1,18,31,18.2,7,100,73.8,48,18,10.5,6,30.2,30.2,30.1,0.09,MD,2018,1
18,42,28.2,13,13,8.8,7,77,47.6,24,18,9.6,3,30.1,29.9,29.9,0.01,MD,2018,1
19,51,34.5,21,20,15.3,10,75,49.9,22,16,3.9,0,30.0,29.9,29.9,0.0,MD,2018,1
20,60,41.3,26,31,24.7,14,76,55.2,28,14,5.5,0,29.9,29.8,29.8,0.0,MD,2018,1
21,56,43.9,30,38,35.0,28,92,72.1,51,8,2.5,0,30.1,30.0,29.9,0.0,MD,2018,1
22,61,50.4,43,44,40.8,38,86,70.5,51,8,3.7,0,30.0,29.9,29.8,0.0,MD,2018,1
23,64,53.4,43,60,45.1,28,100,76.5,41,23,10.5,0,29.8,29.6,29.4,0.04,MD,2018,1
24,44,39.7,31,30,25.1,16,68,56.3,44,17,12.2,5,30.1,29.9,29.7,0.06,MD,2018,1
25,39,32.5,22,23,17.5,15,78,55.4,39,16,8.2,0,30.4,30.3,30.1,0.0,MD,2018,1
26,41,31.0,20,27,21.2,17,92,69.5,43,13,3.0,0,30.6,30.5,30.4,0.0,MD,2018,1
27,61,46.2,24,42,33.7,23,96,65.2,39,17,7.4,0,30.4,30.2,30.1,0.0,MD,2018,1
28,57,51.1,47,52,48.9,43,100,93.1,59,10,5.2,0,30.1,30.1,30.0,0.01,MD,2018,1
29,47,43.7,40,41,32.2,27,80,64.7,51,16,9.5,3,30.0,29.9,29.8,0.1,MD,2018,1
30,40,30.8,21,33,19.4,5,96,64.6,43,22,13.9,0,30.1,29.9,29.8,0.02,MD,2018,1
31,38,26.7,16,20,11.1,6,71,53.7,31,9,4.8,0,30.2,30.1,29.9,0.0,MD,2018,1
1,51,44.0,38,39,26.5,18,89,51.3,41,18,7.5,0,29.8,29.8,29.7,0.0,MD,2018,2
2,39,27.7,16,37,13.0,2,97,56.3,37,25,14.6,3,30.3,30.0,29.8,0.04,MD,2018,2
3,34,24.8,13,14,6.5,3,71,48.0,27,12,5.7,0,30.4,30.3,30.2,0.0,MD,2018,2
4,34,32.2,31,34,26.8,13,100,83.1,47,10,4.6,0,30.1,29.8,29.6,0.0,MD,2018,2
5,35,30.1,23,33,20.2,11,100,69.2,38,22,9.5,0,30.1,29.9,29.6,1.19,MD,2018,2
6,40,30.6,22,26,23.0,19,92,74.5,53,10,2.6,0,30.3,30.2,30.1,0.0,MD,2018,2
7,39,33.4,27,38,30.2,23,100,88.8,69,16,6.9,0,30.3,30.0,29.8,0.01,MD,2018,2
8,35,28.1,20,25,16.8,13,92,63.9,42,18,8.8,0,30.3,30.3,30.1,0.42,MD,2018,2
9,43,32.6,22,32,24.6,18,92,74.0,48,10,4.2,0,30.4,30.3,30.2,0.0,MD,2018,2
