day,temperature_max,temperature_avg,temperature_min,dew_point_max,dew_point_avg,dew_point_min,humidity_max,humidity_avg,humidity_min,wind_speed_max,wind_speed_avg,wind_speed_min,preasure_max,preasure_avg,preasure_min,precipitation,state,year,month
1,6,-2.8,-10,-10,-15.6,-20,62,54.8,43,14,6.8,0,29.8,29.7,29.7,0.0,ME,2018,1
2,8,1.7,-6,-4,-11.7,-16,70,54.3,40,14,5.8,0,29.8,29.8,29.7,0.0,ME,2018,1
3,23,12.7,2,11,5.0,-3,84,72.4,55,10,3.5,0,29.9,29.8,29.7,0.0,ME,2018,1
4,25,19.7,4,23,16.4,1,93,87.1,63,33,19.4,0,29.7,28.9,28.4,0.0,ME,2018,1
5,23,6.5,-3,11,-6.4,-19,73,55.8,46,23,16.8,9,29.2,28.9,28.5,0.1,ME,2018,1
6,-2,-4.1,-7,-15,-18.4,-23,59,50.3,46,23,13.7,3,29.7,29.4,29.2,0.0,ME,2018,1
7,11,2.2,-8,-6,-14.5,-20,58,46.6,33,12,7.0,3,30.0,29.9,29.7,0.0,ME,2018,1
8,25,16.2,11,18,9.2,-6,88,74.5,46,7,3.0,0,29.8,29.6,29.5,0.0,ME,2018,1
9,36,29.5,24,25,18.5,10,84,64.8,46,17,9.6,0,29.9,29.6,29.4,0.0,ME,2018,1
10,33,26.0,19,22,15.0,9,81,64.1,43,10,5.1,0,30.1,30.0,29.9,0.0,ME,2018,1
11,45,38.9,31,43,32.9,20,97,79.6,64,9,7.5,3,29.9,29.8,29.8,0.0,ME,2018,1
12,52,48.2,43,52,47.9,42,100,99.0,96,17,11.4,6,29.8,29.4,29.2,0.0,ME,2018,1
13,53,35.1,12,53,32.6,4,100,90.6,67,28,14.4,6,29.9,29.3,29.0,2.12,ME,2018,1
14,17,10.8,4,3,-0.9,-5,80,60.6,39,13,8.3,5,30.4,30.2,29.9,0.32,ME,2018,1
15,14,8.5,1,9,-0.1,-8,84,68.4,51,15,11.6,8,30.4,30.3,30.2,0.0,ME,2018,1
16,24,18.6,12,18,11.2,6,88,73.7,60,15,3.3,0,30.1,30.1,30.0,0.0,ME,2018,1
17,25,22.7,19,23,20.5,18,96,90.9,86,9,4.7,0,30.0,29.9,29.6,0.11,ME,2018,1
18,30,22.7,18,22,16.5,13,96,78.5,54,13,4.7,0,29.6,29.5,29.4,0.14,ME,2018,1
19,31,24.1,13,22,18.0,10,93,78.4,61,7,3.1,0,29.6,29.5,29.4,0.01,ME,2018,1
20,46,36.1,27,28,23.8,21,78,62.1,47,16,7.7,3,29.5,29.3,29.2,0.02,ME,2018,1
21,41,38.5,32,28,24.5,22,70,57.7,47,15,7.2,0,29.8,29.7,29.5,0.0,ME,2018,1
22,32,22.0,19,21,16.4,13,92,79.8,61,13,8.2,5,30.0,29.9,29.8,0.0,ME,2018,1
23,33,26.1,18,33,24.8,15,100,94.8,88,12,7.5,0,29.9,29.4,29.0,0.19,ME,2018,1
24,36,25.9,16,32,18.8,7,92,74.8,63,18,10.8,5,29.6,29.4,29.1,0.78,ME,2018,1
25,18,12.7,9,6,1.5,-3,73,61.4,48,18,8.9,0,30.0,29.8,29.6,0.0,ME,2018,1
26,26,16.4,9,10,4.0,-2,74,58.9,44,9,5.3,0,30.2,30.1,30.0,0.0,ME,2018,1
27,43,30.7,14,32,22.3,7,86,71.4,56,13,7.6,0,30.2,29.9,29.7,0.0,ME,2018,1
28,47,41.3,33,34,28.5,21,82,61.5,40,10,6.4,0,29.9,29.8,29.6,0.0,ME,2018,1
29,32,23.6,19,22,9.0,3,72,54.0,44,16,11.5,5,30.0,29.9,29.8,0.0,ME,2018,1
30,18,16.4,14,8,5.6,1,70,62.7,50,21,15.8,9,29.7,29.6,29.5,0.0,ME,2018,1
31,26,18.9,11,8,0.3,-4,59,45.3,28,14,7.3,3,29.7,29.6,29.5,0.0,ME,2018,1
1,31,27.7,24,27,23.4,9,92,84.0,51,10,5.9,0,29.6,29.5,29.4,0.0,ME,2018,2
2,32,21.9,3,30,14.7,-10,96,75.7,43,21,11.3,0,29.7,29.4,29.3,0.14,ME,2018,2
3,17,9.0,1,5,-5.6,-13,64,52.0,39,13,7.3,0,29.9,29.9,29.7,0.01,ME,2018,2
