day,temperature_max,temperature_avg,temperature_min,dew_point_max,dew_point_avg,dew_point_min,humidity_max,humidity_avg,humidity_min,wind_speed_max,wind_speed_avg,wind_speed_min,preasure_max,preasure_avg,preasure_min,precipitation,state,year,month
1,11,8.5,4,7,2.2,-1,87,75.9,64,17,9.5,5,29.6,29.6,29.5,0.0,MI,2018,1
2,17,11.0,2,9,4.6,-8,88,75.9,58,21,15.1,5,29.6,29.4,29.2,0.0,MI,2018,1
3,17,11.7,3,13,6.5,-7,88,79.9,63,17,11.2,7,29.2,29.1,29.0,0.0,MI,2018,1
4,13,6.3,-3,7,-1.4,-8,83,71.4,56,13,8.4,0,29.3,29.2,29.1,0.02,MI,2018,1
5,6,0.5,-7,-4,-7.1,-10,87,71.5,55,12,5.0,0,29.4,29.4,29.3,0.0,MI,2018,1
6,10,1.5,-5,2,-5.2,-9,100,75.1,48,9,2.1,0,29.6,29.6,29.5,0.0,MI,2018,1
7,31,20.7,5,27,11.3,-1,88,67.3,57,22,16.3,9,29.5,29.2,29.0,0.0,MI,2018,1
8,37,32.5,28,32,29.6,26,96,89.2,70,22,15.4,8,29.1,29.0,28.9,0.17,MI,2018,1
9,35,27.0,0,30,24.8,0,100,89.4,0,12,3.4,0,29.4,29.3,29.2,0.02,MI,2018,1
10,50,36.3,27,49,35.5,25,100,96.8,92,17,10.7,0,29.3,29.1,28.9,0.0,MI,2018,1
11,59,54.3,50,54,52.7,49,100,94.3,81,23,14.1,0,28.9,28.9,28.8,0.05,MI,2018,1
12,50,25.5,11,49,20.6,0,100,82.4,54,22,14.9,8,29.4,29.0,28.8,0.32,MI,2018,1
13,16,12.6,8,8,4.2,1,92,69.9,54,16,6.3,0,29.6,29.5,29.3,0.21,MI,2018,1
14,17,10.0,0,8,3.0,-4,92,74.1,56,14,6.9,0,29.7,29.6,29.5,0.0,MI,2018,1
15,20,16.4,14,16,12.7,7,93,85.4,70,17,9.4,0,29.5,29.3,29.3,0.06,MI,2018,1
16,17,12.8,8,16,9.7,5,100,87.4,77,12,6.0,0,29.5,29.4,29.3,0.09,MI,2018,1
17,27,15.5,2,16,8.8,-1,92,75.9,55,24,13.0,3,29.5,29.4,29.2,0.03,MI,2018,1
18,31,22.2,16,18,14.8,11,84,73.8,57,22,15.3,9,29.2,29.1,29.0,0.0,MI,2018,1
19,36,30.8,24,25,20.7,17,75,66.4,57,24,16.2,13,29.0,28.9,28.8,0.0,MI,2018,1
20,43,36.6,32,31,28.2,25,92,71.8,60,18,11.2,6,29.1,29.0,28.8,0.0,MI,2018,1
21,39,36.6,33,38,35.8,31,100,97.2,92,7,4.4,0,29.1,29.1,29.0,0.0,MI,2018,1
22,51,42.1,37,48,41.9,37,100,99.2,89,13,7.0,0,29.0,28.8,28.6,0.32,MI,2018,1
23,45,34.0,27,45,30.4,21,100,86.6,78,26,15.6,0,29.1,28.7,28.6,0.49,MI,2018,1
24,26,24.6,23,20,17.6,15,85,75.1,66,15,6.3,0,29.4,29.3,29.1,0.0,MI,2018,1
25,34,29.0,25,25,22.0,18,85,75.3,66,12,7.0,0,29.5,29.4,29.4,0.0,MI,2018,1
26,52,41.6,29,32,28.5,25,89,62.9,37,24,14.1,6,29.4,29.3,29.1,0.0,MI,2018,1
27,50,44.6,32,40,30.9,23,73,59.8,41,28,16.0,6,29.3,29.1,29.1,0.0,MI,2018,1
28,42,33.0,28,30,26.0,23,93,76.3,55,10,6.6,0,29.4,29.4,29.3,0.0,MI,2018,1
29,28,23.5,16,26,19.9,7,96,86.4,65,15,10.3,5,29.4,29.4,29.4,0.07,MI,2018,1
30,23,19.7,16,16,10.8,6,75,68.4,58,13,5.5,0,29.5,29.4,29.2,0.05,MI,2018,1
31,41,33.0,23,29,22.5,17,82,66.1,53,26,15.9,9,29.2,28.9,28.7,0.0,MI,2018,1
1,34,22.6,8,29,14.5,-1,85,71.6,54,25,14.6,8,29.3,29.0,28.8,0.0,MI,2018,2
