day,temperature_max,temperature_avg,temperature_min,dew_point_max,dew_point_avg,dew_point_min,humidity_max,humidity_avg,humidity_min,wind_speed_max,wind_speed_avg,wind_speed_min,preasure_max,preasure_avg,preasure_min,precipitation,state,year,month
1,10,0.7,-8,-9,-11.8,-16,71,56.9,38,12,7.9,3,29.9,29.8,29.8,0.0,MO,2018,1
2,21,8.8,-4,2,-5.2,-11,82,55.4,32,14,6.6,0,29.8,29.6,29.3,0.0,MO,2018,1
3,27,19.8,8,13,6.3,0,70,56.5,43,18,13.0,7,29.4,29.3,29.2,0.0,MO,2018,1
4,18,12.0,2,5,-0.6,-4,76,58.5,41,10,5.0,0,29.4,29.4,29.4,0.0,MO,2018,1
5,26,18.3,13,8,5.8,2,68,58.4,44,13,8.3,0,29.5,29.4,29.3,0.0,MO,2018,1
6,27,18.3,10,3,-0.8,-4,61,45.3,30,15,10.5,6,29.6,29.5,29.3,0.0,MO,2018,1
7,36,33.4,26,36,25.1,4,100,75.7,39,20,12.0,5,29.2,29.1,29.0,0.0,MO,2018,1
8,37,34.2,31,36,33.7,31,100,97.9,89,13,6.2,0,29.2,29.1,29.0,0.74,MO,2018,1
9,41,33.8,30,41,33.1,29,100,97.5,92,15,9.5,5,29.3,29.2,29.0,0.0,MO,2018,1
10,60,50.5,41,52,44.5,41,100,81.9,53,26,18.8,10,29.0,28.8,28.7,0.0,MO,2018,1
11,59,39.8,16,54,35.8,8,100,86.0,68,26,17.7,5,29.2,28.9,28.7,0.0,MO,2018,1
12,22,14.9,9,9,6.1,2,81,68.4,57,22,16.7,13,29.5,29.3,29.1,0.07,MO,2018,1
13,22,15.6,11,3,2.3,0,70,56.3,40,14,7.8,3,29.7,29.6,29.5,0.0,MO,2018,1
14,28,22.9,16,22,16.6,3,86,77.0,57,14,11.0,5,29.6,29.4,29.2,0.0,MO,2018,1
15,31,19.4,2,29,12.2,-7,96,74.2,53,23,13.9,9,29.6,29.4,29.2,0.1,MO,2018,1
16,8,2.4,-4,0,-4.9,-10,83,71.9,63,15,9.3,5,29.7,29.7,29.6,0.0,MO,2018,1
17,22,10.4,-1,11,3.7,-5,84,74.9,60,12,7.7,5,29.7,29.6,29.5,0.0,MO,2018,1
18,42,27.5,11,20,13.5,6,81,57.9,37,20,11.3,7,29.4,29.3,29.1,0.0,MO,2018,1
19,53,40.9,31,28,20.8,14,65,45.9,31,22,14.0,9,29.1,29.0,28.9,0.0,MO,2018,1
20,54,44.3,35,44,38.2,28,93,79.8,69,12,7.5,5,29.0,29.0,28.9,0.0,MO,2018,1
21,70,56.8,46,58,48.1,0,100,79.9,0,20,10.6,3,29.0,28.8,28.7,0.0,MO,2018,1
22,56,43.7,33,46,22.6,0,92,54.5,0,31,18.7,8,28.7,28.6,28.6,1.29,MO,2018,1
23,36,32.4,26,31,26.1,23,92,77.4,69,22,13.4,5,29.3,29.1,28.8,0.02,MO,2018,1
24,45,33.1,23,28,25.4,21,92,75.0,49,13,5.6,0,29.4,29.4,29.3,0.0,MO,2018,1
25,65,46.9,32,26,23.3,20,75,44.4,18,24,13.0,8,29.3,29.3,29.2,0.0,MO,2018,1
26,61,51.4,42,41,30.3,23,64,45.3,31,24,16.8,12,29.2,29.1,29.0,0.0,MO,2018,1
27,55,46.9,37,47,29.4,16,89,55.5,22,13,7.4,0,29.3,29.3,29.1,0.0,MO,2018,1
28,50,39.1,29,30,24.9,20,82,58.7,35,18,7.6,0,29.5,29.4,29.3,0.0,MO,2018,1
29,32,26.2,22,22,16.1,13,78,66.2,45,16,11.0,3,29.6,29.5,29.5,0.0,MO,2018,1
30,43,30.9,18,19,15.3,13,85,56.5,31,26,12.0,0,29.5,29.3,29.0,0.0,MO,2018,1
31,57,44.6,36,32,26.8,19,70,51.0,34,18,9.3,5,29.0,28.9,28.8,0.0,MO,2018,1
1,41,29.2,15,32,15.1,3,76,56.5,37,20,13.0,5,29.6,29.3,29.0,0.0,MO,2018,2
2,31,21.4,10,10,4.4,2,70,49.8,33,10,5.5,0,29.6,29.5,29.3,0.0,MO,2018,2
3,50,38.7,29,17,11.3,7,47,34.2,18,21,13.1,9,29.3,29.0,28.8,0.0,MO,2018,2
4,39,22.3,9,27,13.4,2,88,69.4,48,23,15.3,5,29.4,29.2,28.8,0.0,MO,2018,2
5,27,18.1,2,23,12.4,-1,96,79.5,58,15,7.2,0,29.4,29.2,29.1,0.02,MO,2018,2
6,23,18.6,14,16,13.2,9,93,79.7,72,14,8.5,5,29.4,29.4,29.3,0.01,MO,2018,2
7,33,22.5,14,17,14.0,10,88,71.1,52,14,8.1,0,29.5,29.4,29.3,0.0,MO,2018,2
8,51,35.7,19,25,19.8,14,82,55.6,32,14,9.3,5,29.5,29.3,29.1,0.0,MO,2018,2
9,51,37.1,24,28,23.1,17,75,58.3,41,20,12.2,6,29.2,29.1,29.1,0.0,MO,2018,2
10,24,20.7,18,20,17.8,15,92,88.7,75,20,14.4,10,29.2,29.1,29.1,0.0,MO,2018,2
11,24,20.2,16,20,17.1,13,96,88.1,81,17,8.0,3,29.4,29.2,29.1,0.07,MO,2018,2
12,34,23.7,14,24,17.0,10,92,75.8,64,14,8.1,0,29.7,29.6,29.5,0.0,MO,2018,2
13,45,33.8,22,33,24.1,17,88,69.2,49,13,8.2,3,29.6,29.4,29.3,0.0,MO,2018,2
14,62,46.1,39,52,43.6,38,100,92.0,62,20,8.4,0,29.3,29.1,28.9,0.0,MO,2018,2
15,72,58.4,42,58,48.7,33,100,73.0,42,25,14.2,7,29.0,28.9,28.8,0.0,MO,2018,2
16,40,34.7,29,33,19.0,4,83,57.4,23,23,13.1,0,29.4,29.3,29.1,0.01,MO,2018,2
17,50,36.1,29,39,27.3,12,100,73.5,40,20,10.0,0,29.3,29.1,29.1,0.0,MO,2018,2
18,56,44.1,29,47,29.5,23,88,59.8,30,31,16.1,6,29.3,29.1,28.8,0.12,MO,2018,2
19,66,60.5,53,61,56.2,47,97,86.1,73,25,17.3,8,28.9,28.8,28.8,0.0,MO,2018,2
20,67,40.4,28,63,38.5,26,100,93.3,78,31,14.4,6,29.3,29.1,28.8,0.46,MO,2018,2
21,30,26.6,24,28,23.1,19,96,86.4,81,18,12.8,7,29.6,29.5,29.3,1.64,MO,2018,2
22,40,34.4,30,40,28.5,0,100,83.0,0,13,8.3,0,29.4,29.4,29.2,0.05,MO,2018,2
23,42,38.4,36,41,27.2,0,100,71.3,0,14,8.0,3,29.3,29.3,29.2,0.07,MO,2018,2
24,50,41.5,36,49,40.1,30,100,94.9,79,25,13.9,5,29.1,28.9,28.7,0.23,MO,2018,2
25,51,39.8,30,31,26.5,23,89,62.9,33,15,7.2,0,29.2,29.1,29.0,0.16,MO,2018,2
26,61,48.8,36,33,25.4,17,73,43.9,18,10,6.1,0,29.3,29.2,29.2,0.0,MO,2018,2
27,71,54.5,42,54,37.6,31,100,58.0,25,23,13.7,3,29.2,29.1,28.9,0.0,MO,2018,2
28,60,54.4,50,55,52.0,47,100,92.0,83,10,6.6,3,28.9,28.8,28.7,0.15,MO,2018,2
1,54,47.0,35,52,39.3,21,100,78.4,32,22,14.0,6,29.4,29.0,28.8,0.0,MO,2018,3
2,56,42.7,30,27,22.7,17,79,49.3,23,13,9.1,5,29.5,29.4,29.3,0.0,MO,2018,3
3,61,47.4,35,29,25.8,23,64,45.5,23,15,11.4,8,29.4,29.3,29.3,0.0,MO,2018,3
4,61,49.6,36,37,28.6,25,64,46.7,28,18,13.0,6,29.3,29.1,28.9,0.0,MO,2018,3
5,53,47.5,38,51,39.3,0,100,76.4,0,23,14.2,5,28.9,28.9,28.8,0.66,MO,2018,3
6,42,36.1,32,30,25.3,20,92,67.3,41,28,19.5,14,29.1,28.9,28.8,0.0,MO,2018,3
7,34,32.3,31,27,21.8,18,75,65.3,56,21,14.7,9,29.2,29.2,29.1,0.01,MO,2018,3
8,42,31.3,23,22,17.1,14,75,57.5,35,23,9.8,0,29.3,29.2,29.1,0.0,MO,2018,3
9,56,40.9,28,28,22.9,18,69,51.0,32,15,10.3,6,29.1,28.9,28.9,0.0,MO,2018,3
10,56,44.7,34,37,30.6,26,76,59.2,42,15,11.2,5,29.0,29.0,28.9,0.0,MO,2018,3
11,42,35.5,31,34,31.9,29,96,87.4,65,17,11.1,5,29.3,29.2,29.0,0.03,MO,2018,3
12,49,36.5,30,32,28.2,22,96,74.5,41,17,10.6,5,29.4,29.3,29.3,0.26,MO,2018,3
13,48,37.1,28,24,19.7,12,75,52.8,27,20,11.3,6,29.4,29.3,29.3,0.0,MO,2018,3
14,59,41.8,25,23,19.8,16,72,45.4,23,17,9.6,3,29.3,29.2,29.0,0.0,MO,2018,3
15,73,57.1,41,37,29.1,22,47,35.5,22,15,9.4,3,29.0,28.9,28.8,0.0,MO,2018,3
16,54,47.3,44,44,33.7,23,93,62.5,36,25,17.6,8,29.0,28.9,28.8,0.0,MO,2018,3
17,47,43.0,40,45,38.5,34,97,84.3,76,20,9.9,3,29.1,28.9,28.8,0.02,MO,2018,3
18,45,41.0,38,37,36.6,35,97,85.0,74,9,5.6,0,29.1,29.0,28.9,0.0,MO,2018,3
19,45,41.5,39,42,39.2,37,97,91.7,82,20,13.3,5,28.9,28.7,28.6,0.02,MO,2018,3
20,45,39.1,35,37,31.0,28,87,73.1,60,16,11.2,0,29.0,28.9,28.8,1.15,MO,2018,3
21,47,39.1,35,34,30.7,28,96,73.7,50,16,8.9,5,29.3,29.2,29.1,0.0,MO,2018,3
22,55,44.3,34,37,33.5,29,89,67.6,47,17,8.8,0,29.4,29.3,29.3,0.0,MO,2018,3
23,50,47.3,45,44,39.7,35,90,75.8,59,23,15.7,12,29.2,29.1,28.9,0.0,MO,2018,3
24,48,43.3,35,46,41.4,33,97,93.4,90,20,13.2,7,29.1,28.9,28.8,0.09,MO,2018,3
25,45,39.6,34,36,33.6,32,96,79.8,68,15,11.0,7,29.2,29.1,29.1,0.03,MO,2018,3
26,53,42.9,39,52,40.1,32,100,90.3,70,21,12.1,3,29.1,29.1,29.0,0.01,MO,2018,3
27,57,50.1,43,56,47.9,40,97,92.1,79,17,10.1,3,29.1,29.1,29.0,1.0,MO,2018,3
28,50,45.4,41,47,43.2,38,97,92.0,86,8,4.6,0,29.1,29.0,28.9,0.02,MO,2018,3
29,48,45.8,44,46,42.0,38,97,86.9,76,17,11.4,3,29.2,29.0,28.9,0.03,MO,2018,3
30,55,44.3,31,37,30.0,26,82,59.5,38,16,8.8,0,29.3,29.3,29.2,0.01,MO,2018,3
31,63,49.4,36,45,36.0,26,74,60.3,50,24,14.4,6,29.3,29.1,29.1,0.0,MO,2018,3
1,35,29.0,26,25,21.6,17,93,75.0,56,20,10.7,5,29.4,29.3,29.2,0.0,MO,2018,4
2,37,29.3,23,36,27.2,21,97,91.8,86,14,9.2,6,29.2,29.0,28.7,0.12,MO,2018,4
3,59,43.3,33,58,40.4,22,100,90.0,64,25,14.6,5,29.1,28.7,28.6,0.02,MO,2018,4
4,41,31.9,24,24,18.7,15,75,59.5,40,18,10.3,3,29.4,29.3,29.2,0.0,MO,2018,4
5,67,49.3,30,36,27.5,19,69,45.6,27,20,9.5,0,29.3,29.1,29.0,0.0,MO,2018,4
6,52,39.8,27,36,24.3,10,73,54.6,41,25,17.1,7,29.2,29.1,29.0,0.0,MO,2018,4
7,42,31.7,21,18,13.9,8,68,48.7,35,18,10.5,3,29.3,29.2,29.2,0.0,MO,2018,4
8,40,33.4,29,30,23.7,16,92,69.7,43,15,8.4,3,29.1,29.1,29.0,0.0,MO,2018,4
9,48,39.3,32,35,32.4,30,92,77.2,61,13,8.9,3,29.4,29.2,29.0,0.05,MO,2018,4
10,55,43.5,36,35,31.8,29,86,65.8,42,12,5.4,0,29.4,29.3,29.2,0.0,MO,2018,4
11,78,62.8,47,43,38.3,33,63,42.3,28,23,15.7,8,29.1,29.0,28.8,0.0,MO,2018,4
12,87,72.3,57,54,46.3,37,51,39.9,31,24,14.6,8,28.8,28.7,28.6,0.0,MO,2018,4
13,77,68.5,62,64,56.9,50,90,67.6,51,24,16.8,9,28.7,28.6,28.6,0.0,MO,2018,4
14,63,53.7,41,59,45.1,29,90,73.8,45,21,15.0,9,28.8,28.7,28.5,0.22,MO,2018,4
15,40,33.7,31,38,23.3,0,96,66.9,0,23,17.0,10,29.1,28.9,28.8,0.0,MO,2018,4
16,50,37.3,30,27,23.2,19,79,59.0,38,23,14.3,3,29.2,29.1,29.1,0.0,MO,2018,4
17,64,47.7,31,38,31.1,25,79,55.0,35,15,9.0,5,29.1,28.9,28.7,0.0,MO,2018,4
18,58,47.6,39,44,33.7,24,73,58.9,44,29,19.5,7,29.2,28.9,28.6,0.0,MO,2018,4
19,57,43.8,31,30,27.6,24,79,54.7,33,16,9.5,5,29.5,29.4,29.2,0.0,MO,2018,4
20,64,51.5,37,29,23.8,16,67,38.1,16,14,9.4,5,29.5,29.4,29.3,0.0,MO,2018,4
21,66,56.5,46,32,27.8,24,46,34.2,23,17,11.8,5,29.4,29.3,29.2,0.0,MO,2018,4
22,61,55.7,50,46,40.0,32,69,56.3,39,18,12.1,8,29.2,29.1,29.1,0.03,MO,2018,4
23,72,61.9,54,48,40.6,34,75,47.2,34,23,14.0,6,29.1,29.1,29.0,0.01,MO,2018,4
24,75,61.3,50,51,45.8,33,89,61.3,28,17,8.8,3,29.1,29.1,29.1,0.0,MO,2018,4
25,59,54.4,50,49,44.0,34,96,69.6,41,13,8.6,6,29.1,29.1,29.1,0.0,MO,2018,4
26,70,55.0,47,50,44.6,39,100,73.7,32,14,6.7,0,29.1,29.0,29.0,0.0,MO,2018,4
27,72,60.0,46,42,34.8,31,66,41.8,24,18,12.7,8,29.1,29.0,28.9,0.0,MO,2018,4
28,66,55.8,45,35,32.8,31,65,43.2,28,16,10.1,6,29.3,29.1,29.0,0.0,MO,2018,4
29,70,57.1,43,32,29.5,28,58,37.5,22,16,10.8,7,29.4,29.3,29.2,0.0,MO,2018,4
30,82,67.3,50,49,39.7,31,50,37.3,25,20,14.5,9,29.2,29.1,29.0,0.0,MO,2018,4
1,82,73.5,60,57,50.7,45,62,45.4,36,23,14.6,7,29.0,29.0,28.9,0.0,MO,2018,5
2,83,76.4,68,65,58.5,48,66,54.1,43,21,15.0,7,29.1,29.0,28.9,0.0,MO,2018,5
3,76,69.3,63,66,63.3,60,100,81.9,68,23,12.9,0,29.0,28.9,28.9,0.64,MO,2018,5
4,76,67.1,60,61,55.6,46,88,68.6,37,18,10.4,0,29.1,29.0,28.9,0.0,MO,2018,5
5,82,69.3,56,52,44.9,39,78,45.8,22,15,5.9,0,29.1,29.1,29.1,0.0,MO,2018,5
6,86,71.2,60,55,49.6,42,65,48.3,25,18,6.4,0,29.1,29.1,29.0,0.0,MO,2018,5
7,81,69.4,58,51,48.3,43,72,49.3,31,12,7.6,3,29.2,29.2,29.1,0.0,MO,2018,5
8,84,72.3,59,57,49.9,43,58,45.7,36,17,11.6,7,29.1,29.1,28.9,0.0,MO,2018,5
9,88,75.2,67,63,56.9,44,79,56.9,22,18,11.5,0,28.9,28.9,28.8,0.0,MO,2018,5
10,86,73.7,61,61,57.3,51,78,58.2,37,18,8.9,3,29.0,29.0,28.9,0.04,MO,2018,5
11,85,72.4,62,61,58.1,56,84,62.7,41,23,12.1,6,29.0,28.9,28.8,0.0,MO,2018,5
12,86,75.1,68,67,62.1,58,73,64.5,48,20,10.4,6,29.1,29.0,28.9,0.0,MO,2018,5
13,88,77.5,68,67,64.5,62,81,65.3,46,16,9.2,3,29.1,29.0,29.0,0.0,MO,2018,5
14,87,72.8,65,69,63.9,59,90,74.9,51,30,12.9,5,29.0,29.0,28.9,0.0,MO,2018,5
15,82,72.8,65,65,61.8,59,87,69.6,49,12,5.8,0,29.0,29.0,28.9,0.23,MO,2018,5
16,82,71.7,64,65,63.0,59,93,75.5,52,12,6.1,0,29.0,29.0,29.0,0.0,MO,2018,5
17,78,70.7,64,67,62.0,54,87,74.3,58,9,6.0,0,29.0,29.0,28.9,0.0,MO,2018,5
18,75,67.4,61,64,61.9,58,97,82.8,66,9,5.7,0,29.0,28.9,28.9,0.0,MO,2018,5
19,74,66.3,61,67,61.8,57,97,85.8,66,28,8.7,0,29.1,29.0,28.9,0.0,MO,2018,5
20,79,67.3,60,67,63.0,58,93,86.4,64,18,8.3,0,29.2,29.1,29.0,1.1,MO,2018,5
21,79,69.0,64,67,63.3,60,96,82.8,60,15,8.2,3,29.1,29.1,29.0,0.66,MO,2018,5
22,84,67.9,57,64,60.1,56,100,78.9,46,7,2.1,0,29.1,29.1,29.1,0.0,MO,2018,5
23,87,76.6,67,69,65.0,62,84,68.2,51,10,7.1,3,29.2,29.1,29.1,0.0,MO,2018,5
