day,temperature_max,temperature_avg,temperature_min,dew_point_max,dew_point_avg,dew_point_min,humidity_max,humidity_avg,humidity_min,wind_speed_max,wind_speed_avg,wind_speed_min,preasure_max,preasure_avg,preasure_min,precipitation,state,year,month
1,30,22.0,17,8,6.1,4,65,51.1,36,22,14.6,9,30.4,30.3,30.2,0.0,MS,2018,1
2,34,24.2,14,10,6.5,3,65,48.5,30,14,8.9,5,30.3,30.2,30.1,0.0,MS,2018,1
3,38,28.2,21,13,8.9,4,68,47.0,25,10,5.0,0,30.0,30.0,29.9,0.0,MS,2018,1
4,40,27.8,18,19,12.6,8,85,56.9,27,12,5.0,0,30.0,30.0,29.9,0.0,MS,2018,1
5,49,30.6,19,17,12.3,4,85,53.8,17,5,1.6,0,30.1,30.0,30.0,0.0,MS,2018,1
6,56,38.5,23,23,18.3,14,81,49.3,22,10,3.9,0,30.1,30.1,30.0,0.0,MS,2018,1
7,54,46.5,38,48,34.5,19,96,65.3,43,20,12.2,7,30.0,29.9,29.7,0.0,MS,2018,1
8,54,48.6,45,53,48.1,44,100,98.0,93,16,9.5,0,29.8,29.7,29.6,0.98,MS,2018,1
9,56,49.6,45,56,49.5,45,100,99.7,96,10,5.6,0,29.8,29.8,29.7,0.03,MS,2018,1
10,63,58.8,55,61,57.8,55,100,96.4,86,15,6.3,0,29.8,29.7,29.6,0.0,MS,2018,1
11,66,63.1,55,65,62.0,52,100,96.2,89,25,8.6,0,29.6,29.5,29.4,0.0,MS,2018,1
12,54,35.5,28,53,31.8,22,97,86.5,78,20,13.0,0,29.9,29.7,29.4,0.62,MS,2018,1
13,34,26.9,23,22,18.4,17,85,71.2,54,21,11.7,6,30.3,30.1,29.9,0.02,MS,2018,1
14,43,30.5,22,24,17.5,10,88,62.5,28,8,4.2,0,30.3,30.2,30.1,0.0,MS,2018,1
15,55,37.5,24,30,24.4,20,89,65.0,29,10,3.3,0,30.1,30.0,30.0,0.0,MS,2018,1
16,37,24.8,13,32,19.4,4,88,80.1,64,18,13.3,0,30.3,30.2,30.0,0.0,MS,2018,1
17,29,18.1,10,13,8.6,3,84,67.3,49,15,10.5,5,30.4,30.3,30.3,0.04,MS,2018,1
18,41,24.7,12,17,12.3,6,92,65.2,24,6,1.8,0,30.3,30.2,30.0,0.0,MS,2018,1
