day,temperature_max,temperature_avg,temperature_min,dew_point_max,dew_point_avg,dew_point_min,humidity_max,humidity_avg,humidity_min,wind_speed_max,wind_speed_avg,wind_speed_min,preasure_max,preasure_avg,preasure_min,precipitation,state,year,month
1,3,-4.0,-10,-7,-9.8,-14,91,76.6,63,6,1.0,0,26.4,26.3,26.3,0.0,MT,2018,1
2,1,-7.2,-14,-5,-11.7,-18,90,80.9,72,6,0.5,0,26.5,26.5,26.4,0.0,MT,2018,1
3,12,4.2,-5,6,0.1,-8,92,83.7,73,5,1.0,0,26.4,26.3,26.3,0.0,MT,2018,1
4,12,4.3,-3,7,0.6,-6,95,84.8,73,5,0.5,0,26.3,26.2,26.2,0.0,MT,2018,1
5,22,17.0,11,17,12.6,7,92,83.0,74,5,0.9,0,26.2,26.2,26.1,0.0,MT,2018,1
6,45,29.8,0,30,22.3,0,92,72.2,0,20,7.2,0,26.1,26.0,25.9,0.0,MT,2018,1
7,44,38.3,31,29,27.6,25,85,66.3,47,21,5.7,0,26.1,26.0,26.0,0.0,MT,2018,1
8,39,30.3,25,29,25.0,22,88,81.1,65,5,1.9,0,26.0,25.9,25.8,0.0,MT,2018,1
9,39,30.8,22,34,27.0,20,96,85.9,73,13,2.8,0,25.8,25.6,25.6,0.0,MT,2018,1
10,33,13.8,7,30,9.2,1,93,81.7,64,18,8.1,0,26.0,25.8,25.6,0.04,MT,2018,1
11,11,9.1,3,9,5.5,-2,92,85.3,73,7,2.0,0,26.1,26.0,25.9,0.04,MT,2018,1
12,18,10.8,0,13,5.4,0,87,71.8,0,8,2.1,0,26.3,26.2,26.0,0.14,MT,2018,1
13,44,33.9,17,30,24.8,13,89,70.5,58,25,8.3,0,26.4,26.3,26.2,0.0,MT,2018,1
14,34,24.3,0,28,21.0,0,100,71.3,0,10,2.5,0,26.4,26.4,26.3,0.0,MT,2018,1
15,31,11.2,0,23,9.5,0,92,43.3,0,8,1.2,0,26.5,26.4,26.4,0.0,MT,2018,1
16,23,11.0,3,19,9.0,2,100,91.8,78,6,1.5,0,26.3,26.3,26.2,0.0,MT,2018,1
17,27,18.5,10,21,14.8,9,95,85.8,72,8,2.6,0,26.3,26.2,26.1,0.0,MT,2018,1
18,42,32.0,19,36,28.2,16,100,86.5,67,12,4.1,0,26.0,25.8,25.8,0.0,MT,2018,1
19,38,33.6,29,34,29.4,19,100,86.3,57,16,5.1,0,25.9,25.8,25.8,0.11,MT,2018,1
20,36,29.5,23,22,18.3,15,75,63.7,52,15,5.7,0,26.0,26.0,25.9,0.0,MT,2018,1
21,30,20.5,13,20,15.0,11,93,80.2,66,8,1.9,0,26.1,26.1,26.0,0.0,MT,2018,1
