day,temperature_max,temperature_avg,temperature_min,dew_point_max,dew_point_avg,dew_point_min,humidity_max,humidity_avg,humidity_min,wind_speed_max,wind_speed_avg,wind_speed_min,preasure_max,preasure_avg,preasure_min,precipitation,state,year,month
1,27,20.6,14,3,-1.0,-6,62,40.3,24,13,6.4,0,30.1,30.0,29.9,0.0,NC,2018,1
2,31,19.4,13,2,-0.8,-6,56,43.4,21,8,3.0,0,30.1,30.0,29.9,0.0,NC,2018,1
3,32,23.2,10,22,9.8,-3,91,63.7,22,13,5.0,0,29.9,29.6,29.4,0.0,NC,2018,1
4,30,25.0,18,22,8.2,-1,88,52.8,29,21,9.5,5,29.6,29.4,29.3,0.06,NC,2018,1
5,30,20.9,13,1,-1.4,-5,54,39.2,23,10,5.5,0,29.9,29.7,29.6,0.0,NC,2018,1
6,26,18.4,12,0,-2.6,-5,56,40.8,26,14,4.0,0,30.1,30.0,29.9,0.0,NC,2018,1
7,29,17.7,4,1,-3.3,-8,76,42.8,21,7,2.6,0,30.2,30.1,30.0,0.0,NC,2018,1
8,46,32.4,17,27,11.8,1,65,44.3,26,15,5.4,0,30.0,29.8,29.8,0.0,NC,2018,1
9,63,46.7,30,41,34.5,25,85,64.0,45,8,2.7,0,29.8,29.8,29.7,0.0,NC,2018,1
10,60,50.0,43,40,33.8,26,76,55.6,32,10,5.0,0,30.0,29.9,29.8,0.0,NC,2018,1
11,64,56.0,42,63,52.0,36,100,86.5,71,14,6.5,0,29.9,29.8,29.6,0.0,NC,2018,1
12,71,64.7,56,66,62.3,55,100,92.2,75,22,12.0,5,29.5,29.3,29.1,0.17,NC,2018,1
13,56,45.0,29,54,31.8,12,93,61.8,42,17,10.5,3,29.9,29.5,29.2,0.44,NC,2018,1
14,32,26.2,22,12,7.4,4,60,45.9,32,15,8.9,6,30.1,30.1,29.9,0.0,NC,2018,1
15,39,25.4,17,18,10.8,4,77,55.2,34,8,3.9,0,30.1,30.0,29.9,0.0,NC,2018,1
16,46,33.7,20,23,18.7,16,85,57.5,32,6,1.8,0,30.0,29.9,29.8,0.0,NC,2018,1
17,36,30.4,23,31,26.9,19,96,87.2,62,17,6.6,0,29.8,29.8,29.7,0.0,NC,2018,1
18,34,22.7,11,21,16.0,8,92,76.2,54,9,5.6,0,29.8,29.8,29.7,0.49,NC,2018,1
19,49,33.6,20,26,21.5,18,92,65.3,34,9,3.3,0,29.8,29.7,29.7,0.0,NC,2018,1
20,55,40.4,26,33,27.4,21,81,61.7,41,10,5.6,0,29.7,29.7,29.6,0.0,NC,2018,1
21,68,48.1,32,43,37.5,30,92,69.9,40,9,1.3,0,29.8,29.8,29.7,0.0,NC,2018,1
22,62,52.4,38,58,44.0,37,97,76.1,46,14,5.1,0,29.8,29.6,29.5,0.0,NC,2018,1
23,69,61.5,47,63,48.8,25,100,69.5,21,33,15.8,3,29.5,29.3,29.2,0.73,NC,2018,1
24,54,43.9,35,29,26.0,21,78,51.3,31,9,4.2,0,29.8,29.7,29.5,0.1,NC,2018,1
