day,temperature_max,temperature_avg,temperature_min,dew_point_max,dew_point_avg,dew_point_min,humidity_max,humidity_avg,humidity_min,wind_speed_max,wind_speed_avg,wind_speed_min,preasure_max,preasure_avg,preasure_min,precipitation,state,year,month
1,-4,-14.6,-26,-10,-22.7,-31,80,67.7,51,7,2.8,0,29.0,28.9,28.7,0.0,ND,2018,1
2,24,10.3,-9,17,3.5,-13,83,74.3,63,29,12.9,0,28.7,28.4,28.3,0.0,ND,2018,1
3,13,5.2,-7,6,0.8,-11,88,82.3,73,9,3.3,0,28.6,28.5,28.4,0.0,ND,2018,1
4,15,9.6,3,9,5.7,0,92,84.3,77,13,6.5,0,28.6,28.5,28.4,0.0,ND,2018,1
5,13,9.5,6,7,4.4,1,84,79.8,77,16,11.8,6,28.6,28.6,28.5,0.0,ND,2018,1
6,24,15.0,8,21,11.6,5,92,86.7,79,21,10.7,3,28.5,28.2,28.0,0.0,ND,2018,1
7,38,30.9,19,31,25.5,17,96,81.1,65,16,8.9,0,28.2,28.1,27.9,0.0,ND,2018,1
8,36,23.3,12,31,21.0,8,100,91.1,76,9,3.3,0,28.2,28.2,28.1,0.0,ND,2018,1
9,39,30.5,23,34,29.2,21,100,95.3,82,9,5.7,0,28.1,27.9,27.7,0.0,ND,2018,1
10,32,15.0,3,30,11.4,-3,100,85.7,76,29,15.9,0,28.3,28.0,27.7,0.0,ND,2018,1
11,3,-2.3,-18,-2,-8.7,-21,87,74.3,62,26,16.0,0,28.6,28.5,28.3,0.41,ND,2018,1
12,-3,-14.5,-27,-14,-20.8,-33,82,73.8,59,9,3.6,0,28.9,28.8,28.6,0.0,ND,2018,1
13,12,-8.2,-29,8,-14.1,-35,84,75.3,65,10,5.2,0,28.9,28.7,28.5,0.0,ND,2018,1
14,24,9.8,-4,20,3.8,-11,88,76.8,67,29,15.9,0,28.8,28.5,28.3,0.0,ND,2018,1
15,-4,-8.7,-18,-12,-17.1,-24,75,66.7,56,23,12.5,0,29.1,29.0,28.8,0.01,ND,2018,1
16,10,-5.5,-23,-2,-14.3,-28,79,67.1,46,13,4.0,0,29.0,28.8,28.5,0.0,ND,2018,1
17,40,19.5,-4,25,10.7,-9,83,69.6,55,17,6.7,0,28.5,28.3,28.2,0.0,ND,2018,1
18,38,26.4,16,28,21.0,13,92,80.7,68,7,1.9,0,28.2,28.0,27.9,0.0,ND,2018,1
19,44,32.9,21,32,27.3,18,96,80.6,60,12,5.2,0,28.0,27.9,27.8,0.0,ND,2018,1
20,41,34.4,24,31,27.7,21,89,77.1,55,15,7.5,0,28.2,28.1,28.0,0.0,ND,2018,1
21,28,18.4,13,22,16.1,11,100,90.7,78,9,3.6,0,28.3,28.3,28.2,0.0,ND,2018,1
22,24,20.9,16,22,18.8,15,96,91.4,88,8,3.9,0,28.3,28.3,28.3,0.0,ND,2018,1
23,34,19.1,10,28,15.7,8,96,87.3,64,12,4.2,0,28.4,28.3,28.3,0.0,ND,2018,1
24,32,13.3,3,25,10.1,1,96,87.6,73,7,4.5,0,28.4,28.3,28.2,0.0,ND,2018,1
25,36,26.1,15,29,21.5,13,92,83.3,70,17,8.6,0,28.2,28.0,27.8,0.0,ND,2018,1
26,36,30.5,23,28,23.5,17,92,75.8,59,25,12.9,0,28.2,28.0,27.8,0.0,ND,2018,1
27,20,14.3,5,16,7.8,1,88,75.4,57,20,10.0,0,28.6,28.4,28.2,0.0,ND,2018,1
28,12,3.1,-3,1,-2.6,-8,91,77.3,59,8,4.0,0,28.9,28.8,28.6,0.0,ND,2018,1
29,22,11.4,0,14,6.2,-4,88,80.0,68,18,8.5,0,28.8,28.6,28.4,0.0,ND,2018,1
30,48,29.4,16,30,21.0,11,85,72.6,50,20,12.6,0,28.3,28.0,27.8,0.0,ND,2018,1
31,27,15.9,2,22,8.3,-7,89,72.7,54,26,13.0,0,28.5,28.2,28.0,0.0,ND,2018,1
1,9,0.0,-5,-7,-9.7,-14,80,64.7,44,17,9.1,0,28.7,28.6,28.5,0.0,ND,2018,2
2,23,11.6,-5,14,3.8,-11,81,71.4,57,12,5.6,0,28.6,28.4,28.2,0.0,ND,2018,2
3,13,5.6,-3,9,0.1,-12,87,78.0,60,20,13.2,7,28.6,28.2,28.1,0.0,ND,2018,2
4,5,-3.7,-12,-8,-13.3,-20,72,63.9,49,18,9.6,0,28.6,28.5,28.2,0.03,ND,2018,2
5,6,0.7,-10,-6,-8.7,-16,80,65.4,49,23,10.8,0,28.5,28.4,28.2,0.0,ND,2018,2
6,16,-1.3,-19,7,-8.0,-23,83,74.0,61,23,7.9,0,28.6,28.5,28.3,0.0,ND,2018,2
7,12,2.1,-13,6,-3.3,-18,87,78.2,67,12,4.4,0,28.6,28.5,28.5,0.0,ND,2018,2
8,7,1.8,-5,-1,-4.5,-9,88,75.5,64,12,6.5,0,28.7,28.6,28.5,0.01,ND,2018,2
9,4,-2.6,-10,-7,-10.4,-15,80,70.0,58,17,8.5,3,28.7,28.6,28.5,0.03,ND,2018,2
10,11,1.4,-11,0,-7.6,-17,75,66.7,56,16,8.2,5,28.5,28.3,28.2,0.0,ND,2018,2
11,16,7.8,-4,6,-0.1,-12,84,70.4,61,17,10.5,3,28.7,28.4,28.2,0.0,ND,2018,2
12,8,-2.3,-14,3,-8.5,-18,84,74.8,62,9,4.7,0,28.9,28.8,28.6,0.01,ND,2018,2
13,28,16.0,4,15,7.6,0,84,70.4,58,14,8.9,5,28.5,28.2,28.1,0.01,ND,2018,2
14,44,30.2,11,32,21.2,7,89,70.4,53,17,6.6,0,28.1,27.9,27.9,0.0,ND,2018,2
15,34,15.0,-1,33,9.1,-9,96,77.5,55,22,14.1,3,28.6,28.3,28.0,0.0,ND,2018,2
16,29,14.4,-6,18,4.9,-11,85,66.6,55,15,7.7,0,28.6,28.3,28.1,0.03,ND,2018,2
17,25,20.1,15,17,11.9,6,95,71.9,55,18,9.8,0,28.3,28.2,28.1,0.0,ND,2018,2
18,17,12.6,8,12,6.8,-1,88,77.7,67,22,14.8,8,28.4,28.1,27.9,0.0,ND,2018,2
19,7,4.3,1,-1,-3.0,-8,80,71.9,55,14,10.4,7,28.4,28.4,28.4,0.01,ND,2018,2
20,12,5.5,-3,1,-1.4,-10,84,73.7,56,18,9.3,6,28.5,28.4,28.3,0.06,ND,2018,2
21,16,2.6,-10,2,-7.1,-16,79,64.7,47,13,6.3,0,28.7,28.6,28.6,0.02,ND,2018,2
22,18,6.1,-10,10,-0.4,-15,83,75.2,65,8,4.2,0,28.6,28.5,28.4,0.0,ND,2018,2
23,20,10.9,2,9,3.2,-2,88,71.9,59,12,7.2,0,28.5,28.4,28.4,0.0,ND,2018,2
24,22,11.8,-1,16,7.1,-5,88,81.3,71,14,6.0,0,28.3,28.0,27.9,0.0,ND,2018,2
25,33,22.7,10,20,14.9,5,88,72.7,54,23,11.7,3,28.0,27.9,27.9,0.03,ND,2018,2
26,41,28.2,12,27,17.8,6,85,66.5,48,17,6.4,0,28.2,28.1,28.0,0.0,ND,2018,2
27,35,22.6,13,24,18.4,11,96,84.8,61,10,3.8,0,28.3,28.2,28.1,0.0,ND,2018,2
28,39,24.4,10,23,15.8,7,96,72.3,49,18,6.4,0,28.3,28.2,28.1,0.0,ND,2018,2
1,39,24.5,12,24,17.4,9,92,76.0,49,9,4.5,0,28.4,28.4,28.3,0.0,ND,2018,3
2,38,31.3,24,28,23.7,18,86,74.0,61,21,15.1,8,28.4,28.3,28.3,0.0,ND,2018,3
3,40,32.3,24,32,27.7,21,92,83.3,70,18,12.5,7,28.3,28.3,28.2,0.0,ND,2018,3
4,35,34.3,34,35,33.1,31,100,95.3,85,21,10.7,0,28.3,28.1,28.0,0.0,ND,2018,3
5,35,26.6,21,35,24.8,19,100,92.8,88,24,15.1,0,28.2,28.0,27.9,0.07,ND,2018,3
6,24,21.5,18,19,17.4,13,92,84.3,77,23,16.3,12,28.5,28.4,28.2,0.6,ND,2018,3
7,22,15.4,-1,14,9.8,-5,92,78.9,68,18,10.6,0,28.5,28.5,28.4,0.02,ND,2018,3
8,27,5.0,-6,15,0.0,-9,91,80.4,58,8,5.2,0,28.4,28.3,28.2,0.0,ND,2018,3
9,27,21.1,13,23,17.2,10,96,84.7,77,16,9.5,5,28.2,28.1,28.0,0.0,ND,2018,3
10,27,25.8,25,25,23.2,21,100,89.7,78,20,10.2,0,28.5,28.2,28.0,0.0,ND,2018,3
11,35,25.0,15,23,18.6,12,92,77.6,52,18,10.0,3,28.6,28.6,28.5,0.0,ND,2018,3
