day,temperature_max,temperature_avg,temperature_min,dew_point_max,dew_point_avg,dew_point_min,humidity_max,humidity_avg,humidity_min,wind_speed_max,wind_speed_avg,wind_speed_min,preasure_max,preasure_avg,preasure_min,precipitation,state,year,month
1,4,-6.9,-18,-10,-14.8,-23,79,69.4,52,5,1.5,0,29.6,29.5,29.5,0.0,NE,2018,1
2,24,8.1,-10,14,-1.3,-16,79,66.4,51,23,9.8,0,29.4,29.2,28.9,0.0,NE,2018,1
3,26,16.0,2,17,8.2,-2,87,71.8,60,23,11.4,0,29.1,29.1,28.9,0.0,NE,2018,1
4,21,9.6,-1,14,4.3,-5,88,79.1,71,13,5.8,0,29.1,29.0,28.9,0.0,NE,2018,1
5,19,11.9,6,8,5.0,2,84,74.1,59,14,7.2,3,29.2,29.1,29.0,0.0,NE,2018,1
6,21,14.5,5,14,7.4,1,84,73.5,64,14,6.8,0,29.2,29.0,28.8,0.0,NE,2018,1
7,40,29.9,21,33,22.9,15,89,75.3,67,10,5.2,0,28.8,28.7,28.6,0.0,NE,2018,1
8,50,29.6,16,36,24.7,14,100,83.4,59,10,4.0,0,28.9,28.8,28.8,0.0,NE,2018,1
9,51,37.5,0,32,27.4,0,86,64.9,0,18,10.7,0,28.8,28.6,28.5,0.0,NE,2018,1
10,55,42.4,34,40,36.7,32,96,81.4,57,25,12.8,3,28.5,28.3,28.2,0.0,NE,2018,1
11,34,15.2,7,30,7.4,-2,85,71.8,56,31,24.7,14,29.1,28.8,28.4,0.0,NE,2018,1
12,13,7.8,1,3,-3.3,-8,73,61.0,49,15,12.0,9,29.4,29.2,29.1,0.01,NE,2018,1
13,16,12.9,9,10,4.5,0,84,69.4,59,13,7.4,0,29.4,29.3,29.2,0.0,NE,2018,1
14,34,22.2,14,29,17.5,10,88,82.3,73,21,10.5,3,29.2,29.0,28.8,0.06,NE,2018,1
15,22,7.8,0,14,-2.3,-10,74,63.6,58,26,20.4,14,29.4,29.3,29.0,0.0,NE,2018,1
16,17,4.7,-1,5,-3.4,-10,84,69.6,59,21,9.5,0,29.5,29.4,29.3,0.0,NE,2018,1
17,30,16.2,1,12,5.6,-4,83,64.8,43,18,9.5,0,29.3,29.2,29.0,0.0,NE,2018,1
18,42,27.5,14,25,16.3,7,77,64.0,43,17,8.9,3,29.0,28.8,28.6,0.0,NE,2018,1
19,52,38.3,28,30,24.6,21,81,59.3,36,15,8.3,0,28.6,28.5,28.4,0.0,NE,2018,1
20,50,37.4,20,39,31.7,17,92,80.7,66,12,4.9,0,28.6,28.6,28.5,0.0,NE,2018,1
21,41,39.0,37,38,36.9,35,97,92.5,86,18,11.6,6,28.6,28.5,28.4,0.0,NE,2018,1
22,36,30.8,26,35,28.3,22,97,90.5,84,40,27.3,10,28.7,28.3,28.2,0.16,NE,2018,1
23,30,25.2,22,24,20.8,19,96,83.2,75,16,7.4,0,29.0,28.9,28.7,0.13,NE,2018,1
24,43,27.9,15,31,22.3,12,92,80.6,60,13,5.2,0,29.1,28.9,28.9,0.0,NE,2018,1
25,52,36.3,19,31,24.3,16,92,65.5,36,22,7.4,0,28.8,28.7,28.6,0.0,NE,2018,1
26,54,43.7,35,36,28.9,23,70,56.8,40,25,14.9,3,28.9,28.6,28.5,0.0,NE,2018,1
27,48,34.3,23,26,23.0,20,88,65.7,34,16,4.9,0,29.0,29.0,28.9,0.0,NE,2018,1
28,28,22.5,13,24,14.8,9,85,72.8,60,18,12.9,0,29.3,29.2,29.0,0.0,NE,2018,1
29,30,18.9,10,14,10.1,5,84,69.7,47,13,5.9,0,29.4,29.3,29.2,0.0,NE,2018,1
30,50,37.6,19,25,19.0,13,77,49.7,32,26,16.4,7,29.1,28.7,28.4,0.0,NE,2018,1
31,48,36.2,0,31,25.2,0,85,62.3,0,17,5.3,0,28.8,28.6,28.4,0.0,NE,2018,1
1,30,16.8,8,22,5.0,1,76,60.8,44,24,13.0,0,29.3,29.1,28.8,0.0,NE,2018,2
2,37,21.8,6,15,8.8,1,83,60.4,38,26,10.2,0,29.3,29.1,28.8,0.0,NE,2018,2
3,52,38.4,25,33,19.9,13,78,50.2,29,28,17.3,9,28.8,28.6,28.4,0.0,NE,2018,2
4,24,10.8,1,19,3.4,-6,86,72.8,49,30,19.4,0,29.2,29.0,28.7,0.0,NE,2018,2
5,20,13.3,2,12,6.3,-4,84,74.1,65,26,10.8,0,29.1,28.9,28.7,0.0,NE,2018,2
6,11,7.8,-4,5,1.8,-6,91,76.8,59,14,5.0,0,29.2,29.1,29.0,0.09,NE,2018,2
7,20,9.8,-4,10,2.7,-7,87,74.0,54,12,3.9,0,29.2,29.1,29.1,0.15,NE,2018,2
8,28,23.2,16,19,16.4,10,85,75.3,66,15,7.1,0,29.1,28.9,28.8,0.0,NE,2018,2
9,21,13.8,8,17,7.9,3,85,77.6,67,23,18.7,13,29.1,29.0,28.8,0.0,NE,2018,2
10,11,8.4,3,6,3.0,-2,88,78.8,67,15,9.2,3,29.1,29.0,28.9,0.08,NE,2018,2
11,23,10.4,0,9,3.5,-5,87,74.9,55,8,4.1,0,29.1,28.9,28.8,0.07,NE,2018,2
12,21,11.8,-3,12,4.0,-6,87,71.4,60,15,9.0,5,29.4,29.3,29.2,0.0,NE,2018,2
13,42,28.9,20,30,21.3,13,91,74.1,62,18,8.9,0,29.2,29.0,28.9,0.0,NE,2018,2
