day,temperature_max,temperature_avg,temperature_min,dew_point_max,dew_point_avg,dew_point_min,humidity_max,humidity_avg,humidity_min,wind_speed_max,wind_speed_avg,wind_speed_min,preasure_max,preasure_avg,preasure_min,precipitation,state,year,month
1,9,1.9,-4,-9,-12.2,-15,72,52.6,42,23,12.0,0,30.0,30.0,29.9,0.0,NH,2018,1
2,16,5.5,-10,5,-5.8,-15,79,61.3,39,12,4.9,0,30.1,30.0,29.9,0.0,NH,2018,1
3,27,16.3,4,6,3.2,0,84,58.3,37,9,3.6,0,30.0,29.9,29.8,0.0,NH,2018,1
4,27,19.8,6,25,14.6,2,93,80.8,60,33,19.2,5,29.8,29.1,28.7,0.0,NH,2018,1
5,22,10.4,1,9,-2.4,-14,69,56.6,48,21,14.5,9,29.5,29.2,28.9,0.33,NH,2018,1
6,11,4.1,-2,-8,-12.8,-17,52,45.8,40,21,13.7,9,30.0,29.7,29.5,0.0,NH,2018,1
7,16,6.2,-5,-4,-13.2,-18,57,42.0,27,16,7.8,0,30.2,30.1,29.9,0.0,NH,2018,1
8,34,26.1,17,23,10.6,-3,78,53.8,35,16,8.4,3,29.9,29.8,29.6,0.0,NH,2018,1
9,39,32.8,27,24,19.5,14,85,60.3,41,16,9.3,0,30.1,29.8,29.6,0.0,NH,2018,1
10,36,28.8,18,21,15.0,12,81,57.4,40,10,5.5,0,30.2,30.1,30.1,0.0,NH,2018,1
11,52,44.6,33,45,39.2,23,97,81.6,66,13,8.0,0,30.1,30.0,29.9,0.0,NH,2018,1
12,60,49.8,36,59,49.1,36,100,97.6,89,15,8.6,0,29.9,29.7,29.3,0.0,NH,2018,1
13,61,39.0,14,59,32.6,2,100,78.8,56,24,13.7,7,30.1,29.4,29.0,0.68,NH,2018,1
14,21,13.9,10,3,-3.1,-7,65,48.4,32,14,10.3,7,30.4,30.3,30.1,0.0,NH,2018,1
15,21,15.0,7,3,-2.9,-6,77,47.5,32,14,9.1,3,30.5,30.4,30.3,0.0,NH,2018,1
16,32,25.5,17,28,17.3,4,100,72.0,52,9,3.3,0,30.3,30.2,30.1,0.0,NH,2018,1
17,32,30.4,28,30,28.3,24,100,91.9,85,7,4.0,0,30.1,30.0,29.8,0.15,NH,2018,1
18,29,22.0,15,20,14.9,12,92,74.8,58,15,6.1,0,29.8,29.7,29.6,0.1,NH,2018,1
19,32,26.5,16,21,18.2,13,88,71.7,59,8,3.3,0,29.7,29.6,29.6,0.0,NH,2018,1
20,50,37.3,29,27,23.4,19,82,58.5,39,10,7.4,3,29.7,29.5,29.4,0.0,NH,2018,1
21,47,35.4,28,31,27.2,24,89,73.8,48,7,2.4,0,29.9,29.8,29.7,0.0,NH,2018,1
22,36,31.0,28,33,28.6,26,92,90.4,85,13,6.5,0,30.0,30.0,29.9,0.0,NH,2018,1
