day,temperature_max,temperature_avg,temperature_min,dew_point_max,dew_point_avg,dew_point_min,humidity_max,humidity_avg,humidity_min,wind_speed_max,wind_speed_avg,wind_speed_min,preasure_max,preasure_avg,preasure_min,precipitation,state,year,month
1,59,42.5,33,26,24.6,23,72,51.7,26,5,0.9,0,25.8,25.8,25.8,0.0,NV,2018,1
2,52,38.3,27,27,24.5,21,78,60.1,37,5,1.5,0,25.9,25.8,25.8,0.0,NV,2018,1
3,52,41.9,33,34,28.2,25,75,60.0,38,6,1.1,0,25.8,25.7,25.6,0.0,NV,2018,1
4,60,45.1,35,37,34.0,30,92,67.0,41,6,1.0,0,25.7,25.6,25.6,0.0,NV,2018,1
5,58,46.5,34,43,36.6,30,89,70.1,44,7,2.8,0,25.7,25.7,25.6,0.02,NV,2018,1
6,55,45.1,33,44,35.4,23,97,72.4,29,10,2.5,0,25.7,25.6,25.6,0.32,NV,2018,1
7,47,37.1,26,32,26.9,23,88,68.2,46,6,1.5,0,25.7,25.6,25.6,0.07,NV,2018,1
8,47,41.7,37,40,35.8,31,92,79.6,68,7,1.6,0,25.6,25.4,25.3,0.0,NV,2018,1
9,50,44.3,39,44,39.6,37,96,84.5,66,10,2.8,0,25.4,25.3,25.2,0.05,NV,2018,1
10,57,46.8,34,36,33.1,28,79,60.5,40,16,8.3,0,25.7,25.5,25.4,0.07,NV,2018,1
11,61,44.3,29,37,27.8,20,89,57.8,24,20,6.7,0,25.8,25.7,25.6,0.0,NV,2018,1
12,55,44.1,35,31,28.3,25,73,55.4,35,16,4.4,0,25.9,25.8,25.7,0.0,NV,2018,1
13,58,40.1,29,30,26.7,25,85,62.4,28,13,2.8,0,25.9,25.9,25.8,0.0,NV,2018,1
14,52,40.3,29,32,28.7,24,82,65.0,43,5,1.1,0,25.9,25.8,25.7,0.0,NV,2018,1
15,51,41.4,32,33,31.3,28,88,68.7,48,5,0.8,0,25.8,25.7,25.6,0.0,NV,2018,1
16,55,45.5,37,35,33.6,32,82,64.6,47,8,2.5,0,25.8,25.7,25.6,0.0,NV,2018,1
17,59,44.5,32,36,33.2,29,89,67.5,42,6,1.0,0,25.8,25.7,25.6,0.0,NV,2018,1
18,64,53.9,41,39,34.6,30,80,50.8,28,30,16.5,0,25.6,25.5,25.3,0.0,NV,2018,1
19,46,40.2,33,32,21.3,11,67,49.2,24,20,11.5,7,25.5,25.5,25.4,0.01,NV,2018,1
