day,temperature_max,temperature_avg,temperature_min,dew_point_max,dew_point_avg,dew_point_min,humidity_max,humidity_avg,humidity_min,wind_speed_max,wind_speed_avg,wind_speed_min,preasure_max,preasure_avg,preasure_min,precipitation,state,year,month
1,11,0.2,-8,-6,-11.3,-16,80,59.5,42,15,5.3,0,30.1,30.0,29.9,0.0,NY,2018,1
2,20,10.2,-2,5,-1.6,-8,76,59.3,50,14,6.0,0,30.1,30.0,29.9,0.0,NY,2018,1
3,22,15.9,9,2,1.0,0,67,52.9,42,12,6.8,0,30.0,29.9,29.7,0.0,NY,2018,1
4,22,18.4,15,17,10.0,2,82,70.5,44,29,13.1,0,29.7,29.3,29.1,0.0,NY,2018,1
5,12,5.1,3,2,-5.8,-8,73,60.9,53,28,18.7,7,29.6,29.4,29.2,0.27,NY,2018,1
6,7,1.9,-2,-8,-11.3,-18,60,54.3,45,29,18.8,12,30.1,29.9,29.6,0.0,NY,2018,1
7,16,4.6,-8,-1,-11.7,-19,59,47.3,39,17,7.2,0,30.3,30.1,29.9,0.0,NY,2018,1
8,27,22.9,17,20,10.6,0,75,60.1,45,18,13.6,7,29.9,29.7,29.6,0.0,NY,2018,1
9,37,31.6,25,26,20.8,14,78,65.3,52,21,9.7,0,30.1,29.8,29.6,0.01,NY,2018,1
10,38,27.5,12,24,16.4,7,88,64.5,52,15,6.6,0,30.1,30.1,30.0,0.0,NY,2018,1
11,51,44.5,37,44,35.8,25,80,71.7,62,18,11.7,5,30.0,29.9,29.8,0.0,NY,2018,1
12,63,53.4,39,59,50.0,36,94,88.0,80,18,13.9,5,29.8,29.5,29.3,0.0,NY,2018,1
13,38,24.1,8,35,18.3,-2,89,78.7,62,25,15.2,6,30.1,29.5,29.2,0.96,NY,2018,1
14,16,8.3,3,0,-3.7,-7,67,58.6,45,12,7.2,3,30.4,30.4,30.2,0.06,NY,2018,1
15,21,12.4,5,6,1.4,-2,74,62.1,48,8,4.4,0,30.5,30.3,30.2,0.0,NY,2018,1
16,30,23.1,15,26,17.2,5,89,78.4,64,12,2.8,0,30.2,30.1,30.1,0.02,NY,2018,1
17,28,23.7,9,24,18.4,3,89,80.3,63,15,6.6,0,30.1,30.0,29.9,0.21,NY,2018,1
18,24,16.1,2,14,7.6,-3,95,70.2,55,18,7.6,0,29.8,29.7,29.7,0.07,NY,2018,1
19,30,23.1,14,18,14.4,8,88,70.0,61,15,3.6,0,29.7,29.6,29.5,0.0,NY,2018,1
20,46,36.3,27,27,22.7,17,67,58.4,45,17,8.1,0,29.7,29.5,29.4,0.0,NY,2018,1
21,41,36.6,30,29,27.7,24,85,70.6,60,13,4.7,0,29.9,29.8,29.7,0.0,NY,2018,1
22,38,34.4,33,34,30.4,28,92,85.5,78,14,4.5,0,29.9,29.8,29.7,0.03,NY,2018,1
23,48,42.2,38,45,38.8,31,93,87.8,73,20,7.6,0,29.7,29.4,29.2,0.07,NY,2018,1
24,40,27.6,19,30,16.1,7,73,62.3,53,25,17.0,3,29.9,29.6,29.3,0.68,NY,2018,1
25,25,19.4,14,8,2.0,-2,65,48.1,34,21,12.0,3,30.3,30.1,29.9,0.0,NY,2018,1
26,32,22.9,10,13,4.4,-2,73,47.7,24,10,4.3,0,30.4,30.3,30.2,0.0,NY,2018,1
27,48,39.8,30,32,23.5,15,69,53.2,44,18,12.7,7,30.2,30.0,29.8,0.0,NY,2018,1
28,49,42.3,30,37,29.3,23,76,60.9,43,13,5.6,0,30.0,29.9,29.9,0.0,NY,2018,1
29,38,30.9,26,23,20.8,17,78,66.8,53,10,6.4,0,30.0,29.9,29.8,0.0,NY,2018,1
30,27,23.2,18,20,14.0,5,78,68.0,57,20,10.1,5,29.9,29.7,29.7,0.0,NY,2018,1
31,30,22.8,16,8,5.5,3,62,48.8,36,17,11.0,6,30.0,29.8,29.6,0.01,NY,2018,1
1,38,33.7,28,31,19.8,10,85,57.9,43,16,10.9,0,29.6,29.6,29.5,0.0,NY,2018,2
2,34,20.0,8,30,6.6,-5,85,57.2,38,30,17.7,5,30.0,29.7,29.5,0.03,NY,2018,2
3,29,19.3,6,9,2.8,-5,70,50.3,33,18,9.5,0,30.0,30.0,29.9,0.0,NY,2018,2
4,34,31.2,27,30,23.0,9,89,73.7,43,24,10.5,0,29.9,29.6,29.4,0.0,NY,2018,2
5,34,25.8,14,30,17.1,2,92,71.1,44,31,12.4,0,30.0,29.6,29.3,0.28,NY,2018,2
6,30,22.7,16,21,12.5,6,72,65.1,56,12,6.4,0,30.2,30.0,29.9,0.0,NY,2018,2
7,26,20.7,14,20,15.8,10,89,81.7,69,17,3.9,0,30.2,29.9,29.6,0.0,NY,2018,2
8,26,20.5,12,15,8.5,6,77,60.5,44,14,8.0,0,30.1,30.0,29.9,0.67,NY,2018,2
9,30,20.4,4,21,12.8,-2,84,72.9,55,17,7.4,0,30.2,30.1,30.0,0.0,NY,2018,2
10,43,38.2,30,38,33.0,22,96,81.9,69,14,7.8,0,30.0,29.8,29.7,0.0,NY,2018,2
11,37,31.4,29,34,27.8,23,96,86.7,78,18,5.5,0,29.8,29.7,29.5,0.25,NY,2018,2
12,38,31.9,22,33,20.0,10,83,61.8,51,23,16.6,0,30.4,30.0,29.7,0.2,NY,2018,2
13,29,23.2,16,13,6.3,3,62,49.3,33,17,4.9,0,30.6,30.4,30.2,0.0,NY,2018,2
14,45,35.8,29,31,24.8,14,82,64.8,54,14,9.0,0,30.1,29.9,29.7,0.0,NY,2018,2
15,53,42.3,35,46,38.2,30,97,85.7,71,15,7.5,0,29.7,29.5,29.3,0.0,NY,2018,2
16,46,40.3,29,43,34.5,18,96,80.7,54,25,8.3,0,29.9,29.4,29.3,0.04,NY,2018,2
17,35,30.0,24,27,19.0,11,88,65.3,40,17,8.9,0,30.1,29.9,29.7,0.0,NY,2018,2
18,38,31.3,24,28,24.1,18,92,75.4,57,18,6.9,0,30.2,29.9,29.6,0.09,NY,2018,2
19,43,37.5,27,39,28.6,18,89,71.1,55,23,13.5,5,30.1,30.0,29.9,0.0,NY,2018,2
20,63,51.6,43,50,44.5,40,89,77.5,58,15,10.5,6,29.9,29.9,29.9,0.3,NY,2018,2
21,70,55.4,40,54,47.7,33,87,76.3,55,28,13.5,8,30.2,29.9,29.8,0.0,NY,2018,2
