day,temperature_max,temperature_avg,temperature_min,dew_point_max,dew_point_avg,dew_point_min,humidity_max,humidity_avg,humidity_min,wind_speed_max,wind_speed_avg,wind_speed_min,preasure_max,preasure_avg,preasure_min,precipitation,state,year,month
1,10,5.6,0,4,-0.3,-5,88,77.0,64,14,7.9,0,29.8,29.7,29.6,0.03,OH,2018,1
2,10,3.4,-4,-2,-4.4,-10,80,70.4,58,9,6.3,0,29.8,29.6,29.4,0.0,OH,2018,1
3,22,12.0,-1,12,2.4,-7,79,66.4,48,14,6.7,0,29.4,29.3,29.1,0.0,OH,2018,1
4,16,13.7,11,11,6.7,1,84,74.2,56,21,12.8,6,29.3,29.2,29.1,0.0,OH,2018,1
5,13,8.7,4,5,0.3,-6,77,68.8,61,13,9.7,5,29.5,29.4,29.3,0.02,OH,2018,1
6,17,6.5,0,3,-1.6,-5,88,70.6,49,13,3.7,0,29.7,29.6,29.5,0.0,OH,2018,1
7,32,16.6,0,13,3.5,-5,84,58.8,41,12,6.4,0,29.7,29.5,29.2,0.0,OH,2018,1
8,36,34.0,32,34,28.9,15,96,83.1,48,16,9.9,6,29.3,29.2,29.1,0.12,OH,2018,1
9,37,33.5,30,31,29.8,27,92,86.1,76,8,4.3,0,29.4,29.4,29.3,0.08,OH,2018,1
10,57,43.4,31,48,38.5,29,93,83.7,72,12,7.8,5,29.4,29.3,29.2,0.0,OH,2018,1
11,59,56.5,53,58,53.1,46,100,88.9,72,17,9.2,3,29.2,29.1,28.9,0.0,OH,2018,1
12,58,38.7,20,58,37.3,17,100,94.8,80,29,16.7,6,29.1,28.9,28.8,0.24,OH,2018,1
13,19,15.9,11,16,7.3,2,88,69.3,54,30,16.5,0,29.7,29.4,29.1,0.7,OH,2018,1
14,18,10.8,1,11,2.4,-3,95,71.0,50,9,2.8,0,29.8,29.7,29.6,0.0,OH,2018,1
15,28,21.9,14,26,17.8,3,100,84.6,61,13,7.3,0,29.6,29.4,29.3,0.02,OH,2018,1
16,26,13.5,7,25,8.0,0,96,78.9,67,20,8.9,3,29.6,29.5,29.4,0.27,OH,2018,1
17,13,10.0,7,7,4.8,1,88,79.9,71,10,6.2,0,29.6,29.6,29.5,0.0,OH,2018,1
18,28,18.7,9,13,9.3,5,88,68.2,53,18,11.1,7,29.5,29.4,29.3,0.0,OH,2018,1
19,37,27.3,18,20,15.2,10,71,60.8,48,16,9.3,5,29.3,29.2,29.1,0.0,OH,2018,1
20,44,38.3,30,34,26.6,19,72,63.1,53,15,8.0,3,29.2,29.2,29.1,0.0,OH,2018,1
21,50,45.0,39,49,43.9,36,100,96.3,80,9,3.6,0,29.2,29.2,29.2,0.01,OH,2018,1
22,59,53.0,47,49,47.4,45,100,82.0,62,16,10.0,5,29.1,28.9,28.7,0.08,OH,2018,1
