day,temperature_max,temperature_avg,temperature_min,dew_point_max,dew_point_avg,dew_point_min,humidity_max,humidity_avg,humidity_min,wind_speed_max,wind_speed_avg,wind_speed_min,preasure_max,preasure_avg,preasure_min,precipitation,state,year,month
1,19,11.8,5,-2,-2.9,-5,70,53.3,34,15,10.0,7,29.4,29.3,29.3,0.0,OK,2018,1
2,20,15.0,10,4,1.2,-2,73,54.8,46,8,5.0,0,29.3,29.2,29.0,0.0,OK,2018,1
3,41,27.3,11,16,11.1,3,70,52.1,35,18,9.4,0,29.0,29.0,28.9,0.0,OK,2018,1
4,43,29.9,20,17,14.7,13,75,55.3,31,10,6.7,0,29.0,28.9,28.9,0.0,OK,2018,1
5,55,37.3,23,23,20.0,16,75,52.8,28,12,4.8,0,28.9,28.9,28.8,0.0,OK,2018,1
6,54,41.3,26,40,26.4,17,69,56.9,37,20,10.3,5,28.9,28.8,28.7,0.0,OK,2018,1
7,50,47.6,38,49,43.2,34,100,86.4,56,31,14.7,0,28.7,28.5,28.4,0.0,OK,2018,1
8,53,41.0,33,35,31.7,29,89,71.4,41,15,6.6,0,28.8,28.8,28.7,0.16,OK,2018,1
9,56,41.9,32,41,36.2,29,97,81.8,53,22,14.4,3,28.8,28.6,28.5,0.0,OK,2018,1
10,58,46.2,40,46,41.3,39,97,84.5,56,30,21.2,16,28.5,28.4,28.2,0.0,OK,2018,1
11,50,33.2,19,48,26.1,8,100,76.3,49,38,23.4,6,28.9,28.5,28.2,0.03,OK,2018,1
12,31,22.5,13,9,5.7,3,67,50.1,35,21,13.5,8,29.1,28.9,28.9,0.0,OK,2018,1
13,34,26.0,18,11,7.2,3,65,46.5,31,17,8.8,0,29.3,29.1,29.1,0.0,OK,2018,1
14,49,35.2,23,19,15.3,8,65,45.8,28,20,10.4,5,29.1,29.0,28.9,0.0,OK,2018,1
15,38,27.5,15,31,14.6,-2,76,59.5,38,29,18.2,3,29.3,29.1,28.8,0.0,OK,2018,1
16,19,12.3,5,-1,-3.1,-5,73,51.2,36,24,13.1,0,29.4,29.3,29.3,0.0,OK,2018,1
17,34,17.6,4,6,2.6,-2,80,55.9,27,12,7.0,0,29.3,29.2,29.1,0.0,OK,2018,1
18,49,31.0,12,15,8.3,3,77,43.4,16,21,12.5,8,29.1,28.9,28.8,0.0,OK,2018,1
19,60,42.0,25,45,26.1,13,90,57.3,26,24,16.2,7,28.8,28.6,28.5,0.0,OK,2018,1
20,68,54.6,48,51,44.3,38,90,71.8,33,24,18.6,12,28.5,28.5,28.4,0.0,OK,2018,1
21,69,57.0,43,53,41.8,10,97,65.3,13,32,19.9,14,28.4,28.4,28.3,0.0,OK,2018,1
22,49,41.1,31,26,22.5,16,64,48.7,34,32,19.8,7,28.7,28.5,28.4,0.0,OK,2018,1
23,52,38.4,27,18,15.9,13,66,42.8,21,15,7.9,0,29.0,28.9,28.7,0.0,OK,2018,1
24,59,40.4,26,26,19.0,16,75,46.3,19,16,7.8,0,29.1,29.0,28.9,0.0,OK,2018,1
25,65,48.3,33,33,16.8,6,56,33.8,10,29,16.5,7,28.9,28.9,28.8,0.0,OK,2018,1
26,59,52.0,47,51,41.8,30,100,69.7,48,26,17.0,8,28.8,28.7,28.6,0.01,OK,2018,1
27,58,46.5,35,44,21.2,8,77,41.5,14,22,12.1,3,29.0,28.9,28.8,0.0,OK,2018,1
28,61,43.5,27,26,15.3,1,69,38.5,9,22,7.5,0,29.1,29.0,28.9,0.0,OK,2018,1
29,42,31.4,22,20,14.8,12,68,52.1,32,22,11.0,0,29.2,29.1,29.1,0.0,OK,2018,1
30,59,40.4,23,25,19.0,16,74,46.2,22,26,16.4,7,29.1,28.8,28.6,0.0,OK,2018,1
31,69,53.9,44,28,25.3,23,50,34.8,18,23,14.5,8,28.6,28.5,28.4,0.0,OK,2018,1
1,50,41.5,31,30,19.6,4,63,43.3,29,26,19.0,15,29.1,28.8,28.5,0.0,OK,2018,2
2,47,34.3,26,16,7.4,3,50,33.5,21,18,10.5,3,29.2,29.0,28.9,0.0,OK,2018,2
3,55,40.6,32,30,23.3,16,73,51.1,38,25,12.5,0,28.9,28.6,28.4,0.0,OK,2018,2
4,38,30.5,17,31,19.3,7,85,64.3,38,32,16.4,0,29.0,28.8,28.5,0.0,OK,2018,2
5,39,24.8,11,22,13.5,5,84,63.5,49,18,10.1,3,28.9,28.7,28.6,0.0,OK,2018,2
6,30,25.8,18,21,12.8,10,72,58.4,47,16,12.1,7,28.9,28.8,28.8,0.0,OK,2018,2
7,41,29.1,19,13,11.5,9,71,49.7,31,18,8.8,0,29.1,29.0,28.9,0.0,OK,2018,2
8,59,40.0,19,27,20.4,13,81,49.8,25,20,12.2,3,29.0,28.9,28.8,0.0,OK,2018,2
9,64,43.7,31,35,28.3,20,76,56.9,33,23,15.0,5,28.7,28.6,28.6,0.0,OK,2018,2
10,30,21.1,19,19,14.0,10,85,74.8,58,26,19.0,14,28.7,28.7,28.6,0.0,OK,2018,2
11,34,23.8,18,15,11.5,9,85,61.6,38,22,12.4,3,29.0,28.8,28.7,0.0,OK,2018,2
12,44,28.5,14,25,17.5,10,88,65.9,38,15,8.8,0,29.1,29.0,29.0,0.0,OK,2018,2
13,50,39.8,27,40,31.6,23,92,73.9,54,16,9.5,0,29.0,29.0,28.9,0.0,OK,2018,2
14,69,52.0,42,57,46.7,40,100,84.6,45,22,14.6,8,28.9,28.7,28.6,0.0,OK,2018,2
15,78,67.9,59,57,52.6,39,75,59.3,39,28,16.2,5,28.6,28.5,28.5,0.0,OK,2018,2
16,54,40.7,34,35,24.3,20,82,53.3,38,30,16.0,5,29.0,28.9,28.6,0.0,OK,2018,2
17,58,42.0,35,36,32.1,22,100,73.8,28,24,9.0,0,28.8,28.7,28.6,0.38,OK,2018,2
18,60,47.7,30,58,45.1,29,100,91.3,67,28,17.1,3,28.8,28.6,28.4,0.0,OK,2018,2
19,74,57.8,45,60,50.5,38,90,77.2,57,26,17.0,0,28.4,28.4,28.4,0.0,OK,2018,2
20,68,37.1,24,63,34.3,20,97,90.3,64,32,21.9,0,28.9,28.6,28.4,0.0,OK,2018,2
21,26,23.3,21,25,20.6,17,100,89.3,81,24,15.4,8,29.0,29.0,28.9,0.76,OK,2018,2
22,32,30.0,26,32,29.4,25,100,97.3,92,16,5.5,0,29.0,28.9,28.8,0.17,OK,2018,2
23,38,35.1,32,38,34.5,32,100,98.2,93,14,6.8,0,28.9,28.8,28.6,0.43,OK,2018,2
24,51,39.7,34,42,36.7,31,100,90.3,59,18,9.1,0,28.6,28.5,28.4,0.31,OK,2018,2
25,62,44.5,25,38,31.2,23,96,65.0,31,15,7.8,0,28.8,28.6,28.6,0.46,OK,2018,2
26,65,48.6,30,40,32.8,26,85,57.9,29,17,8.6,0,28.9,28.8,28.7,0.0,OK,2018,2
27,56,51.2,41,56,49.9,38,100,95.0,82,18,11.3,6,28.7,28.6,28.5,0.0,OK,2018,2
28,78,60.8,49,60,54.2,40,100,81.6,42,22,13.2,3,28.5,28.4,28.3,0.11,OK,2018,2
1,63,49.7,39,41,30.8,20,79,53.6,20,26,17.4,5,28.9,28.7,28.5,0.01,OK,2018,3
2,66,52.0,39,41,31.0,22,71,46.6,26,17,11.6,3,28.9,28.9,28.8,0.0,OK,2018,3
3,69,56.8,46,49,44.6,40,80,64.8,49,24,17.9,10,28.8,28.8,28.7,0.0,OK,2018,3
4,63,58.9,56,56,51.7,44,93,77.7,60,24,19.1,13,28.7,28.6,28.4,0.0,OK,2018,3
5,63,54.1,38,59,26.7,3,96,43.6,11,35,18.4,3,28.7,28.6,28.3,0.0,OK,2018,3
6,59,46.2,34,20,13.4,5,50,30.2,12,32,18.8,6,28.9,28.8,28.6,0.0,OK,2018,3
7,52,39.5,29,22,19.3,17,67,46.4,26,17,9.9,3,29.0,28.9,28.8,0.0,OK,2018,3
8,65,48.8,31,31,24.4,18,67,41.3,21,17,8.4,0,28.9,28.7,28.5,0.0,OK,2018,3
9,72,58.1,46,45,39.2,29,69,50.2,38,21,12.7,3,28.5,28.4,28.4,0.0,OK,2018,3
10,68,57.2,46,56,52.9,43,100,86.3,65,16,6.0,0,28.5,28.4,28.4,0.0,OK,2018,3
11,55,47.3,38,42,30.5,26,70,53.2,37,26,20.2,10,29.0,28.8,28.6,0.0,OK,2018,3
12,53,41.5,30,28,22.4,16,85,51.9,23,16,10.0,5,29.0,28.9,28.9,0.0,OK,2018,3
13,57,44.2,32,27,21.5,17,73,44.5,22,14,6.6,0,29.0,28.9,28.9,0.0,OK,2018,3
14,66,48.8,29,27,22.4,19,75,40.2,18,16,9.3,0,28.9,28.8,28.6,0.0,OK,2018,3
15,75,60.6,44,50,38.7,25,67,45.3,33,30,20.3,9,28.6,28.4,28.3,0.0,OK,2018,3
16,77,64.4,54,53,33.8,17,86,40.9,11,21,15.9,3,28.5,28.4,28.3,0.0,OK,2018,3
17,61,50.8,41,37,33.9,33,73,53.8,35,18,10.3,0,28.6,28.6,28.5,0.0,OK,2018,3
18,64,56.3,46,60,46.9,35,93,71.8,50,21,9.7,0,28.6,28.4,28.2,0.0,OK,2018,3
19,62,48.0,42,60,35.8,22,93,64.4,33,38,21.5,12,28.6,28.4,28.1,0.0,OK,2018,3
20,57,45.1,37,34,31.0,27,82,60.5,33,25,14.9,0,28.7,28.6,28.6,0.0,OK,2018,3
21,65,52.1,35,35,29.3,25,82,46.1,22,14,6.3,0,28.8,28.8,28.7,0.0,OK,2018,3
22,77,61.7,40,49,38.7,29,68,45.1,27,24,16.4,7,28.8,28.7,28.6,0.0,OK,2018,3
23,78,66.3,57,59,54.3,47,81,66.1,48,29,20.6,12,28.6,28.5,28.4,0.0,OK,2018,3
24,72,63.4,54,58,47.8,42,81,58.4,40,22,13.8,8,28.6,28.5,28.4,0.0,OK,2018,3
