day,temperature_max,temperature_avg,temperature_min,dew_point_max,dew_point_avg,dew_point_min,humidity_max,humidity_avg,humidity_min,wind_speed_max,wind_speed_avg,wind_speed_min,preasure_max,preasure_avg,preasure_min,precipitation,state,year,month
1,18,10.6,-2,5,0.7,-4,91,65.0,54,18,8.0,0,30.1,30.1,30.0,0.0,PA,2018,1
2,20,13.6,5,6,2.3,-2,80,61.3,52,20,8.1,0,30.2,30.1,30.0,0.0,PA,2018,1
3,24,13.5,0,8,2.8,-4,88,64.7,40,6,2.0,0,30.0,29.9,29.6,0.0,PA,2018,1
4,24,21.1,14,18,10.8,0,88,65.2,46,28,18.3,5,29.6,29.4,29.3,0.03,PA,2018,1
5,15,11.5,9,1,-2.8,-6,67,52.9,48,29,21.4,15,29.9,29.7,29.5,0.0,PA,2018,1
6,14,10.0,6,-2,-4.2,-7,58,53.1,47,22,15.8,5,30.2,30.0,29.9,0.0,PA,2018,1
7,20,12.9,3,5,-1.2,-5,76,54.7,40,13,5.0,0,30.3,30.2,30.0,0.0,PA,2018,1
8,30,22.5,14,23,14.6,4,81,71.8,55,6,2.9,0,30.0,29.8,29.7,0.0,PA,2018,1
9,45,29.5,16,28,22.3,14,96,76.8,47,12,3.8,0,30.1,29.9,29.7,0.07,PA,2018,1
10,41,31.1,20,30,23.9,18,96,76.2,55,8,4.0,0,30.1,30.1,30.0,0.0,PA,2018,1
11,57,43.4,29,55,37.4,27,100,80.2,66,8,2.0,0,30.0,29.9,29.7,0.0,PA,2018,1
12,63,58.5,47,61,58.0,47,100,98.1,93,16,10.2,5,29.7,29.4,29.1,0.27,PA,2018,1
13,44,30.4,18,44,21.3,3,100,71.0,47,29,19.0,12,30.2,29.6,29.1,0.98,PA,2018,1
14,22,16.8,13,6,2.6,-1,65,54.2,42,15,8.1,0,30.4,30.3,30.2,0.0,PA,2018,1
15,26,19.7,13,17,10.1,4,71,66.2,63,6,1.3,0,30.3,30.2,30.1,0.0,PA,2018,1
16,33,30.2,26,31,27.9,18,100,91.2,71,6,2.6,0,30.1,30.1,30.0,0.02,PA,2018,1
17,31,23.0,14,30,15.9,6,96,75.4,55,21,12.5,6,30.1,30.0,29.9,0.22,PA,2018,1
18,36,23.1,13,16,10.5,5,78,60.3,43,18,7.4,0,29.9,29.8,29.6,0.0,PA,2018,1
19,43,29.4,16,23,18.5,12,84,66.1,41,12,3.7,0,29.8,29.7,29.6,0.0,PA,2018,1
20,48,34.1,22,33,26.6,19,92,76.0,50,13,2.7,0,29.7,29.6,29.6,0.0,PA,2018,1
21,51,38.1,26,40,33.6,24,96,84.3,61,6,1.4,0,29.9,29.8,29.7,0.0,PA,2018,1
22,53,44.6,38,43,39.5,36,97,82.8,69,7,2.5,0,29.8,29.7,29.6,0.0,PA,2018,1
23,53,46.8,42,52,43.6,29,100,90.1,46,23,6.0,0,29.5,29.4,29.3,1.19,PA,2018,1
24,43,37.0,32,32,23.7,17,67,58.6,52,22,15.7,8,29.9,29.7,29.5,0.87,PA,2018,1
25,36,30.3,24,17,13.2,8,72,50.5,34,16,9.9,0,30.2,30.1,29.9,0.0,PA,2018,1
26,43,30.8,22,25,20.5,16,85,67.4,45,8,4.2,0,30.4,30.3,30.2,0.0,PA,2018,1
27,57,42.3,23,43,29.7,19,88,64.2,36,12,4.6,0,30.2,30.0,29.9,0.0,PA,2018,1
28,49,43.5,35,46,41.6,33,100,93.4,82,9,3.0,0,29.9,29.9,29.9,0.13,PA,2018,1
29,47,38.5,32,34,29.2,24,93,71.1,48,13,5.5,0,29.9,29.8,29.6,0.15,PA,2018,1
30,33,28.6,19,31,20.9,3,96,74.1,48,26,16.7,0,30.0,29.7,29.6,0.07,PA,2018,1
31,33,24.3,0,18,10.9,0,68,53.5,0,16,7.5,0,30.0,29.8,29.6,0.0,PA,2018,1
1,42,34.8,28,35,26.6,18,93,72.7,56,6,1.3,0,29.6,29.6,29.5,0.0,PA,2018,2
2,38,26.4,19,34,11.8,1,89,55.3,40,28,19.0,7,30.1,29.8,29.5,0.0,PA,2018,2
3,32,25.8,18,11,8.4,2,65,48.7,37,15,9.4,6,30.1,30.0,29.9,0.0,PA,2018,2
4,34,32.3,31,31,25.7,10,92,78.9,37,12,6.4,0,29.9,29.6,29.4,0.0,PA,2018,2
5,35,28.6,23,31,18.0,9,92,65.9,45,25,11.3,0,29.9,29.7,29.4,0.88,PA,2018,2
6,34,28.2,24,22,19.5,16,78,70.3,56,10,4.0,0,30.1,30.0,29.9,0.0,PA,2018,2
7,36,30.6,25,31,26.3,19,96,84.2,64,20,7.9,0,30.1,29.8,29.6,0.04,PA,2018,2
8,30,25.5,21,19,15.3,12,81,65.9,53,16,10.0,0,30.1,30.1,29.9,0.83,PA,2018,2
9,37,29.4,19,28,21.6,15,85,73.4,59,13,5.6,0,30.2,30.1,30.0,0.0,PA,2018,2
10,39,35.7,31,37,33.6,27,100,92.4,76,6,0.8,0,30.0,29.8,29.7,0.0,PA,2018,2
11,43,38.5,35,41,37.4,34,100,96.0,93,8,2.0,0,29.7,29.6,29.5,0.31,PA,2018,2
12,45,39.5,32,41,28.3,16,96,65.4,42,20,11.9,5,30.4,30.0,29.7,0.35,PA,2018,2
13,39,32.8,23,25,18.0,12,72,54.9,46,13,5.3,0,30.5,30.4,30.2,0.0,PA,2018,2
14,44,39.5,35,39,29.9,25,93,68.8,60,6,3.2,0,30.2,29.9,29.7,0.0,PA,2018,2
15,59,47.2,39,57,44.6,38,100,91.2,72,9,1.9,0,29.7,29.5,29.3,0.13,PA,2018,2
16,57,50.3,35,56,44.9,21,100,83.0,57,21,9.1,0,29.9,29.4,29.3,0.96,PA,2018,2
17,39,32.9,26,30,25.3,18,92,75.2,52,14,7.0,0,30.0,29.9,29.7,0.01,PA,2018,2
18,43,35.2,29,32,27.9,24,92,76.3,51,16,5.8,0,30.1,29.9,29.7,0.34,PA,2018,2
19,44,40.7,30,43,36.6,25,100,85.7,71,10,5.2,0,30.1,30.0,30.0,0.0,PA,2018,2
20,72,49.0,41,55,45.5,39,97,88.8,51,9,1.2,0,30.0,30.0,29.9,0.09,PA,2018,2
21,79,56.9,44,61,49.5,42,100,79.1,48,14,5.8,0,30.1,29.9,29.9,0.0,PA,2018,2
22,53,42.3,39,43,37.4,32,93,83.6,54,13,6.6,3,30.3,30.2,30.1,0.03,PA,2018,2
23,44,40.4,38,42,38.0,35,97,91.4,86,12,6.5,0,30.3,30.1,29.9,0.19,PA,2018,2
24,48,45.0,43,46,43.2,41,97,93.6,89,6,1.9,0,29.9,29.8,29.8,0.1,PA,2018,2
25,48,45.2,43,45,43.0,42,97,92.3,86,16,4.7,0,29.8,29.7,29.6,0.79,PA,2018,2
26,52,44.6,38,42,32.6,24,97,65.8,37,13,6.9,0,30.0,29.8,29.7,0.17,PA,2018,2
27,58,44.1,27,32,24.8,20,85,51.4,23,14,4.4,0,30.1,30.0,29.9,0.0,PA,2018,2
28,62,49.3,35,37,32.2,25,73,53.5,37,13,5.3,0,29.8,29.7,29.5,0.0,PA,2018,2
1,54,47.2,41,47,42.9,36,93,85.3,59,13,5.5,0,29.6,29.3,29.1,0.0,PA,2018,3
2,47,38.6,34,44,29.9,22,93,72.3,53,41,24.5,7,29.7,29.3,29.1,1.22,PA,2018,3
