day,temperature_max,temperature_avg,temperature_min,dew_point_max,dew_point_avg,dew_point_min,humidity_max,humidity_avg,humidity_min,wind_speed_max,wind_speed_avg,wind_speed_min,preasure_max,preasure_avg,preasure_min,precipitation,state,year,month
1,14,6.8,2,-6,-7.9,-10,64,51.9,39,17,11.4,5,30.3,30.2,30.2,0.0,RI,2018,1
2,20,13.5,3,7,0.2,-7,66,56.2,38,13,8.8,5,30.3,30.2,30.2,0.0,RI,2018,1
3,31,20.7,12,15,8.8,3,81,61.4,39,13,5.4,0,30.3,30.2,30.0,0.0,RI,2018,1
4,32,26.5,23,31,22.2,11,100,84.7,55,36,24.2,7,30.0,29.1,28.8,0.0,RI,2018,1
5,23,14.1,8,12,-0.8,-10,68,52.2,41,28,21.3,12,29.8,29.5,29.2,0.3,RI,2018,1
6,13,7.7,3,-8,-9.6,-14,53,45.7,39,25,16.2,6,30.2,30.0,29.8,0.0,RI,2018,1
7,17,7.3,-3,9,-9.7,-18,71,47.0,32,15,9.4,3,30.5,30.4,30.2,0.0,RI,2018,1
8,36,30.0,21,30,20.6,10,92,68.9,45,22,12.5,8,30.2,30.1,29.9,0.0,RI,2018,1
9,42,34.6,30,27,23.1,16,85,64.4,47,20,11.2,6,30.3,30.0,29.9,0.03,RI,2018,1
10,37,29.5,21,29,20.6,14,92,70.1,54,13,6.5,0,30.5,30.4,30.3,0.0,RI,2018,1
11,51,40.9,29,48,39.4,28,100,94.3,86,12,5.4,0,30.4,30.3,30.2,0.0,RI,2018,1
12,62,53.9,42,61,53.8,42,100,99.6,93,31,14.6,0,30.2,29.9,29.6,0.01,RI,2018,1
13,62,49.4,22,62,18.5,0,100,40.5,0,31,21.0,10,30.2,29.6,29.4,3.33,RI,2018,1
14,26,20.3,16,9,1.8,-5,65,46.3,26,16,12.8,9,30.6,30.5,30.3,0.0,RI,2018,1
15,23,18.7,15,12,9.0,2,74,66.5,50,20,14.7,8,30.7,30.6,30.5,0.0,RI,2018,1
16,35,29.7,22,31,22.5,9,92,75.4,55,9,6.2,0,30.5,30.4,30.4,0.0,RI,2018,1
17,36,33.9,33,34,32.6,30,100,95.0,85,9,5.8,0,30.3,30.2,30.0,0.02,RI,2018,1
18,33,27.4,20,30,18.6,13,89,70.7,50,16,9.0,3,30.0,29.9,29.8,0.15,RI,2018,1
19,37,28.5,21,20,17.9,15,78,65.6,48,12,8.3,5,30.0,29.9,29.9,0.0,RI,2018,1
20,50,40.8,30,27,25.2,22,76,55.2,38,22,10.3,0,29.9,29.8,29.7,0.0,RI,2018,1
