day,temperature_max,temperature_avg,temperature_min,dew_point_max,dew_point_avg,dew_point_min,humidity_max,humidity_avg,humidity_min,wind_speed_max,wind_speed_avg,wind_speed_min,preasure_max,preasure_avg,preasure_min,precipitation,state,year,month
1,-10,-17.9,-22,-16,-21.4,-25,100,84.5,71,9,3.6,0,28.9,28.8,28.7,0.0,SD,2018,1
2,27,4.7,-21,19,-1.1,-25,87,77.4,69,24,13.7,3,28.7,28.4,28.3,0.0,SD,2018,1
3,22,15.6,4,16,11.5,2,96,84.0,77,15,4.4,0,28.5,28.4,28.4,0.0,SD,2018,1
4,18,11.2,3,14,8.9,2,100,90.5,81,10,4.6,0,28.4,28.3,28.3,0.0,SD,2018,1
5,14,11.3,8,9,7.4,5,92,84.3,77,18,11.9,6,28.5,28.5,28.4,0.0,SD,2018,1
6,27,17.2,11,23,14.2,8,96,88.1,77,20,12.2,3,28.4,28.1,27.9,0.0,SD,2018,1
7,40,34.8,24,34,30.1,22,92,82.9,73,24,13.8,0,28.1,28.0,27.9,0.0,SD,2018,1
8,41,32.0,26,32,28.6,25,96,87.6,70,10,6.4,0,28.1,28.1,28.0,0.0,SD,2018,1
9,37,28.6,21,32,27.0,20,100,93.9,82,13,5.1,0,28.0,27.9,27.6,0.0,SD,2018,1
10,37,21.9,7,32,18.5,-1,100,86.6,70,33,19.6,0,28.1,27.8,27.6,0.0,SD,2018,1
11,8,2.7,-5,1,-5.1,-10,80,70.1,61,35,20.8,5,28.5,28.4,28.1,0.0,SD,2018,1
12,6,1.0,-6,-1,-5.5,-11,84,74.2,66,10,6.5,0,28.8,28.6,28.5,0.0,SD,2018,1
13,13,6.5,-5,10,1.4,-9,92,80.0,70,21,10.7,0,28.7,28.6,28.4,0.0,SD,2018,1
14,35,19.0,2,29,15.1,-4,100,85.4,63,29,14.2,0,28.6,28.3,28.2,0.0,SD,2018,1
15,3,-2.8,-8,-5,-10.9,-14,79,68.7,55,30,19.4,13,28.9,28.8,28.6,0.0,SD,2018,1
16,16,-0.3,-12,2,-8.0,-17,83,71.3,45,13,8.2,5,28.9,28.7,28.4,0.0,SD,2018,1
17,43,21.9,2,25,13.4,-1,92,72.5,45,17,7.7,0,28.4,28.3,28.2,0.0,SD,2018,1
18,43,29.3,21,28,23.2,18,92,78.7,56,13,5.4,0,28.2,28.0,27.8,0.0,SD,2018,1
19,49,33.6,23,33,27.9,22,96,81.5,52,16,7.4,0,27.9,27.8,27.7,0.0,SD,2018,1
20,40,36.4,31,38,34.3,30,100,92.2,73,10,6.4,0,28.1,28.1,27.9,0.0,SD,2018,1
21,35,31.6,27,33,28.8,25,100,89.6,78,16,8.0,5,28.2,28.1,28.1,0.02,SD,2018,1
22,25,22.4,21,24,22.1,21,100,99.1,96,21,10.1,3,28.2,28.1,28.1,0.0,SD,2018,1
23,43,24.9,18,28,21.2,17,100,87.9,49,21,7.3,0,28.3,28.2,28.2,0.0,SD,2018,1
24,42,27.0,15,24,20.7,15,100,79.4,47,10,4.5,0,28.3,28.2,28.1,0.0,SD,2018,1
25,46,30.4,19,31,25.2,18,96,82.8,54,14,9.2,0,28.1,27.9,27.7,0.0,SD,2018,1
26,47,37.5,28,28,23.9,18,92,59.8,39,33,17.2,3,28.2,27.9,27.7,0.0,SD,2018,1
