day,temperature_max,temperature_avg,temperature_min,dew_point_max,dew_point_avg,dew_point_min,humidity_max,humidity_avg,humidity_min,wind_speed_max,wind_speed_avg,wind_speed_min,preasure_max,preasure_avg,preasure_min,precipitation,state,year,month
1,22,13.2,7,4,0.3,-4,77,58.1,37,14,10.9,7,30.1,30.0,29.9,0.0,TN,2018,1
2,26,15.3,5,4,-1.2,-4,70,50.3,28,9,4.8,0,30.1,29.9,29.7,0.0,TN,2018,1
3,35,25.4,17,11,7.3,1,71,48.3,29,12,5.9,0,29.7,29.6,29.5,0.0,TN,2018,1
4,23,17.6,11,11,3.2,1,70,54.5,39,15,9.0,3,29.7,29.6,29.5,0.0,TN,2018,1
5,31,23.0,16,9,3.4,0,60,44.1,29,9,6.0,3,29.8,29.8,29.7,0.0,TN,2018,1
6,30,20.8,13,9,1.9,-4,71,46.8,24,8,5.5,0,29.9,29.9,29.8,0.0,TN,2018,1
7,46,33.5,17,21,9.4,0,57,38.2,25,20,10.1,0,29.8,29.7,29.5,0.0,TN,2018,1
8,43,40.9,37,41,36.8,17,96,86.9,38,17,4.0,0,29.6,29.5,29.5,0.0,TN,2018,1
9,49,44.0,40,47,42.7,40,100,95.0,90,7,3.2,0,29.6,29.6,29.5,0.35,TN,2018,1
10,65,55.2,42,55,49.2,40,100,81.9,67,18,8.4,0,29.5,29.5,29.4,0.0,TN,2018,1
11,69,62.0,57,58,55.5,51,94,79.9,63,24,11.2,0,29.4,29.3,29.1,0.04,TN,2018,1
12,61,31.1,23,59,27.9,19,93,87.8,81,21,13.9,9,29.5,29.2,29.0,0.29,TN,2018,1
13,25,21.6,16,21,14.8,10,85,75.4,65,16,11.8,6,30.0,29.8,29.6,0.09,TN,2018,1
14,28,21.9,14,17,12.3,9,81,67.3,51,9,4.5,0,30.0,29.9,29.8,0.0,TN,2018,1
15,46,34.6,25,28,20.7,15,84,59.4,37,18,8.8,3,29.8,29.7,29.7,0.0,TN,2018,1
16,24,15.4,6,16,8.1,-2,84,73.3,59,15,9.3,6,30.0,29.9,29.8,0.0,TN,2018,1
17,21,13.1,7,10,5.2,0,84,71.0,60,13,8.1,0,30.0,30.0,29.9,0.1,TN,2018,1
18,36,21.6,8,16,11.0,4,84,66.0,40,9,4.0,0,29.9,29.8,29.7,0.0,TN,2018,1
19,48,35.5,19,23,17.1,12,75,50.0,30,13,8.3,5,29.7,29.6,29.5,0.0,TN,2018,1
20,64,53.0,41,37,29.6,21,53,42.2,24,15,8.8,5,29.6,29.5,29.5,0.0,TN,2018,1
21,68,58.7,50,48,42.8,36,62,55.8,47,17,10.3,0,29.6,29.5,29.4,0.0,TN,2018,1
22,63,58.8,51,55,45.0,28,90,62.0,36,21,14.7,6,29.4,29.2,29.0,0.0,TN,2018,1
23,50,43.6,38,29,28.4,26,65,55.5,43,14,9.1,6,29.6,29.4,29.2,0.17,TN,2018,1
24,50,40.7,31,28,26.1,24,79,57.7,36,14,5.2,0,29.8,29.7,29.6,0.0,TN,2018,1
25,58,41.2,25,30,25.7,22,89,58.7,29,10,5.2,0,29.9,29.8,29.8,0.0,TN,2018,1
26,61,48.0,36,26,22.2,16,67,40.2,19,20,8.6,0,29.9,29.8,29.7,0.0,TN,2018,1
27,60,54.9,51,53,48.1,26,97,80.2,37,23,7.5,0,29.7,29.6,29.6,0.0,TN,2018,1
28,58,51.0,40,53,44.1,25,97,80.1,40,16,7.7,0,29.6,29.6,29.6,0.59,TN,2018,1
29,51,38.1,30,32,26.9,19,88,64.8,48,17,10.3,0,29.8,29.7,29.6,0.0,TN,2018,1
30,39,31.7,25,20,15.6,12,69,52.9,33,14,7.5,0,29.9,29.8,29.6,0.0,TN,2018,1
31,58,44.8,28,26,21.0,17,69,41.9,26,21,13.5,5,29.6,29.5,29.3,0.0,TN,2018,1
1,54,43.7,27,49,36.8,17,93,77.6,44,16,10.9,5,29.7,29.5,29.4,0.0,TN,2018,2
2,31,24.7,19,16,9.1,5,69,53.0,33,12,7.9,0,29.9,29.9,29.8,0.22,TN,2018,2
3,51,37.8,23,33,15.0,9,68,43.3,20,20,8.4,0,29.8,29.6,29.3,0.0,TN,2018,2
4,51,41.5,28,40,36.3,20,97,82.4,59,18,6.6,0,29.6,29.3,29.2,0.52,TN,2018,2
5,39,30.5,24,27,19.0,14,71,62.7,46,14,6.7,0,29.7,29.6,29.5,0.12,TN,2018,2
6,43,39.6,37,38,32.5,25,96,77.5,51,9,5.3,0,29.7,29.6,29.4,0.0,TN,2018,2
7,43,36.3,29,42,32.7,22,100,87.3,69,15,8.8,0,29.8,29.6,29.4,1.59,TN,2018,2
8,45,34.2,24,25,21.4,18,88,62.9,34,7,3.0,0,29.9,29.8,29.7,0.04,TN,2018,2
9,66,49.8,30,44,31.0,24,82,52.9,25,18,8.4,0,29.7,29.6,29.5,0.0,TN,2018,2
10,58,55.8,50,56,54.2,48,97,94.3,88,12,4.5,0,29.5,29.3,29.2,0.69,TN,2018,2
11,63,51.8,32,60,49.5,28,97,91.8,85,18,9.0,0,29.6,29.3,29.2,2.43,TN,2018,2
12,39,35.2,32,30,28.4,27,85,76.6,67,16,12.8,9,29.9,29.8,29.7,0.2,TN,2018,2
