day,temperature_max,temperature_avg,temperature_min,dew_point_max,dew_point_avg,dew_point_min,humidity_max,humidity_avg,humidity_min,wind_speed_max,wind_speed_avg,wind_speed_min,preasure_max,preasure_avg,preasure_min,precipitation,state,year,month
1,31,28.0,25,22,15.6,11,81,60.3,51,23,17.1,12,30.1,30.1,30.0,0.0,TX,2018,1
2,32,29.0,24,27,18.8,14,92,67.4,48,15,11.2,8,30.0,29.9,29.9,0.0,TX,2018,1
3,55,31.6,16,26,20.9,15,100,71.6,27,8,3.1,0,29.9,29.8,29.7,0.0,TX,2018,1
4,54,40.1,23,32,26.4,22,100,63.5,30,6,2.6,0,29.8,29.8,29.7,0.0,TX,2018,1
5,60,47.4,37,39,31.6,26,89,58.3,27,12,4.4,0,29.8,29.7,29.7,0.0,TX,2018,1
6,64,47.6,28,53,43.2,28,100,86.1,63,14,4.1,0,29.8,29.7,29.6,0.0,TX,2018,1
7,69,60.9,54,59,56.2,50,100,85.6,68,23,11.4,0,29.6,29.4,29.3,0.0,TX,2018,1
8,69,54.5,36,45,38.0,35,97,56.9,31,17,11.0,0,29.6,29.5,29.4,0.0,TX,2018,1
9,70,48.6,32,41,38.0,32,100,72.1,31,12,3.0,0,29.6,29.5,29.4,0.0,TX,2018,1
10,70,55.6,43,58,51.6,42,100,88.4,57,18,8.9,0,29.4,29.3,29.1,0.0,TX,2018,1
11,71,57.0,44,61,45.8,17,100,71.5,30,25,12.0,0,29.6,29.3,29.2,0.0,TX,2018,1
12,56,43.2,32,20,16.9,14,61,36.3,20,21,12.4,8,29.8,29.7,29.6,0.0,TX,2018,1
13,51,36.7,25,22,18.8,16,78,52.3,25,17,8.0,0,30.0,29.9,29.8,0.0,TX,2018,1
14,61,39.2,22,39,30.3,20,100,74.0,42,12,2.9,0,30.0,29.9,29.8,0.0,TX,2018,1
15,68,48.3,29,53,42.8,29,100,84.0,54,32,9.5,0,29.9,29.7,29.6,0.0,TX,2018,1
16,37,28.6,26,37,20.6,10,100,73.5,51,32,20.7,9,30.1,30.1,29.9,0.14,TX,2018,1
17,37,25.6,18,20,12.0,8,84,58.1,34,14,7.5,0,30.2,30.1,30.0,0.04,TX,2018,1
18,44,36.5,27,23,17.8,14,75,48.5,30,8,4.2,0,30.0,29.9,29.8,0.0,TX,2018,1
19,54,46.9,40,52,39.2,25,100,75.8,55,8,2.8,0,29.7,29.6,29.5,0.0,TX,2018,1
20,63,54.9,49,58,53.6,49,100,96.0,84,16,6.9,0,29.5,29.4,29.4,0.01,TX,2018,1
21,71,65.4,60,66,64.1,60,100,95.8,84,22,10.5,3,29.4,29.3,29.2,0.0,TX,2018,1
22,64,54.8,41,62,29.9,20,97,43.1,18,17,8.3,3,29.6,29.5,29.4,0.0,TX,2018,1
23,64,44.5,27,32,25.0,18,96,55.9,18,8,3.5,0,29.8,29.7,29.6,0.0,TX,2018,1
24,64,42.4,24,34,26.3,23,100,62.7,22,8,2.0,0,29.9,29.8,29.8,0.0,TX,2018,1
25,65,47.4,25,44,30.7,24,96,59.5,23,13,6.0,0,29.9,29.8,29.7,0.0,TX,2018,1
26,68,58.9,51,63,53.7,44,93,83.1,71,13,6.0,0,29.7,29.6,29.5,0.0,TX,2018,1
27,70,62.2,58,64,60.1,53,100,93.2,65,18,6.7,0,29.6,29.6,29.5,0.01,TX,2018,1
28,70,55.9,34,52,40.9,32,92,59.4,30,15,9.3,3,29.8,29.7,29.6,0.05,TX,2018,1
29,67,49.0,34,33,28.9,24,92,53.1,20,17,7.7,0,30.0,29.9,29.8,0.0,TX,2018,1
30,66,45.0,27,40,30.0,27,100,62.3,25,15,5.4,0,29.9,29.8,29.6,0.0,TX,2018,1
31,71,51.8,38,51,44.7,38,100,81.8,32,21,10.6,0,29.6,29.5,29.4,0.0,TX,2018,1
1,72,60.7,50,57,47.6,32,100,66.6,31,24,11.3,6,29.7,29.5,29.4,0.0,TX,2018,2
2,59,51.7,45,35,31.5,28,54,46.4,38,22,13.4,5,29.9,29.8,29.7,0.0,TX,2018,2
3,56,48.8,41,54,45.0,34,100,87.6,54,10,6.4,0,29.7,29.5,29.3,0.01,TX,2018,2
4,74,48.4,34,56,45.1,34,100,90.8,45,23,4.8,0,29.6,29.4,29.3,0.01,TX,2018,2
5,55,48.3,40,47,37.3,28,74,65.9,61,23,8.5,0,29.6,29.5,29.4,0.0,TX,2018,2
6,54,47.8,40,51,45.8,0,100,94.8,0,14,10.8,3,29.6,29.5,29.4,0.0,TX,2018,2
7,47,39.9,36,39,33.1,28,100,79.0,48,21,14.6,7,29.9,29.7,29.6,0.05,TX,2018,2
8,58,45.9,32,45,37.2,31,100,74.7,47,16,8.3,3,29.9,29.8,29.6,0.0,TX,2018,2
9,62,56.2,50,58,51.8,46,100,85.6,72,12,7.0,3,29.6,29.5,29.4,0.0,TX,2018,2
10,62,52.9,39,61,51.9,38,100,96.7,82,18,8.2,0,29.4,29.3,29.3,0.06,TX,2018,2
11,41,34.4,30,38,29.7,24,100,83.7,64,23,15.8,5,29.7,29.6,29.4,0.0,TX,2018,2
12,41,36.5,30,35,30.8,24,89,80.3,70,17,10.8,5,29.9,29.8,29.7,0.02,TX,2018,2
13,46,42.4,37,46,42.1,36,100,99.0,89,9,5.8,3,29.9,29.8,29.8,0.02,TX,2018,2
14,70,54.0,46,64,53.4,46,100,97.9,81,14,4.0,0,29.8,29.7,29.6,0.06,TX,2018,2
15,77,68.5,64,69,66.4,64,100,93.5,74,18,10.9,3,29.6,29.5,29.4,0.0,TX,2018,2
16,76,64.7,58,66,57.5,43,100,80.4,48,22,8.9,0,29.6,29.5,29.4,0.0,TX,2018,2
17,60,54.0,47,52,48.6,43,100,83.3,59,14,7.0,0,29.6,29.5,29.4,0.0,TX,2018,2
18,77,60.1,51,67,57.8,51,100,92.9,66,20,8.3,0,29.6,29.5,29.3,0.02,TX,2018,2
19,80,73.5,69,69,66.9,65,93,80.4,62,29,17.9,6,29.4,29.3,29.2,0.0,TX,2018,2
20,73,71.7,70,72,69.6,67,100,93.2,84,23,14.0,5,29.4,29.3,29.3,0.0,TX,2018,2
21,72,46.0,40,70,45.5,40,100,98.2,90,22,15.1,9,29.7,29.6,29.4,0.04,TX,2018,2
22,44,40.3,37,44,40.3,37,100,100.0,100,15,10.6,5,29.7,29.6,29.6,0.28,TX,2018,2
23,63,50.6,43,63,50.5,43,100,99.6,93,9,5.1,0,29.6,29.5,29.4,0.09,TX,2018,2
24,75,69.4,62,70,66.2,52,100,90.1,70,21,12.2,0,29.4,29.3,29.2,0.26,TX,2018,2
25,63,57.3,48,56,52.5,48,100,84.6,65,15,8.3,0,29.5,29.4,29.4,0.0,TX,2018,2
26,68,54.0,49,55,50.8,49,100,90.5,56,13,6.0,0,29.6,29.6,29.5,0.11,TX,2018,2
27,81,66.6,57,71,63.1,55,100,89.6,56,18,8.0,0,29.6,29.4,29.3,0.01,TX,2018,2
28,83,72.2,68,69,67.7,65,100,86.9,54,17,10.5,3,29.3,29.2,29.1,0.03,TX,2018,2
1,70,63.3,51,68,54.0,47,96,73.4,49,32,13.4,3,29.6,29.4,29.2,0.0,TX,2018,3
2,74,60.3,47,56,51.7,46,100,75.0,50,10,6.7,0,29.7,29.6,29.6,0.0,TX,2018,3
3,72,61.0,46,64,58.7,46,100,92.9,66,16,6.7,0,29.6,29.6,29.5,0.0,TX,2018,3
4,79,70.4,64,70,66.0,63,100,87.6,58,21,12.1,7,29.5,29.4,29.3,0.1,TX,2018,3
5,83,71.5,61,76,61.3,34,96,75.0,27,23,11.1,3,29.4,29.3,29.3,0.0,TX,2018,3
6,73,60.8,50,36,29.3,22,52,33.2,15,15,9.0,5,29.6,29.5,29.4,0.0,TX,2018,3
7,66,53.5,44,37,26.3,22,76,37.8,20,17,7.6,0,29.8,29.7,29.6,0.0,TX,2018,3
8,70,55.7,43,46,35.4,27,80,51.9,21,17,7.0,0,29.7,29.6,29.5,0.0,TX,2018,3
9,72,61.7,47,61,53.6,44,90,75.9,59,18,10.6,3,29.5,29.4,29.3,0.0,TX,2018,3
10,88,72.3,66,66,63.7,60,96,77.4,40,18,9.4,5,29.3,29.2,29.1,0.0,TX,2018,3
11,70,65.8,55,66,49.8,30,94,61.4,27,31,16.4,3,29.6,29.4,29.2,0.0,TX,2018,3
12,66,53.5,39,36,33.5,30,86,49.1,27,20,11.7,0,29.8,29.7,29.6,0.0,TX,2018,3
