day,temperature_max,temperature_avg,temperature_min,dew_point_max,dew_point_avg,dew_point_min,humidity_max,humidity_avg,humidity_min,wind_speed_max,wind_speed_avg,wind_speed_min,preasure_max,preasure_avg,preasure_min,precipitation,state,year,month
1,42,31.2,24,26,22.7,20,88,72.1,47,7,3.2,0,26.0,26.0,25.9,0.0,UT,2018,1
2,44,30.1,24,25,22.6,19,89,74.9,43,9,3.8,0,26.2,26.1,26.0,0.0,UT,2018,1
3,39,29.1,23,24,21.3,18,88,73.8,46,8,3.7,0,26.1,26.0,25.9,0.0,UT,2018,1
4,42,29.3,19,26,21.5,16,89,74.2,43,8,2.2,0,26.0,25.9,25.9,0.0,UT,2018,1
5,43,31.7,24,28,24.6,21,88,76.3,47,9,2.6,0,26.0,25.9,25.9,0.0,UT,2018,1
6,35,33.7,30,34,31.3,25,100,91.1,78,10,4.2,0,25.9,25.8,25.8,0.0,UT,2018,1
7,45,35.2,32,37,33.4,31,100,93.5,68,9,4.0,0,26.0,25.9,25.9,0.23,UT,2018,1
8,44,32.0,26,35,30.6,26,100,94.3,71,12,6.0,0,25.9,25.8,25.7,0.0,UT,2018,1
9,50,47.1,42,41,39.5,37,85,74.8,68,22,11.5,5,25.7,25.5,25.4,0.02,UT,2018,1
10,47,42.2,34,43,36.2,27,97,79.8,62,15,6.7,0,25.8,25.5,25.4,0.0,UT,2018,1
11,48,42.4,34,31,28.2,26,79,58.5,46,21,12.2,0,25.9,25.8,25.8,0.06,UT,2018,1
12,53,45.7,37,33,29.9,27,68,54.9,40,10,5.0,0,26.1,26.0,25.8,0.0,UT,2018,1
13,52,42.0,36,34,29.3,27,79,62.5,41,9,5.0,0,26.1,26.1,26.1,0.0,UT,2018,1
14,53,38.0,31,34,29.3,26,85,72.9,38,10,3.5,0,26.1,26.1,26.0,0.0,UT,2018,1
15,48,37.3,31,32,29.6,26,89,75.0,54,8,3.0,0,26.0,26.0,25.9,0.0,UT,2018,1
16,51,39.7,32,30,26.1,22,85,60.3,36,10,5.2,0,26.0,26.0,25.9,0.0,UT,2018,1
17,54,40.2,32,35,29.0,27,82,66.5,37,10,4.1,0,26.1,26.0,26.0,0.0,UT,2018,1
18,55,45.1,33,36,30.2,27,85,57.8,35,21,8.2,0,25.9,25.8,25.6,0.0,UT,2018,1
19,58,44.2,33,36,31.8,28,93,67.8,33,30,15.9,7,25.7,25.6,25.5,0.0,UT,2018,1
20,35,32.8,27,32,28.9,22,96,85.9,70,20,12.1,8,25.7,25.6,25.6,0.36,UT,2018,1
21,37,30.1,25,23,21.2,18,81,69.8,52,10,6.2,0,25.9,25.9,25.7,0.11,UT,2018,1
22,35,30.4,24,27,20.0,16,80,66.1,52,15,8.5,0,26.0,26.0,25.9,0.0,UT,2018,1
