day,temperature_max,temperature_avg,temperature_min,dew_point_max,dew_point_avg,dew_point_min,humidity_max,humidity_avg,humidity_min,wind_speed_max,wind_speed_avg,wind_speed_min,preasure_max,preasure_avg,preasure_min,precipitation,state,year,month
1,1,-5.5,-12,-10,-13.8,-18,76,67.3,60,10,6.2,3,29.8,29.7,29.7,0.0,WI,2018,1
2,10,2.0,-7,2,-8.5,-14,76,63.0,40,14,7.3,0,29.7,29.4,29.1,0.0,WI,2018,1
3,12,8.7,-1,8,1.4,-8,84,72.7,58,12,7.3,0,29.3,29.1,29.0,0.01,WI,2018,1
4,9,-0.0,-9,-3,-7.4,-13,86,71.8,56,12,6.0,3,29.4,29.4,29.3,0.0,WI,2018,1
5,8,-1.5,-9,-4,-8.2,-14,87,74.3,55,12,5.3,0,29.6,29.5,29.4,0.0,WI,2018,1
6,10,1.1,-11,-1,-7.0,-15,87,70.0,53,14,4.3,0,29.7,29.6,29.3,0.0,WI,2018,1
7,31,21.0,7,28,13.1,-5,89,72.2,58,15,10.3,5,29.3,29.1,28.9,0.02,WI,2018,1
8,42,31.2,25,28,24.4,22,92,77.1,51,10,5.0,0,29.2,29.0,28.9,0.0,WI,2018,1
9,39,30.0,22,29,25.2,20,96,82.9,65,15,6.2,0,29.3,29.2,29.1,0.0,WI,2018,1
10,50,37.9,30,47,36.8,27,100,96.0,88,20,13.0,0,29.1,28.8,28.7,0.0,WI,2018,1
11,51,38.6,14,47,35.5,8,97,88.7,77,17,10.8,5,29.0,28.8,28.7,0.01,WI,2018,1
12,19,12.2,2,8,3.7,-5,80,69.3,47,21,14.4,6,29.6,29.3,29.0,0.17,WI,2018,1
13,9,1.6,-3,-5,-8.1,-12,83,64.6,46,10,5.4,0,29.7,29.6,29.6,0.0,WI,2018,1
14,18,11.1,-5,15,5.7,-9,92,79.5,54,16,11.0,0,29.7,29.4,29.2,0.0,WI,2018,1
15,21,17.2,13,17,13.7,9,93,86.4,78,17,7.8,0,29.4,29.2,29.1,0.11,WI,2018,1
16,21,13.2,5,12,8.1,2,88,80.2,68,12,6.7,0,29.6,29.5,29.4,0.07,WI,2018,1
17,20,12.4,1,9,4.5,-3,88,71.5,59,14,7.0,0,29.6,29.4,29.2,0.0,WI,2018,1
18,32,24.5,18,19,15.0,10,74,67.4,59,13,6.8,0,29.2,29.1,28.9,0.0,WI,2018,1
19,39,32.8,25,27,23.4,19,78,68.7,60,18,8.7,3,28.9,28.8,28.7,0.0,WI,2018,1
20,50,35.8,25,32,28.3,22,92,76.0,48,6,1.5,0,29.0,29.0,28.8,0.0,WI,2018,1
21,38,31.9,24,37,30.8,23,100,95.6,88,13,3.4,0,29.1,29.0,28.9,0.0,WI,2018,1
22,38,35.7,31,37,34.9,29,100,96.8,92,26,12.7,5,28.9,28.7,28.6,0.77,WI,2018,1
23,31,26.9,25,29,22.6,19,96,83.5,78,18,9.9,3,29.2,28.9,28.6,0.47,WI,2018,1
24,28,25.3,23,21,19.4,18,88,78.4,66,7,3.3,0,29.4,29.3,29.2,0.0,WI,2018,1
25,35,28.0,19,29,24.6,18,96,87.2,75,10,6.1,3,29.4,29.3,29.2,0.0,WI,2018,1
26,45,37.4,26,34,29.7,24,96,75.1,58,20,8.7,0,29.2,29.1,28.9,0.0,WI,2018,1
27,44,37.4,28,34,27.7,22,96,69.5,45,16,7.3,0,29.3,29.1,28.9,0.02,WI,2018,1
28,30,24.6,21,27,20.2,17,91,83.1,75,12,8.7,3,29.5,29.4,29.3,0.0,WI,2018,1
29,22,19.1,12,18,11.5,5,85,72.5,60,15,8.5,0,29.6,29.5,29.5,0.03,WI,2018,1
30,29,18.7,5,17,8.8,1,84,66.3,53,22,9.4,0,29.5,29.3,28.9,0.0,WI,2018,1
31,41,33.7,29,27,21.5,17,67,61.2,53,18,8.9,3,28.9,28.8,28.7,0.0,WI,2018,1
1,33,11.9,2,24,-1.6,-11,72,55.2,40,22,13.3,7,29.5,29.2,28.8,0.0,WI,2018,2
2,18,9.8,-1,5,-3.9,-8,72,55.2,36,9,6.5,3,29.6,29.4,29.3,0.0,WI,2018,2
3,30,25.7,18,28,20.1,6,100,80.3,55,15,7.1,0,29.3,28.9,28.8,0.0,WI,2018,2
4,18,11.1,-3,14,4.9,-11,88,77.0,53,20,13.9,5,29.3,29.1,28.9,0.29,WI,2018,2
5,10,4.3,-9,5,-1.3,-13,87,78.0,64,10,5.2,0,29.3,29.2,29.2,0.03,WI,2018,2
