day,temperature_max,temperature_avg,temperature_min,dew_point_max,dew_point_avg,dew_point_min,humidity_max,humidity_avg,humidity_min,wind_speed_max,wind_speed_avg,wind_speed_min,preasure_max,preasure_avg,preasure_min,precipitation,state,year,month
1,19,11.5,6,6,2.1,-4,87,67.3,52,12,5.3,0,29.6,29.5,29.4,0.0,WV,2018,1
2,20,8.5,-2,1,-1.9,-6,87,64.7,40,7,1.3,0,29.6,29.5,29.3,0.0,WV,2018,1
3,31,15.8,0,10,1.8,-5,88,59.3,28,8,1.8,0,29.3,29.1,28.9,0.0,WV,2018,1
4,22,16.4,14,10,5.3,0,77,62.2,49,17,11.6,7,29.1,29.0,28.9,0.05,WV,2018,1
5,17,14.2,11,6,2.6,-1,74,60.6,45,13,8.2,3,29.3,29.2,29.1,0.0,WV,2018,1
6,16,10.8,3,1,-1.7,-4,80,58.6,41,8,4.0,0,29.5,29.4,29.3,0.0,WV,2018,1
7,38,17.9,0,10,0.4,-5,83,53.5,18,5,0.8,0,29.5,29.3,29.1,0.0,WV,2018,1
8,39,34.3,27,36,28.0,12,97,79.6,49,9,2.2,0,29.1,29.1,29.1,0.0,WV,2018,1
9,47,36.4,0,37,33.3,0,97,86.2,0,5,1.6,0,29.3,29.2,29.1,0.34,WV,2018,1
10,66,47.4,31,45,37.9,29,96,72.5,47,13,4.1,0,29.2,29.1,29.1,0.0,WV,2018,1
11,70,56.9,42,57,48.6,39,96,75.6,51,17,4.4,0,29.1,29.0,28.8,0.0,WV,2018,1
12,65,52.6,30,58,50.0,27,97,90.8,78,14,4.7,0,28.8,28.7,28.6,0.89,WV,2018,1
13,27,20.5,16,23,13.9,7,88,75.9,65,15,9.7,6,29.5,29.2,28.8,0.99,WV,2018,1
14,22,16.7,13,11,6.8,2,88,66.0,51,7,3.3,0,29.6,29.5,29.4,0.01,WV,2018,1
15,38,25.5,11,25,16.6,7,88,71.0,48,9,3.2,0,29.4,29.3,29.2,0.0,WV,2018,1
16,34,23.9,13,26,18.6,7,89,80.8,67,13,5.2,0,29.4,29.4,29.3,0.0,WV,2018,1
17,13,10.6,7,6,3.2,2,80,72.0,64,12,5.5,0,29.4,29.4,29.4,0.14,WV,2018,1
18,30,19.1,8,13,8.1,3,84,64.0,43,16,8.4,0,29.4,29.3,29.2,0.0,WV,2018,1
19,43,29.8,16,20,13.4,10,81,54.4,28,10,4.1,0,29.2,29.1,29.1,0.0,WV,2018,1
20,55,45.3,28,38,32.6,17,82,62.0,48,16,7.5,0,29.1,29.1,29.0,0.0,WV,2018,1
21,60,52.5,44,45,41.6,38,82,66.8,55,10,5.6,0,29.1,29.1,29.1,0.0,WV,2018,1
22,68,57.9,48,48,44.0,40,86,62.5,36,14,5.6,0,29.0,28.9,28.6,0.0,WV,2018,1
23,63,47.6,38,51,34.3,26,89,60.9,48,20,11.6,6,29.0,28.8,28.6,0.14,WV,2018,1
24,39,33.0,30,32,28.8,25,96,84.8,70,13,7.6,0,29.3,29.2,29.0,0.0,WV,2018,1
25,43,33.0,27,25,22.9,20,92,68.0,43,7,2.0,0,29.5,29.4,29.3,0.13,WV,2018,1
26,59,39.6,23,29,23.5,17,96,61.1,22,7,2.3,0,29.5,29.4,29.3,0.0,WV,2018,1
27,62,49.7,31,50,35.9,24,100,61.5,42,15,6.3,0,29.3,29.2,29.1,0.0,WV,2018,1
28,50,45.6,32,50,44.3,32,100,95.3,83,5,1.7,0,29.2,29.2,29.1,0.65,WV,2018,1
29,50,35.1,29,34,29.9,23,100,84.2,37,17,5.1,0,29.1,29.1,29.0,0.02,WV,2018,1
30,30,24.9,18,22,12.7,6,81,60.9,40,21,9.2,0,29.4,29.3,29.1,0.07,WV,2018,1
31,52,36.2,17,19,15.5,10,92,50.6,20,15,6.1,0,29.3,29.0,28.8,0.0,WV,2018,1
1,52,43.4,32,44,33.2,19,100,72.1,36,15,8.6,3,29.1,28.9,28.9,0.0,WV,2018,2
2,32,19.2,12,29,11.2,2,92,71.7,55,14,7.5,0,29.4,29.3,29.1,0.77,WV,2018,2
3,37,24.5,11,26,16.0,9,92,72.3,46,8,2.7,0,29.4,29.3,29.0,0.0,WV,2018,2
4,41,36.5,32,39,33.1,18,100,89.1,44,15,5.2,0,29.0,28.9,28.7,0.04,WV,2018,2
5,32,24.8,19,30,16.9,11,92,72.3,56,16,5.9,0,29.3,29.1,28.9,0.39,WV,2018,2
6,34,30.4,22,30,27.7,20,96,89.6,82,7,3.5,0,29.3,29.3,29.1,0.0,WV,2018,2
7,45,34.7,27,44,33.1,23,100,94.1,79,9,4.7,0,29.3,29.1,28.9,0.4,WV,2018,2
8,37,28.1,24,24,21.0,17,92,75.3,52,10,3.6,0,29.4,29.4,29.3,0.42,WV,2018,2
9,54,37.1,24,34,28.5,23,96,74.5,40,6,1.2,0,29.3,29.2,29.1,0.0,WV,2018,2
10,55,47.7,36,54,44.4,32,100,88.8,67,10,2.9,0,29.1,29.0,28.9,0.0,WV,2018,2
11,65,55.0,39,60,53.6,39,100,95.4,78,16,5.8,0,29.1,28.9,28.8,0.88,WV,2018,2
12,38,33.7,30,37,30.8,29,100,89.4,76,9,5.0,0,29.6,29.4,29.1,0.49,WV,2018,2
13,47,37.3,28,41,33.9,27,100,88.0,77,10,2.5,0,29.6,29.4,29.4,0.03,WV,2018,2
14,61,52.2,40,58,50.1,40,100,92.9,81,13,4.3,0,29.3,29.2,29.0,0.0,WV,2018,2
15,73,65.9,61,61,58.1,57,96,76.9,57,21,11.0,3,29.0,28.9,28.7,0.28,WV,2018,2
16,70,50.9,38,58,47.3,33,100,88.2,63,28,9.2,3,29.2,28.9,28.7,0.74,WV,2018,2
17,42,38.5,33,40,36.0,31,97,91.4,79,12,5.4,0,29.2,29.1,28.9,0.84,WV,2018,2
18,49,41.2,37,40,32.4,28,96,72.5,48,12,4.1,0,29.3,29.2,29.1,0.57,WV,2018,2
19,74,61.5,45,56,50.0,32,90,67.4,50,17,8.3,0,29.2,29.1,29.1,0.19,WV,2018,2
20,80,70.4,62,53,51.0,49,67,51.4,35,20,10.0,0,29.2,29.2,29.1,0.01,WV,2018,2
21,77,65.0,52,64,55.6,50,93,73.4,52,17,7.0,0,29.4,29.3,29.2,0.0,WV,2018,2
22,51,49.4,47,50,48.7,46,100,97.5,90,10,2.6,0,29.4,29.3,29.3,0.1,WV,2018,2
