day,temperature_max,temperature_avg,temperature_min,dew_point_max,dew_point_avg,dew_point_min,humidity_max,humidity_avg,humidity_min,wind_speed_max,wind_speed_avg,wind_speed_min,preasure_max,preasure_avg,preasure_min,precipitation,state,year,month
1,34,18.2,5,25,13.8,2,100,83.9,59,15,5.1,0,24.1,24.1,24.0,0.0,WY,2018,1
2,38,25.5,8,7,2.1,-3,73,40.3,20,26,14.3,8,24.1,24.1,24.1,0.0,WY,2018,1
3,46,34.5,25,17,8.8,-3,59,37.7,13,17,9.7,0,24.1,24.1,24.0,0.0,WY,2018,1
4,48,33.8,23,19,13.2,8,72,45.1,26,15,8.2,0,24.1,24.0,24.0,0.0,WY,2018,1
5,51,39.1,25,22,17.5,12,64,43.6,28,16,8.3,0,24.1,24.0,24.0,0.0,WY,2018,1
6,49,41.2,30,31,21.7,15,73,47.1,33,16,9.8,5,24.0,23.9,23.8,0.0,WY,2018,1
7,47,36.2,32,32,25.6,18,100,69.0,34,21,13.9,3,24.0,23.9,23.8,0.0,WY,2018,1
8,55,43.4,29,25,16.0,7,82,37.6,15,23,12.0,0,24.0,23.9,23.8,0.0,WY,2018,1
9,58,47.5,33,34,27.2,17,75,47.0,30,18,10.1,0,23.8,23.8,23.6,0.0,WY,2018,1
10,50,34.5,20,38,26.2,16,100,74.1,46,24,14.0,0,23.7,23.6,23.5,0.0,WY,2018,1
11,36,28.6,23,20,13.8,8,81,56.0,35,26,15.7,3,24.0,23.9,23.8,0.0,WY,2018,1
12,41,32.3,20,32,25.0,13,96,76.2,51,25,15.3,0,24.1,24.0,23.8,0.0,WY,2018,1
13,43,34.3,24,29,22.2,19,96,63.1,41,26,15.3,7,24.1,24.1,24.0,0.0,WY,2018,1
14,49,35.8,24,27,21.8,16,93,61.6,28,23,13.2,5,24.1,24.1,24.0,0.01,WY,2018,1
15,25,14.6,-3,23,8.7,-7,96,78.8,49,24,14.6,0,24.3,24.2,24.1,0.0,WY,2018,1
16,33,14.0,-3,10,-1.3,-9,79,56.1,22,15,8.3,5,24.2,24.1,24.1,0.0,WY,2018,1
17,45,30.9,13,17,9.1,0,66,42.1,23,24,9.4,0,24.1,24.1,24.0,0.0,WY,2018,1
18,58,45.4,30,20,16.3,11,54,32.6,22,22,11.8,3,24.0,23.9,23.8,0.0,WY,2018,1
19,60,49.0,33,21,18.2,16,52,30.4,19,31,12.3,0,23.8,23.7,23.7,0.0,WY,2018,1
20,34,28.3,24,29,25.4,17,100,90.6,50,17,10.2,0,23.8,23.7,23.7,0.0,WY,2018,1
